,https://roic.ai/company/ARIS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,13661000,14002000,15435000,16917000,17637000,21484000,21334000,22494000,30102000,33019000,40443000,47693000,- -,- -,118793000,171472000,229251000
2,COGS,2221000,382000,6069000,3598000,4513000,5993000,6095000,5266000,6636000,6378000,7302000,8806000,- -,- -,91643000,139458000,151681000
3,Gross Profit,11440000,13620000,9366000,13319000,13124000,15491000,15239000,17228000,23466000,26641000,33141000,38887000,- -,- -,27150000,32014000,77570000
4,Gross Profit Ratio,0.8374,0.9727,0.6068,0.7873,0.7441,0.7210,0.7143,0.7659,0.7795,0.8068,0.8194,0.8154,- -,- -,0.2285,0.1867,0.3384
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5093000,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7141000,7185000,9110000,9163000,140000,93000,-20000,778000,-1475000,-3122000,-3793000,-3791000,- -,- -,16309000,22052000,27266000
7,Selling and Marketing Exp.,- -,- -,- -,- -,4072000,4786000,4272000,4249000,7480000,9344000,10427000,10847000,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7141000,7185000,9110000,9163000,4212000,4879000,4252000,5027000,6005000,6222000,6634000,7056000,- -,- -,16309000,22052000,27266000
9,Other Expenses,4374000,2747000,3441000,4062000,9246000,11747000,10942000,10906000,17663000,20063000,24193000,23194000,- -,- -,- -,- -,31162000
10,Operating Expenses,11515000,9932000,12551000,13225000,13458000,16626000,15194000,15933000,23668000,26285000,30827000,35343000,- -,- -,16309000,22052000,58428000
11,COGS and Expenses,13736000,10314000,18620000,16823000,17971000,22619000,21289000,21199000,30304000,32663000,38129000,44149000,- -,- -,107952000,161510000,210109000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,191000,- -,99000,214000,649000,790000,235000,626000,286000,465000,460000,- -,- -,260000,7674000,25473000
14,Depreciation and Amortization,570000,648000,800000,764000,876000,1054000,1127000,2791000,3308000,3385000,3807000,4557000,- -,- -,19670000,44027000,60767
15,EBITDA,4238000,5249000,897000,2836000,1391000,3774000,5377000,4308000,2048000,3810000,6154000,8111000,- -,- -,32991000,51731000,18822767
16,EBITDA ratio,0.3102,0.3749,0.0581,0.1676,0.0789,0.1757,0.2520,0.1915,0.0680,0.1154,0.1522,0.1701,- -,- -,0.2777,0.3017,0.0821
17,Operating Income,2146000,2069000,165000,821000,767000,505000,1733000,1295000,-202000,356000,2314000,3544000,- -,- -,13497000,7704000,19142000
18,Operating Income ratio,0.1571,0.1478,0.0107,0.0485,0.0435,0.0235,0.0812,0.0576,-0.0067,0.0108,0.0572,0.0743,- -,- -,0.1136,0.0449,0.0835
19,Total Other Income Expenses (Gains),-184000,2341000,-60000,-28000,-220000,-630000,-332000,-13000,-1684000,-217000,-432000,-450000,- -,- -,-436000,-7674000,-25853000
20,Income Before Tax,1962000,4410000,105000,793000,547000,-125000,1401000,1282000,-1886000,139000,1882000,3094000,- -,- -,13061000,30000,-6711000
21,Income Before Tax Ratio,0.1436,0.3150,0.0068,0.0469,0.0310,-0.0058,0.0657,0.0570,-0.0627,0.0042,0.0465,0.0649,- -,- -,0.1099,0.0002,-0.0293
22,Income Tax expense (Gain),853000,1200000,-4000,590000,-123000,1294000,1017000,227000,-1133000,241000,811000,1351000,- -,- -,1000,23000,298000
23,Net Income,2815000,3210000,101000,1383000,424000,777000,2443000,1055000,-753000,-102000,1071000,1743000,- -,- -,13060000,7000,-7009000
24,Net Income ratio,0.2061,0.2293,0.0065,0.0818,0.0240,0.0362,0.1145,0.0469,-0.0250,-0.0031,0.0265,0.0365,- -,- -,0.1099,0.0000,-0.0306
25,EPS,6.00,0.52,6.73,0.21,0.06,0.15,0.31,0.08,-0.06,-7.23,0.07,0.10,- -,- -,0.74,-0.24,-0.40
26,EPS Diluted,6.65,0.49,6.73,0.20,0.06,0.15,0.31,0.13,-0.08,-0.01,0.07,0.10,- -,- -,0.74,-0.24,-0.40
27,Weighted Average Shares Outstanding,469000,6173076,15000,6585714,7066666,5180000,7880645,13235000,13235000,13235000,14849000,17218000,- -,- -,17650000,17650000,17650000
28,Weighted Average Shares Outstanding Diluted,423000,6551020,15000,6915000,7066666,5180000,7880645,7997000,9814000,9814000,14849000,17710000,- -,- -,17650000,17650000,17650000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/879796/000095013705013088/0000950137-05-013088-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000095013706011590/0000950137-06-011590-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000095013707016121/0000950137-07-016121-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000114036108023953/0001140361-08-023953-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000114036109024044/0001140361-09-024044-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000114036110042693/0001140361-10-042693-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000114036111050970/0001140361-11-050970-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000087979612000008/0000879796-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000156276213000326/0001562762-13-000326-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000087979614000022/0000879796-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000087979615000024/0000879796-15-000024-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000087979616000056/0000879796-16-000056-index.html,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1865187/000155837022002585/0001558370-22-002585-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3651000,3584000,1050000,1086000,650000,938000,1134000,1350000,2195000,1808000,2284000,5118000,- -,- -,7083000,24932000,60055000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3651000,3584000,1050000,1086000,650000,938000,1134000,1350000,2195000,1808000,2284000,5118000,- -,- -,7083000,24932000,60055000
34,Net Receivables,1023000,885000,1302000,1304000,1352000,1359000,1179000,1187000,945000,1212000,2046000,1942000,- -,- -,49423000,36821000,46099000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,151000,154000,294000,165000,132000,- -,- -,- -,- -,- -
36,Other Current Assets,363000,1092000,1069000,986000,990000,3214000,3664000,3452000,3872000,3685000,3940000,3963000,- -,- -,4257000,4315000,26234000
37,Total Current Assets,5037000,5561000,3421000,3376000,2992000,5511000,5977000,6140000,7166000,6999000,8435000,11155000,- -,- -,60763000,66068000,132388000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,1951000,1863000,1771000,2421000,2521000,- -,- -,481790000,618188000,633007000
39,Goodwill,- -,- -,1079000,2196000,5439000,5439000,5439000,5439000,12198000,12367000,21168000,21634000,- -,- -,26357000,34585000,34585000
40,Intangible Assets,- -,- -,1072000,1396000,3637000,2827000,2041000,1439000,4099000,3612000,10116000,7890000,- -,- -,267648000,337535000,304930000
41,Intangible Assets,- -,- -,2151000,3592000,9076000,8266000,7480000,6878000,16297000,15979000,31284000,29524000,- -,- -,294005000,372120000,339515000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,2443000,3451000,3507000,2398000,1112000,- -,- -,- -,- -,19933000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,3097000,4351000,4092000,5210000,5031000,- -,- -,1676000,1429000,1850000
45,Total Non-Current Assets,- -,- -,2151000,3592000,9076000,8266000,7480000,14369000,25962000,25349000,41313000,38188000,- -,- -,777471000,991737000,994305000
46,Other Assets,2896000,3875000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7933000,9436000,5572000,6968000,12068000,13777000,13457000,20509000,33128000,32348000,49748000,49343000,- -,- -,838234000,1057805000,1126693000
48,Accounts Payable,323000,500000,703000,408000,788000,490000,561000,725000,710000,656000,708000,718000,- -,- -,40768000,16067000,7082000
49,Short-Term Debt,1200000,1400000,1023000,676000,117000,192000,127000,1084000,450000,675000,1338000,2417000,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,216000,147000,123000,140000,297000,- -,- -,- -,- -,- -
51,Deferred Revenue,160000,675000,555000,330000,513000,2600000,2693000,4926000,8571000,7415000,7327000,6763000,- -,- -,- -,- -,1336000
52,Other Current Liabilities,7265000,6343000,6361000,7437000,7851000,5921000,5594000,1338000,2224000,2421000,3568000,3172000,- -,- -,28398000,29722000,40627000
53,Total Current Liabilities,8948000,8918000,8642000,8851000,9269000,9203000,8975000,8073000,11955000,11167000,12941000,13070000,- -,- -,69166000,45789000,49045000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,917000,2888000,4050000,3375000,9191000,6658000,- -,- -,220000000,297000000,392051000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,1336000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,2686000,2938000,2655000,3092000,3182000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2594000,830000,567000,446000,5151000,5355000,3376000,-2354000,-1864000,-2055000,-2425000,-2893000,- -,- -,3560000,5423000,81722000
58,Total Non-Current Liabilities,2594000,830000,567000,446000,5151000,5355000,4293000,3220000,5124000,3975000,9858000,6947000,- -,- -,223560000,303723000,475109000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,11542000,9748000,9209000,9297000,14420000,14558000,13268000,11293000,17079000,15142000,22799000,20017000,- -,- -,292726000,349512000,524154000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74378000,- -
63,Common Stock,6000,6000,7000,7000,8000,8000,8000,8000,13000,14000,17000,17000,- -,- -,545508000,633915000,535000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,-88009000,-88762000,-88864000,-87793000,-86050000,- -,- -,- -,- -,-457000
65,Other Comprehensive Income/Loss,- -,- -,-20000,-52000,-34000,-13000,-39000,-1000,-18000,-21000,25000,-5000,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,731000,2941000,4213000,5224000,7862000,97218000,104816000,106077000,114700000,115364000,- -,- -,- -,- -,602461000
67,Total Stockholders Equity,-3609000,-312000,718000,2896000,4187000,5219000,7831000,9216000,16049000,17206000,26949000,29326000,- -,- -,545508000,708293000,602539000
68,Total Liabilities And Stockholders Equity,7933000,9436000,9927000,12193000,18607000,19777000,21099000,20509000,33128000,32348000,49748000,49343000,- -,- -,838234000,1057805000,1126693000
69,Minority Interest,- -,- -,-4355000,-5225000,-6539000,-6000000,-7642000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
