,https://roic.ai/company/ADVM,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,30000,480000,572000,2319000,1455000,1849000,1612000,250000,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,30000,480000,572000,2319000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,1310000,2151000,16976000,25462000,31670000,39839000,50133000,40419000,73309000,89181000
6,General and Administrative Exp.,536000,1783000,7998000,22107000,24355000,20857000,24560000,28376000,44641000,64441000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",536000,1783000,7998000,22107000,24355000,20857000,24560000,28376000,44641000,64441000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1846000,3934000,24974000,47569000,56025000,60696000,74693000,68795000,117950000,153622000
11,COGS and Expenses,1846000,3934000,24974000,47569000,56025000,60696000,74693000,68795000,117950000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),8000,73000,18000,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1000,26000,162000,812000,1603000,2096000,1750000,1573000,4158000,4645000
15,EBITDA,-1802000,-5177000,-25224000,-46641000,-112919000,-54051000,-72127000,-62913000,-113792000,4645000
16,EBITDA ratio,-60.0667,-10.7854,-44.0979,-20.1125,-77.6076,-29.2326,-44.7438,-251.6520,-Infinity,Infinity
17,Operating Income,-1816000,-3454000,-24402000,-47823000,-115284000,-58847000,-78081000,-68545000,-117950000,- -
18,Operating Income ratio,-60.5333,-7.1958,-42.6608,-20.6223,-79.2330,-31.8264,-48.4373,-274.1800,-Infinity,- -
19,Total Other Income Expenses (Gains),5000,-1822000,-1002000,370000,762000,2700000,4204000,4059000,1557000,- -
20,Income Before Tax,-1811000,-5276000,-25404000,-47453000,-114522000,-56147000,-73877000,-64486000,-116393000,-145540000
21,Income Before Tax Ratio,-60.3667,-10.9917,-44.4126,-20.4627,-78.7093,-30.3661,-45.8294,-257.9440,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,-775000,- -,-1250000,- -,1114000,- -
23,Net Income,-1811000,-5276000,-25404000,-47453000,-113747000,-56147000,-72627000,-64486000,-117507000,-145540000
24,Net Income ratio,-60.3667,-10.9917,-44.4126,-20.4627,-78.1766,-30.3661,-45.0540,-257.9440,-Infinity,-Infinity
25,EPS,-0.09,-0.25,-1.26,-1.84,-3.14,-1.29,-1.18,-1.01,-1.38,-1.71
26,EPS Diluted,-0.09,-0.25,-1.26,-1.84,-3.14,-1.29,-1.18,-1.01,-1.38,-1.71
27,Weighted Average Shares Outstanding,20775103,20775103,22754037,25858722,36246000,43661000,61375000,64102000,85146000,85146000
28,Weighted Average Shares Outstanding Diluted,20775103,20775103,22754037,25858722,36246000,43661000,61375000,64102000,85146000,85146000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1501756/000119312515078923/0001193125-15-078923-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459016014022/0001564590-16-014022-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459017003759/0001564590-17-003759-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459018004560/0001564590-18-004560-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459019006536/0001564590-19-006536-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459020010503/0001564590-20-010503-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000162828021003623/0001628280-21-003623-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000162828022007698/0001628280-22-007698-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,357000,564000,159404000,221348000,222170000,70519000,154949000,65897000,62424000,34195000
32,Short-Term Investments,- -,- -,- -,37732000,- -,119966000,50130000,100138000,367305000,270993000
33,Cash and Short-Term Investments,357000,564000,159404000,259080000,222170000,190485000,205079000,166035000,429729000,305188000
34,Net Receivables,1000,8000,- -,449000,886000,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,24000,250000,874000,1463000,2218000,3256000,3675000,9835000,4709000,11957000
37,Total Current Assets,382000,822000,160278000,260992000,225274000,193741000,208754000,175870000,434438000,317145000
38,PP&E,4000,69000,1085000,3187000,4169000,3024000,3586000,24884000,47101000,119060000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,5000000,5000000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,5000000,5000000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,194000,543000,140000,140000,140000,1155000,21973000,1028000,3522000
45,Total Non-Current Assets,4000,263000,1628000,3327000,9309000,8164000,4741000,46857000,48129000,122582000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,386000,1085000,161906000,264319000,234583000,201905000,213495000,222727000,482567000,439727000
48,Accounts Payable,522000,769000,951000,605000,1474000,1731000,1707000,4103000,2810000,1387000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,4034000,4473000,1886000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,813000,883000,1850000,1850000,- -,- -,- -,- -
52,Other Current Liabilities,317000,393000,3707000,5086000,6572000,7093000,9012000,11271000,13588000,18047000
53,Total Current Liabilities,839000,1162000,5471000,6574000,9896000,10674000,10719000,19408000,20871000,21320000
54,Long-Term Debt,485000,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,6646000,4706000,7099000,5250000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1250000,1250000,- -,- -,- -,- -
57,Other Non-Current Liabilities,59000,141000,306000,447000,738000,703000,1609000,28362000,27349000,102222000
58,Total Non-Current Liabilities,544000,141000,6952000,5153000,9087000,7203000,1609000,28362000,27349000,102222000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,32248000,30708000,- -
61,Total Liabilities,1383000,1303000,12423000,11727000,18983000,17877000,12328000,47770000,48220000,123542000
62,Preferred Stock,2471000,7992000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000,3000,4000,5000,6000,7000,10000,10000
64,Retained Earnings,-3593000,-8869000,-36715000,-84168000,-197915000,-254062000,-320543000,-385029000,-502536000,-648076000
65,Other Comprehensive Income/Loss,8000,27000,10000,-11000,-7000,-963000,-799000,-725000,-261000,-714000
66,Other Total Stockholders Equity,2598000,8679000,186186000,336768000,413518000,439048000,522503000,560704000,937134000,964965000
67,Total Stockholders Equity,-997000,-218000,149483000,252592000,215600000,184028000,201167000,174957000,434347000,316185000
68,Total Liabilities And Stockholders Equity,386000,1085000,161906000,264319000,234583000,201905000,213495000,222727000,482567000,439727000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,386000,1085000,161906000,264319000,234583000,201905000,213495000,222727000,482567000,439727000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1501756/000119312515078923/0001193125-15-078923-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459016014022/0001564590-16-014022-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459017003759/0001564590-17-003759-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459018004560/0001564590-18-004560-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459019006536/0001564590-19-006536-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459020010503/0001564590-20-010503-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000162828021003623/0001628280-21-003623-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000162828022007698/0001628280-22-007698-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-1811000,-5276000,-25404000,-47453000,-113747000,-56147000,-72627000,-64486000,-117507000,-145540000
74,Depreciation and Amortization,1000,26000,162000,812000,1603000,2096000,1750000,1573000,4158000,4645000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,76000,515000,8567000,11505000,11416000,8723000,13432000,9899000,20391000,25194000
77,Change in Working Capital,470000,117000,155147000,99611000,-39040000,-32311000,14968000,-41573000,257105000,-117742000
78,Accounts Receivable,- -,-7000,8000,-6000,-437000,886000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,445000,286000,-6000,-312000,-111000,333000,-67000,-650000,1585000,-1612000
