,https://roic.ai/company/LINK,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4400000,7800000,10700000,13500000,19200000,22100000,28106000,33870000,25265000,25043000,31042000,35407000,38239000,36238000,19315000,25600000,9700000,8030000,4990000,6413000,7551000,10278000,10514000,11886000,11153000,8904000,7305000,6888000,7478000
2,COGS,2500000,3800000,4900000,6400000,11100000,13500000,17010000,18765000,16454000,17127000,18362000,23548000,30181000,25966000,13556000,15390000,5260000,3530000,2900000,3238000,4360000,5200000,4869000,4880000,4297000,4000000,3995000,2986000,3420000
3,Gross Profit,1900000,4000000,5800000,7100000,8100000,8600000,11096000,15105000,8811000,7916000,12680000,11859000,8058000,10272000,5759000,10210000,4440000,4500000,2090000,3175000,3191000,5078000,5645000,7006000,6856000,4904000,3310000,3902000,4058000
4,Gross Profit Ratio,0.4318,0.5128,0.5421,0.5259,0.4219,0.3891,0.3948,0.4460,0.3487,0.3161,0.4085,0.3349,0.2107,0.2835,0.2982,0.3988,0.4577,0.5604,0.4188,0.4951,0.4226,0.4941,0.5369,0.5894,0.6147,0.5508,0.4531,0.5665,0.5427
5,Research and Development Exp.,- -,- -,- -,1200000,- -,1400000,2225000,3222000,3518000,3337000,3418000,4158000,4586000,5547000,2970000,4100000,1790000,1470000,1310000,968000,660000,811000,841000,623000,829000,908000,916000,918000,893000
6,General and Administrative Exp.,4800000,4900000,5400000,4600000,7200000,5800000,5799000,7612000,8278000,7456000,8172000,10017000,11733000,16622000,11259000,10630000,5540000,4420000,2070000,2280000,2595000,2719000,3122000,3536000,3888000,3246000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4800000,4900000,5400000,4600000,7200000,5800000,5799000,7612000,8278000,7456000,8172000,10017000,11733000,16622000,11259000,10630000,5540000,4420000,2070000,2280000,2595000,2719000,3122000,3536000,3888000,3246000,2608000,2874000,3244000
9,Other Expenses,200000,300000,- -,600000,700000,500000,630000,688000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5000000,5200000,- -,6400000,7900000,7700000,8654000,11522000,11796000,10793000,11590000,14175000,16319000,22169000,14229000,14730000,7330000,5880000,3380000,3248000,3255000,3530000,3963000,4159000,4717000,4154000,3524000,3792000,4137000
11,COGS and Expenses,7500000,9000000,10700000,12800000,19000000,21200000,25664000,30287000,28250000,27920000,29952000,37723000,46500000,48135000,27785000,30120000,12590000,9410000,6280000,6486000,7615000,8730000,8832000,9039000,9014000,8154000,7519000,6778000,7557000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,94000,174000,- -,- -,15000,- -,- -,- -,- -,- -,- -,- -,7000,4000,2000,1000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1200000,- -,100000,100000,- -,100000,- -,- -,- -,132000,44000,- -,162000,- -,342000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,200000,300000,400000,600000,700000,500000,630000,688000,773000,805000,593000,609000,989000,555000,627000,560000,570000,300000,180000,143000,124000,80000,56000,65000,190000,155000,443000,506000,281000
15,EBITDA,-2500000,2600000,700000,1200000,900000,1000000,2990000,3522000,-2005000,-2026000,1731000,-1675000,-7043000,-11075000,-4661000,-2750000,-7240000,-760000,-1430000,281000,137000,1648000,1776000,2952000,2324000,777000,268000,524000,152000
16,EBITDA ratio,-0.5682,0.3333,0.0654,0.0889,0.0469,0.0452,0.1064,0.1040,-0.0794,-0.0809,0.0558,-0.0473,-0.1842,-0.3056,-0.2413,-0.1074,-0.7464,-0.0946,-0.2866,0.0438,0.0181,0.1603,0.1689,0.2484,0.2084,0.0873,0.0367,0.0761,0.0203
17,Operating Income,-3100000,-1200000,- -,700000,200000,900000,2442000,3583000,-2985000,-2877000,1090000,-2316000,-8261000,-11897000,-8470000,-4530000,-2890000,-1380000,-1290000,-73000,-64000,1548000,1682000,2847000,2139000,750000,-214000,110000,-79000
18,Operating Income ratio,-0.7045,-0.1538,- -,0.0519,0.0104,0.0407,0.0869,0.1058,-0.1181,-0.1149,0.0351,-0.0654,-0.2160,-0.3283,-0.4385,-0.1770,-0.2979,-0.1719,-0.2585,-0.0114,-0.0085,0.1506,0.1600,0.2395,0.1918,0.0842,-0.0293,0.0160,-0.0106
19,Total Other Income Expenses (Gains),200000,- -,100000,- -,- -,-400000,-82000,-749000,207000,-86000,4000,32000,67000,267000,-1117000,1220000,-1290000,190000,-350000,177000,43000,-14000,4000,40000,-5000,60000,39000,-92000,-50000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,2360000,2834000,-2778000,-2963000,1094000,-2284000,-8194000,-11630000,-9587000,-3310000,-4180000,-1190000,-1640000,104000,-21000,1534000,1686000,2887000,2134000,810000,-175000,18000,-129000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.0840,0.0837,-0.1100,-0.1183,0.0352,-0.0645,-0.2143,-0.3209,-0.4963,-0.1293,-0.4309,-0.1482,-0.3287,0.0162,-0.0028,0.1493,0.1604,0.2429,0.1913,0.0910,-0.0240,0.0026,-0.0173
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,252000,-274000,-764000,1301000,28000,- -,111000,126000,39000,- -,- -,- -,- -,2000,1000,13000,-11000,-6000,874000,- -,282000,-95000,605000
23,Net Income,-3900000,2300000,200000,500000,- -,400000,2108000,3108000,-2014000,-4264000,1066000,-2284000,-8305000,-11756000,-5669000,-3310000,-7810000,-1060000,-1610000,136000,12000,1555000,1731000,2893000,1260000,622000,-457000,113000,-734000
24,Net Income ratio,-0.8864,0.2949,0.0187,0.0370,- -,0.0181,0.0750,0.0918,-0.0797,-0.1703,0.0343,-0.0645,-0.2172,-0.3244,-0.2935,-0.1293,-0.8052,-0.1320,-0.3226,0.0212,0.0016,0.1513,0.1646,0.2434,0.1130,0.0699,-0.0626,0.0164,-0.0982
25,EPS,-2.40,0.64,0.06,0.16,0.01,0.11,0.52,0.70,-0.42,-0.88,0.20,-0.38,-1.22,-1.70,-0.82,-0.48,-1.13,-0.15,-0.22,0.02,0.00,0.27,0.23,0.39,0.17,0.09,-0.07,0.02,-0.11
26,EPS Diluted,-2.40,0.64,0.04,0.16,0.01,0.11,0.42,0.56,-0.42,-0.88,0.18,-0.38,-1.22,-1.70,-0.82,-0.48,-1.13,-0.15,-0.22,0.02,0.00,0.27,0.23,0.39,0.17,0.09,-0.07,0.02,-0.11
27,Weighted Average Shares Outstanding,2818500,3593750,3333333,3290250,3573000,3909000,4008000,4446000,4822500,4883000,5169500,5986000,6860500,6880500,6874500,6880000,6890000,6950000,7210000,5848000,5856000,5852000,7325000,7327000,7333000,6991000,6543000,6586000,6586000
28,Weighted Average Shares Outstanding Diluted,2818500,3593750,3333333,3290250,3765000,3909000,5007000,5565000,4822500,4883000,5681000,5986000,6860500,6880500,6874500,6880000,6890000,6950000,7210000,5848000,5856000,5852000,7380000,7407000,7421000,6991000,6581000,6599000,6586000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/828146/000155837017001292/0001558370-17-001292-index.htm,https://www.sec.gov/Archives/edgar/data/828146/000155837018002144/0001558370-18-002144-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/828146/000110465921037332/0001104659-21-037332-index.htm,https://www.sec.gov/Archives/edgar/data/828146/000110465922039438/0001104659-22-039438-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1400000,1100000,3500000,3800000,4200000,3900000,7492000,10506000,6868000,7906000,6061000,19067000,3938000,1344000,12659000,9250000,3420000,3680000,2260000,2100000,1487000,2381000,4430000,6009000,7772000,6102000,5812000,6120000,10777000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2457000,- -,- -,- -,10000000,1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1400000,1100000,3500000,3800000,4200000,3900000,7492000,10506000,9325000,7906000,6061000,19067000,13938000,2944000,12659000,9250000,3420000,3680000,2260000,2100000,1487000,2381000,4430000,6009000,7772000,6102000,5812000,6120000,10777000
34,Net Receivables,1200000,1500000,2400000,3600000,5700000,6800000,7056000,8613000,5493000,5308000,9123000,8060000,9184000,8034000,3918000,3760000,1770000,690000,630000,870000,1547000,1838000,1599000,1726000,1374000,780000,730000,1113000,1080000
35,Inventory,500000,800000,2200000,3600000,5500000,6800000,7928000,9435000,8502000,7006000,8638000,11093000,8119000,10706000,5151000,4380000,580000,290000,640000,710000,670000,1056000,1015000,1268000,1195000,1071000,927000,866000,814000
36,Other Current Assets,1700000,200000,200000,300000,400000,100000,173000,1261000,426000,259000,253000,335000,456000,560000,5128000,1320000,630000,250000,210000,250000,268000,291000,303000,382000,343000,308000,362000,397000,396000
37,Total Current Assets,4800000,3600000,8300000,11300000,15800000,17600000,22649000,29815000,23746000,20479000,24075000,38555000,31697000,22244000,26856000,18710000,6400000,4910000,3740000,3930000,3972000,5566000,7347000,9385000,10684000,8261000,7831000,8496000,13067000
38,PP&E,400000,1000000,1200000,1100000,1200000,1600000,1559000,1632000,1393000,1211000,1270000,1669000,1099000,1594000,999000,800000,370000,180000,190000,120000,98000,154000,176000,310000,525000,701000,836000,741000,501000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,300000,300000,600000,600000,500000,300000,282000,235000,114000,9000,177000,265000,308000,272000,- -,430000,140000,100000,80000,50000,29000,23000,13000,44000,69000,121000,171000,195000,131000
41,Intangible Assets,300000,300000,600000,600000,500000,300000,282000,235000,114000,9000,177000,265000,308000,272000,113000,430000,140000,100000,80000,50000,29000,23000,13000,44000,69000,121000,171000,195000,131000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1301000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,675000,493000,- -,435000,527000,8000
44,Other Non-Current Assets,400000,300000,100000,200000,100000,100000,217000,92000,87000,67000,60000,107000,67000,245000,364000,90000,60000,40000,40000,40000,49000,39000,26000,57000,59000,529000,59000,63000,72000
45,Total Non-Current Assets,1100000,1600000,1900000,1900000,1800000,2000000,2058000,1959000,2895000,1287000,1507000,2041000,1474000,2111000,1476000,1320000,570000,320000,310000,210000,176000,216000,215000,1086000,1146000,1351000,1501000,1526000,712000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5900000,5200000,10200000,13200000,17600000,19600000,24707000,31774000,26641000,21766000,25582000,40596000,33171000,24355000,28332000,20030000,6970000,5230000,4050000,4140000,4148000,5782000,7562000,10471000,11830000,9612000,9332000,10022000,13779000
48,Accounts Payable,500000,600000,1300000,1100000,1900000,2200000,3041000,3305000,1679000,2201000,2630000,4067000,5731000,- -,- -,- -,- -,- -,- -,- -,312000,473000,484000,324000,255000,304000,218000,235000,338000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,933000,706000,491000,154000,152000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154000,219000,138000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000,7000,109000,107000,- -,3000,59000,54000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,863000,765000,646000,- -,- -,- -,- -,- -,60000,53000,71000,111000,- -,- -,13000,- -,- -
52,Other Current Liabilities,600000,800000,600000,1300000,1500000,1300000,1964000,3382000,2734000,1098000,720000,1131000,1997000,6574000,7522000,7420000,1390000,680000,700000,670000,305000,300000,304000,438000,448000,323000,302000,588000,561000
53,Total Current Liabilities,1100000,1400000,1900000,2400000,3400000,3500000,5005000,6687000,4413000,4232000,4056000,5689000,8745000,7491000,8168000,7420000,1390000,680000,700000,670000,677000,826000,859000,873000,703000,627000,687000,1042000,1037000
54,Long-Term Debt,- -,100000,700000,900000,700000,1400000,1424000,2598000,1855000,1401000,1010000,405000,154000,- -,3413000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66000,140000,37000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145000,92000,40000,- -,- -,- -,- -,- -,- -
