,https://roic.ai/company/PCTY,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,39484000,55096000,77294000,108687000,152698000,230701000,300010000,377527000,467633000,561329000,635627000
2,COGS,21745000,29094000,39666000,55094000,70896000,98085000,123987000,149197000,153851000,182010000,219298000
3,Gross Profit,17739000,26002000,37628000,53593000,81802000,132616000,176023000,228330000,313782000,379319000,416329000
4,Gross Profit Ratio,0.4493,0.4719,0.4868,0.4931,0.5357,0.5748,0.5867,0.6048,0.6710,0.6758,0.6550
5,Research and Development Exp.,1565000,1788000,6825000,10355000,19864000,26736000,29098000,37645000,50329000,62766000,76707000
6,General and Administrative Exp.,6868000,8618000,12079000,21980000,32824000,47598000,62123000,79252000,94630000,105248000,119771000
7,Selling and Marketing Exp.,9293000,12828000,18693000,28276000,43035000,61832000,77506000,95484000,112599000,145134000,161808000
8,"Selling, General and Administrative Exp.",16161000,21446000,30772000,50256000,75859000,109430000,139629000,174736000,207229000,250382000,281579000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,17726000,23234000,37597000,60611000,95723000,136166000,168727000,212381000,257558000,313148000,358286000
11,COGS and Expenses,39471000,52328000,77263000,115705000,166619000,234251000,292714000,361578000,411409000,495158000,577584000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,3779000,4624000,5571000,6336000,8609000,13873000,21027000,30202000,34564000,37913000,42972000
15,EBITDA,3613000,7196000,5586000,-519000,-5258000,10199000,28396000,46953000,92610000,105031000,100076000
16,EBITDA ratio,0.0915,0.1306,0.0723,-0.0048,-0.0344,0.0442,0.0947,0.1244,0.1980,0.1871,0.1574
17,Operating Income,13000,2768000,31000,-7018000,-13921000,-3550000,7296000,15949000,56224000,66171000,58043000
18,Operating Income ratio,0.0003,0.0502,0.0004,-0.0646,-0.0912,-0.0154,0.0243,0.0422,0.1202,0.1179,0.0913
19,Total Other Income Expenses (Gains),-179000,-196000,-16000,163000,54000,-124000,73000,802000,1822000,947000,-939000
20,Income Before Tax,-166000,2572000,15000,-6855000,-13867000,-3674000,7369000,16751000,58046000,67118000,57104000
21,Income Before Tax Ratio,-0.0042,0.0467,0.0002,-0.0631,-0.0908,-0.0159,0.0246,0.0444,0.1241,0.1196,0.0898
22,Income Tax expense (Gain),-36000,884000,-602000,255000,105000,177000,651000,-21847000,4223000,2663000,-13715000
23,Net Income,-130000,1688000,617000,-7110000,-13972000,-3851000,6718000,38598000,53823000,64455000,70819000
24,Net Income ratio,-0.0033,0.0306,0.0080,-0.0654,-0.0915,-0.0167,0.0224,0.1022,0.1151,0.1148,0.1114
25,EPS,-0.02,0.02,-0.05,-0.26,-0.28,-0.08,0.13,0.74,1.02,1.20,1.30
26,EPS Diluted,-0.02,0.02,-0.05,-0.26,-0.28,-0.08,0.12,0.70,0.97,1.15,1.26
27,Weighted Average Shares Outstanding,44191000,44191000,44191000,36707000,50127000,50913000,51415000,52425000,52914000,53547000,54318000
28,Weighted Average Shares Outstanding Diluted,44191000,44191000,44191000,36707000,50127000,50913000,54057000,54887000,55414000,55807000,56305000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1591698/000110465914062738/0001104659-14-062738-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000110465915060024/0001104659-15-060024-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000110465916139345/a16-12777_110k.htm,https://www.sec.gov/Archives/edgar/data/1591698/000155837017006561/0001558370-17-006561-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000155837018006955/0001558370-18-006955-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000155837019007859/0001558370-19-007859-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000155837020009960/0001558370-20-009960-index.htm,https://www.sec.gov/Archives/edgar/data/1591698/000155837021010711/0001558370-21-010711-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,7990000,9031000,7594000,78848000,81258000,86496000,103468000,137193000,132476000,250851000,202287000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,29314000,34556000,4456000
33,Cash and Short-Term Investments,7990000,9031000,7594000,78848000,81258000,86496000,103468000,137193000,161790000,285407000,206743000
34,Net Receivables,852000,505000,740000,756000,1115000,1681000,2040000,3453000,4358000,4923000,6267000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,299966000,264550000,358382000,420661000,596410000,1247031000,957338000,1237594000,1430041000,1372824000,1819873000
37,Total Current Assets,308808000,274086000,366716000,500265000,678783000,1335208000,1062846000,1378240000,1596189000,1663154000,2032883000
