,https://roic.ai/company/UPDC,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,743954,1261866,4077736,3285315,4256854,4837121,6082238,6716150,5377207,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36192,14274,- -,- -
2,COGS,220631,441865,2069740,1557736,1897319,2123704,2575742,3255645,2536956,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71747,85863,- -,- -
3,Gross Profit,523323,820001,2007996,1727579,2359535,2713417,3506496,3460505,2840251,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35555,-71589,- -,- -
4,Gross Profit Ratio,0.7034,0.6498,0.4924,0.5258,0.5543,0.5610,0.5765,0.5153,0.5282,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.9824,-5.0153,- -,- -
5,Research and Development Exp.,232250,570856,1159666,691426,641125,890093,1405477,1496686,1610360,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,260352,113280,194624,1030859,372949,195152,48515,78518,39242,609905,116773,8865,476739
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,260352,113280,194624,1030859,372949,195152,48515,78518,39242,609905,116773,8865,476739
9,Other Expenses,543986,1367497,835370,1644932,1798437,2825539,3798592,3506171,2819137,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140394,- -
10,Operating Expenses,776236,1938353,1995036,2336358,2439562,3715632,5204069,5002857,4429497,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,609905,116773,149259,476739
11,COGS and Expenses,996867,2380218,4064776,3894094,4336881,5839336,7779811,8258502,6966453,77618,260352,113280,194624,1030859,372949,195152,48515,78518,39242,681652,202636,149259,476739
12,Interest Income ,- -,- -,12960,4190,- -,9672,13028,13538,4439,13204,9637,600,106,- -,- -,- -,15,16,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,79598,87324,- -,157893,361840,691835,675804,205,219,- -,4694,260522,733554,- -,- -,- -,64998,- -,- -,44625,28459
14,Depreciation and Amortization,28678,44106,91653,80242,59694,60074,91714,424645,462727,273162,- -,- -,- -,- -,86202,- -,- -,- -,- -,- -,- -,- -,6702
15,EBITDA,-240624,-1054113,-1394259,-488286,-93034,-932476,-1566840,-829255,1278967,195544,-250715,-112680,-194518,-1030859,-286747,-195152,-48515,-78518,-39242,-705942,-2499924,130937,-493439
16,EBITDA ratio,-0.3234,-0.8354,-0.3419,-0.1486,-0.0219,-0.1928,-0.2576,-0.1235,0.2378,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19.5055,-175.1383,Infinity,-Infinity
17,Operating Income,-252913,-1118352,12960,-608779,-80027,-1002215,-1697573,-1542352,-1589246,-77618,-260352,-113280,-194624,-1030859,-905005,-195152,-48515,-78518,-39242,-645460,-2358486,-149259,-476739
18,Operating Income ratio,-0.3400,-0.8863,0.0032,-0.1853,-0.0188,-0.2072,-0.2791,-0.2296,-0.2956,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-17.8343,-165.2295,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-1578470,36061,5385,-7,25991,274914,2401047,- -,9418,600,-4588,-260522,-733554,- -,15,16,-64998,-60482,-141438,280196,-264824
20,Income Before Tax,- -,- -,-1565510,- -,- -,- -,- -,- -,- -,- -,-250934,-112680,-199212,-1291381,-1638559,-195152,-48500,-78502,-104240,-705942,-2499924,130937,-741563
21,Income Before Tax Ratio,- -,- -,-0.3839,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19.5055,-175.1383,Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50,50,50,50,50,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-269302,-1098219,-1565510,-655852,-152728,-1150443,-2020394,-1945735,140436,574131,-250984,-112730,-199262,-1291431,-1638609,-195152,-48500,-78502,-104240,-705942,-2499924,130937,-490399
