,https://roic.ai/company/USFD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,21664921000,22297178000,23019801000,23127532000,22918808000,24147000000,24175000000,25939000000,- -,22885000000
2,COGS,17971949000,18474039000,19222092000,19114293000,18865536000,19929000000,19869000000,21352000000,- -,19166000000
3,Gross Profit,3692972000,3823139000,3797709000,4013239000,4053272000,4218000000,4306000000,4587000000,- -,3719000000
4,Gross Profit Ratio,0.1705,0.1715,0.1650,0.1735,0.1769,0.1747,0.1781,0.1768,- -,0.1625
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,-13290000,- -,-76000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,3644290000,3647000000,3888000000,- -,- -
8,"Selling, General and Administrative Exp.",3349539000,3494254000,3545453000,3650704000,3585986000,3631000000,3647000000,3812000000,- -,3757000000
9,Other Expenses,- -,- -,- -,- -,- -,-1000000,1000000,76000000,- -,- -
10,Operating Expenses,3349539000,3494254000,3545453000,3650704000,3585986000,3630000000,3648000000,3888000000,- -,3757000000
11,COGS and Expenses,21321488000,21968293000,22767545000,22764997000,22451522000,23559000000,23517000000,25240000000,- -,22923000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),311812000,306087000,289202000,285175000,229080000,169582000,175000000,184000000,- -,238000000
14,Depreciation and Amortization,355892000,388188000,411549000,399247000,421371000,377877000,340000000,362000000,- -,422000000
15,EBITDA,658979000,666891000,663805000,876575000,781560000,951407000,1011000000,1057000000,- -,366000000
16,EBITDA ratio,0.0304,0.0299,0.0288,0.0379,0.0341,0.0394,0.0418,0.0407,- -,0.0160
17,Operating Income,334510000,320499000,252256000,189828000,413821000,573824000,658000000,699000000,- -,-77000000
18,Operating Income ratio,0.0154,0.0144,0.0110,0.0082,0.0181,0.0238,0.0272,0.0269,- -,-0.0034
19,Total Other Income Expenses (Gains),-343235000,-347883000,-289202000,2325000,-282712000,-169824000,-162000000,-188000000,- -,-217000000
20,Income Before Tax,-8725000,-27384000,-36946000,192153000,131109000,404000000,496000000,511000000,- -,-294000000
21,Income Before Tax Ratio,-0.0004,-0.0012,-0.0016,0.0083,0.0057,0.0167,0.0205,0.0197,- -,-0.0128
22,Income Tax expense (Gain),42448000,29822000,35968000,24635000,-78685000,-40052000,89000000,126000000,- -,-68000000
23,Net Income,-51173000,-57206000,-72914000,167518000,209794000,444000000,407000000,385000000,- -,-226000000
24,Net Income ratio,-0.0024,-0.0026,-0.0032,0.0072,0.0092,0.0184,0.0168,0.0148,- -,-0.0099
25,EPS,-0.27,-0.30,-0.38,0.88,1.05,2.00,1.88,1.77,- -,-1.15
26,EPS Diluted,-0.27,-0.30,-0.38,0.87,1.03,1.97,1.87,1.75,- -,-1.15
27,Weighted Average Shares Outstanding,191248181,191248181,191248181,191248181,200129868,222383038,216112021,218095650,- -,220000000
28,Weighted Average Shares Outstanding Diluted,192748285,192748285,192748285,192748285,204024726,225663785,217825545,219534622,- -,220000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1665918/000156459017002622/0001564590-17-002622-index.html,https://www.sec.gov/Archives/edgar/data/1665918/000156459018003495/0001564590-18-003495-index.html,https://www.sec.gov/Archives/edgar/data/1665918/000166591819000012/0001665918-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1665918/000166591820000012/0001665918-20-000012-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1665918/000166591821000008/0001665918-21-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,179744000,343659000,517802000,131090000,118849000,104000000,90000000,- -,828000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,179744000,343659000,517802000,131090000,118849000,104000000,90000000,- -,828000000
34,Net Receivables,- -,1323080000,1350406000,1335427000,1331574000,1398829000,1453000000,1598000000,- -,1205000000
35,Inventory,- -,1161558000,1050898000,1112967000,1223037000,1207830000,1279000000,1432000000,- -,1273000000
36,Other Current Assets,- -,110359000,84950000,94237000,103470000,93873000,143000000,142000000,- -,159000000
37,Total Current Assets,- -,2774741000,2829913000,3060433000,2789171000,2819381000,2979000000,3262000000,- -,3465000000
38,PP&E,- -,1748495000,1726583000,1768885000,1767611000,1801215000,1842000000,2220000000,- -,2021000000
39,Goodwill,- -,3835477000,3835477000,3875719000,3908484000,3966565000,3967000000,4728000000,- -,5637000000
40,Intangible Assets,- -,753840000,602827000,477601000,386881000,363618000,324000000,967000000,- -,892000000
41,Intangible Assets,- -,4589317000,4438304000,4353320000,4295365000,4330183000,4291000000,5695000000,- -,6529000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,34405000,263322000,298000000,308000000,- -,1000000
44,Other Non-Current Assets,- -,73024000,62314000,56721000,57898000,-176943000,-224000000,-197000000,- -,407000000
45,Total Non-Current Assets,- -,6410836000,6227201000,6178926000,6155279000,6217777000,6207000000,8026000000,- -,8958000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,9185577000,9057114000,9239359000,8944450000,9037158000,9186000000,11288000000,- -,12423000000
48,Accounts Payable,- -,1181452000,1159160000,1078865000,1294796000,1289349000,1359000000,1460000000,- -,1218000000
49,Short-Term Debt,- -,220594000,230789000,253953000,218674000,262791000,263000000,404000000,- -,311000000
50,Tax Payable,- -,22526000,19224000,24299000,25032000,28478000,30000000,37000000,- -,44000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,423635000,435638000,470005000,455815000,450742000,454000000,498000000,- -,453000000
53,Total Current Liabilities,- -,1825681000,1825587000,1802823000,1969285000,2002882000,2076000000,2362000000,- -,1982000000
54,Long-Term Debt,- -,4735248000,4696273000,4682149000,3705751000,3672193000,3372000000,4594000000,- -,5617000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,408153000,420319000,455794000,380835000,263322000,298000000,308000000,- -,270000000
57,Other Non-Current Liabilities,- -,372731000,492903000,425416000,350929000,347398000,211000000,315000000,- -,505000000
58,Total Non-Current Liabilities,- -,5516132000,5609495000,5563359000,4437515000,4282913000,3881000000,5217000000,- -,6392000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,523000000,- -,307000000
61,Total Liabilities,- -,7341813000,7435082000,7366182000,6406800000,6285795000,5957000000,7579000000,- -,8374000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,519000000
63,Common Stock,- -,4500000,4500000,1667000,2209000,2150000,2000000,2000000,- -,2000000
64,Retained Earnings,- -,-440858000,-513772000,-346254000,-136460000,123514000,531000000,916000000,- -,661000000
65,Other Comprehensive Income/Loss,- -,-2679000,-158041000,-74378000,-119363000,-95755000,-84000000,-54000000,- -,-34000000
66,Other Total Stockholders Equity,- -,2282801000,2289345000,2292142000,2791264000,2721454000,2780000000,2845000000,- -,2901000000
67,Total Stockholders Equity,- -,1843764000,1622032000,1873177000,2537650000,2751363000,3229000000,3709000000,- -,4049000000
68,Total Liabilities And Stockholders Equity,- -,9185577000,9057114000,9239359000,8944450000,9037158000,9186000000,11288000000,- -,12423000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,9185577000,9057114000,9239359000,8944450000,9037158000,9186000000,11288000000,- -,12423000000
