,https://roic.ai/company/SAGE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,90273000,6868000,1114200000,6308000
2,COGS,- -,- -,- -,- -,- -,- -,- -,400000,565000,553000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,6468000,1113635000,5755000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.9418,0.9995,0.9123
5,Research and Development Exp.,7229000,14357000,24100000,69357000,120756000,210277000,282107000,368815000,292714000,283166000
6,General and Administrative Exp.,2402000,3381000,9710000,22217000,34139000,51702000,156806000,345777000,196952000,183498000
7,Selling and Marketing Exp.,- -,- -,- -,3076000,5268000,11176000,44598000,- -,- -,- -
8,"Selling, General and Administrative Exp.",2402000,3381000,9710000,25293000,39407000,62878000,201404000,345777000,196952000,183498000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,9631000,17738000,33810000,94650000,160163000,273155000,483511000,714592000,489666000,466664000
11,COGS and Expenses,9631000,18279000,33810000,94650000,160163000,273155000,483511000,714992000,490231000,467217000
12,Interest Income ,- -,1000,8000,178000,1211000,3099000,20334000,27804000,9597000,2883000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,44000,47000,51000,115000,281000,531000,1143000,2283000,2630000,4182000
15,EBITDA,-9587000,-18232000,-33759000,-94535000,-159882000,-272624000,-371739000,-677955000,608703000,-453710000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.1179,-98.7121,0.5463,-71.9261
17,Operating Income,-9631000,-18279000,-33810000,-94650000,-160163000,-273155000,-393238000,-708124000,596226000,-460909000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.3561,-103.1048,0.5351,-73.0674
19,Total Other Income Expenses (Gains),-1000,- -,-1000,155000,1176000,3035000,20356000,27886000,9847000,3017000
20,Income Before Tax,-9632000,- -,-33811000,-94495000,-158987000,-270120000,-372882000,-680238000,606073000,-457892000
21,Income Before Tax Ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-4.1306,-99.0446,0.5440,-72.5891
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-9632000,-18281000,-33811000,-94495000,-158987000,-270120000,-372882000,-680238000,606073000,-457892000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.1306,-99.0446,0.5440,-72.5891
25,EPS,-0.57,-1.92,-1.67,-3.40,-4.75,-7.09,-8.08,-13.38,11.66,-7.80
26,EPS Diluted,-0.57,-1.92,-1.67,-3.40,-4.75,-7.09,-8.08,-13.38,11.43,-7.80
27,Weighted Average Shares Outstanding,16774326,9514463,21574347,27778288,33492795,38113678,46121194,50833837,51983188,58670230
28,Weighted Average Shares Outstanding Diluted,16774326,16774326,21574347,27778288,33492795,38113678,46121194,50833837,53003115,58670230
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1597553/000119312515081090/0001193125-15-081090-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000119312516485683/0001193125-16-485683-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459017002434/0001564590-17-002434-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459018002772/0001564590-18-002772-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459019003191/0001564590-19-003191-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459020007021/0001564590-20-007021-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459021007819/0001564590-21-007819-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459022006495/0001564590-22-006495-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,2802000,8066000,127766000,186753000,168517000,306235000,190943000,126705000,1661082000,294233000
32,Short-Term Investments,- -,- -,- -,- -,228962000,212613000,731833000,881688000,438467000,1448063000
33,Cash and Short-Term Investments,2802000,8066000,127766000,186753000,397479000,518848000,922776000,1008393000,2099549000,1742296000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,18506000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,24000,341000,1056000,1738000,5100000,6227000,21919000,26700000,22821000,39841000
37,Total Current Assets,2826000,8407000,128822000,188491000,402579000,525075000,944695000,1035093000,2122370000,1800643000
38,PP&E,130000,86000,163000,286000,1388000,4013000,5643000,42897000,31819000,19125000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,641000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,39000,39000,39000,239000,564000,849000,2367000,6160000,5057000,5520000
45,Total Non-Current Assets,169000,125000,843000,525000,1952000,4862000,8010000,49057000,36876000,24645000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2995000,8532000,129665000,189016000,404531000,529937000,952705000,1084150000,2159246000,1825288000
48,Accounts Payable,1314000,1988000,2429000,5159000,12817000,9350000,34036000,15266000,3691000,10450000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,8662000,7468000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,105000,327000,5328000,10148000,22352000,42601000,51994000,96862000,54851000,67275000
53,Total Current Liabilities,1419000,2315000,7757000,15307000,35169000,51951000,86030000,112128000,67204000,85193000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,19438000,10964000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,14970000,37753000,23000,14000,845000,2511000,3704000,27367000,270000,100000
58,Total Non-Current Liabilities,14970000,37753000,23000,14000,845000,2511000,3704000,27367000,19708000,11064000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,37092000,28100000,18432000
61,Total Liabilities,16389000,40068000,7780000,15321000,36014000,54462000,89734000,139495000,86912000,96257000
62,Preferred Stock,- -,37709000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3000,3000,4000,5000,5000,5000,6000,6000
64,Retained Earnings,-13394000,-31675000,-66845000,-161340000,-320327000,-590447000,-963329000,-1643567000,-1037494000,-1495386000
