,https://roic.ai/company/GTX,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,2908000000,2997000000,3096000000,3375000000,3248000000,3034000000,3633000000
2,COGS,2179000000,2365000000,2361000000,2599000000,2537000000,2478000000,2926000000
3,Gross Profit,729000000,632000000,735000000,776000000,711000000,556000000,707000000
4,Gross Profit Ratio,0.2507,0.2109,0.2374,0.2299,0.2189,0.1833,0.1946
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,186000000,197000000,249000000,249000000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",186000000,197000000,249000000,249000000,249000000,277000000,216000000
9,Other Expenses,4000000,2000000,-2000000,5000000,- -,1000000,- -
10,Operating Expenses,190000000,199000000,247000000,254000000,249000000,278000000,216000000
11,COGS and Expenses,2369000000,2564000000,2608000000,2968000000,2786000000,2756000000,3142000000
12,Interest Income ,13000000,16000000,14000000,7000000,7000000,3000000,11000000
13,Interest Expense (Gain),5000000,7000000,8000000,19000000,69000000,80000000,94000000
14,Depreciation and Amortization,64000000,59000000,64000000,72000000,73000000,86000000,92000000
15,EBITDA,437000000,316000000,438000000,487000000,488000000,285000000,724000000
16,EBITDA ratio,0.1503,0.1054,0.1415,0.1443,0.1502,0.0939,0.1993
17,Operating Income,539000000,433000000,488000000,407000000,462000000,278000000,491000000
18,Operating Income ratio,0.1854,0.1445,0.1576,0.1206,0.1422,0.0916,0.1352
19,Total Other Income Expenses (Gains),-171000000,-183000000,-122000000,-11000000,-116000000,-159000000,47000000
20,Income Before Tax,368000000,250000000,366000000,396000000,346000000,119000000,538000000
21,Income Before Tax Ratio,0.1265,0.0834,0.1182,0.1173,0.1065,0.0392,0.1481
22,Income Tax expense (Gain),114000000,51000000,1349000000,-784000000,33000000,39000000,43000000
23,Net Income,254000000,199000000,-983000000,1180000000,313000000,80000000,495000000
24,Net Income ratio,0.0873,0.0664,-0.3175,0.3496,0.0964,0.0264,0.1363
25,EPS,3.43,2.62,-13.27,15.93,4.20,1.06,7.61
26,EPS Diluted,3.43,2.62,-13.27,15.86,4.12,1.05,1.58
27,Weighted Average Shares Outstanding,74105227,75904898,74105227,74059240,74602868,75543461,65056274
28,Weighted Average Shares Outstanding Diluted,74105227,75904898,74105227,74402148,75934373,76100509,312844469
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1735707/000156459019005824/0001564590-19-005824-index.html,https://www.sec.gov/Archives/edgar/data/1735707/000156459020007405/0001564590-20-007405-index.html,https://www.sec.gov/Archives/edgar/data/1735707/000156459021005918/0001564590-21-005918-index.htm,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,119000000,300000000,196000000,187000000,592000000,423000000
32,Short-Term Investments,- -,328000000,298000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,447000000,598000000,196000000,187000000,592000000,423000000
34,Net Receivables,- -,1141000000,1275000000,750000000,707000000,873000000,773000000
35,Inventory,- -,125000000,188000000,172000000,220000000,235000000,244000000
36,Other Current Assets,- -,20000000,23000000,61000000,85000000,179000000,71000000
37,Total Current Assets,- -,1733000000,2084000000,1179000000,1199000000,1879000000,1511000000
38,PP&E,- -,371000000,442000000,438000000,471000000,541000000,536000000
39,Goodwill,- -,192000000,193000000,193000000,193000000,193000000,193000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,192000000,193000000,193000000,193000000,193000000,193000000
42,Investments,- -,39000000,38000000,39000000,36000000,30000000,28000000
43,Tax Assets,- -,56000000,41000000,13000000,268000000,275000000,289000000
44,Other Non-Current Assets,- -,270000000,199000000,262000000,108000000,99000000,149000000
45,Total Non-Current Assets,- -,928000000,913000000,945000000,1076000000,1138000000,1195000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2661000000,2997000000,2124000000,2275000000,3017000000,2706000000
48,Accounts Payable,- -,736000000,860000000,916000000,1009000000,1019000000,1006000000
49,Short-Term Debt,- -,- -,- -,23000000,12000000,575000000,16000000
50,Tax Payable,- -,17000000,22000000,113000000,33000000,37000000,25000000
51,Deferred Revenue,- -,27000000,21000000,165000000,12000000,8000000,23000000
52,Other Current Liabilities,- -,1366000000,1667000000,336000000,359000000,235000000,463000000
53,Total Current Liabilities,- -,2129000000,2548000000,1440000000,1392000000,1837000000,1508000000
54,Long-Term Debt,- -,- -,- -,1569000000,1437000000,1097000000,1223000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,7000000,956000000,27000000,51000000,2000000,21000000
57,Other Non-Current Liabilities,- -,1746000000,1688000000,1605000000,1528000000,2389000000,422000000
58,Total Non-Current Liabilities,- -,1753000000,2644000000,3201000000,3016000000,3488000000,1666000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,36000000,20000000,51000000
61,Total Liabilities,- -,3882000000,5192000000,4641000000,4408000000,5325000000,3174000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-1464000000,-2433000000,-2595000000,-2282000000,-2207000000,-1790000000
65,Other Comprehensive Income/Loss,- -,243000000,238000000,73000000,130000000,-129000000,-4000000
66,Other Total Stockholders Equity,- -,993000000,1110000000,- -,- -,- -,- -
67,Total Stockholders Equity,- -,-1221000000,-2195000000,-2593000000,-2133000000,-2308000000,-468000000
68,Total Liabilities And Stockholders Equity,- -,2661000000,2997000000,2048000000,2275000000,3017000000,2706000000
69,Minority Interest,- -,- -,- -,76000000,- -,- -,- -
70,Total Liabilities & Equity,- -,2661000000,2997000000,2124000000,2275000000,3017000000,2706000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1735707/000156459019005824/0001564590-19-005824-index.html,https://www.sec.gov/Archives/edgar/data/1735707/000156459020007405/0001564590-20-007405-index.html,https://www.sec.gov/Archives/edgar/data/1735707/000156459021005918/0001564590-21-005918-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,254000000,199000000,-983000000,1180000000,313000000,80000000,495000000
74,Depreciation and Amortization,64000000,59000000,64000000,72000000,73000000,86000000,92000000
75,Deferred Income Tax,-2000000,-39000000,973000000,-905000000,-41000000,-34000000,-36000000
76,Stock Based Compensation,10000000,12000000,15000000,21000000,18000000,10000000,7000000
77,Change in Working Capital,9000000,-400000000,-68000000,203000000,-186000000,-185000000,-454000000
78,Accounts Receivable,6000000,-90000000,-42000000,-30000000,32000000,-162000000,18000000
79,Inventory,-10000000,2000000,-46000000,2000000,-60000000,-14000000,-31000000
80,Accounts Payable,45000000,82000000,88000000,63000000,87000000,41000000,-75000000
81,Other Working Capital,4000000,-396000000,-464000000,-261000000,-20000000,2000000,- -
82,Other Non-Cash Items,32000000,474000000,70000000,-198000000,65000000,68000000,-414000000
83,Cash Provided by Operating Activities,367000000,305000000,71000000,373000000,242000000,25000000,-310000000
84,CAPEX,-50000000,-84000000,-103000000,-95000000,-102000000,-80000000,-72000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-543000000,-659000000,-651000000,-21000000,- -,- -,- -
87,Sales/Maturities of Investments,444000000,575000000,712000000,312000000,- -,- -,- -
88,Other Investing Activites,5000000,-14000000,72000000,-4000000,16000000,- -,-71000000
89,Cash Used for Investing Activites,-144000000,-182000000,30000000,192000000,-86000000,-80000000,-71000000
90,Debt Repayment,-656000000,-655000000,-670000000,-6000000,-908000000,-1102000000,-2087000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-220000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,381000000,506000000,730000000,-652000000,745000000,1632000000,2446000000
95,Cash Used/Provided by Financing Activities,-275000000,-149000000,60000000,-658000000,-163000000,530000000,139000000
96,Effect of Forex Changes on Cash,-13000000,-1000000,20000000,-11000000,-2000000,31000000,13000000
97,Net Change In Cash,-65000000,-27000000,181000000,-104000000,-9000000,506000000,-229000000
98,Cash at the End of Period,146000000,119000000,300000000,196000000,187000000,693000000,464000000
99,Cash at the Beginning of Period,211000000,146000000,119000000,300000000,196000000,187000000,693000000
100,Free Cash Flow,317000000,221000000,-32000000,278000000,140000000,-55000000,-382000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1735707/000156459019005824/0001564590-19-005824-index.html,https://www.sec.gov/Archives/edgar/data/1735707/000156459020007405/0001564590-20-007405-index.html,https://www.sec.gov/Archives/edgar/data/1735707/000156459021005918/0001564590-21-005918-index.htm,- -
102,false,,,,,,,
