,https://roic.ai/company/IDW,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,30026000,32319000,35640000,41641000,- -,49456000,65267000,60360000,58680000,62599000,38162000,32425000
2,COGS,14148000,14803000,16649000,19421000,- -,21759000,34444000,33250000,54838000,56184000,29530000,21783000
3,Gross Profit,15878000,17516000,18991000,22220000,- -,27697000,30823000,27110000,3842000,6415000,8632000,10642000
4,Gross Profit Ratio,0.5288,0.5420,0.5329,0.5336,- -,0.5600,0.4723,0.4491,0.0655,0.1025,0.2262,0.3282
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,21138000,- -,26501000,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,21138000,- -,26501000,- -,- -,- -,19082000
9,Other Expenses,15140000,15650000,16005000,17573000,- -,1627000,24265000,1585000,29397000,32665000,17522000,245000
10,Operating Expenses,15140000,15650000,16005000,17573000,- -,22765000,24265000,28086000,29397000,32665000,17522000,19327000
11,COGS and Expenses,29288000,30453000,32654000,36994000,- -,44524000,58709000,61336000,84235000,88849000,47052000,41110000
12,Interest Income ,- -,- -,- -,- -,- -,41000,- -,- -,- -,20000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,79000,- -,- -,- -,228000,46000,- -
14,Depreciation and Amortization,859000,753000,856000,1011000,- -,1627000,1538000,1585000,1625000,1513000,2574000,908000
15,EBITDA,2198000,2429000,3332000,4717000,- -,5680000,7680000,506000,-24513000,-24726000,-11178000,-4484000
16,EBITDA ratio,0.0732,0.0752,0.0935,0.1133,- -,0.1148,0.1177,0.0084,-0.4177,-0.3950,-0.2929,-0.1383
17,Operating Income,738000,1866000,2907000,4578000,- -,4831000,6240000,-998000,-25624000,-26363000,9324000,-8685000
18,Operating Income ratio,0.0246,0.0577,0.0816,0.1099,- -,0.0977,0.0956,-0.0165,-0.4367,-0.4211,0.2443,-0.2678
19,Total Other Income Expenses (Gains),-238000,115000,78000,63000,- -,-128000,-98000,-81000,-514000,-167000,-19012000,2451000
20,Income Before Tax,500000,1981000,2985000,4641000,- -,4703000,6142000,-1079000,-26138000,-26530000,-9688000,-6234000
