,https://roic.ai/company/TEN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6648000000,7318000000,7605000000,3279000000,3549000000,3364000000,3459000000,3766000000,4213000000,4441000000,4685000000,6184000000,5916000000,4649000000,5937000000,7205000000,7363000000,7964000000,8420000000,8209000000,8599000000,9274000000,11763000000,17450000000,15379000000,18035000000
2,COGS,4762000000,5206000000,5344000000,2427000000,2766000000,2699000000,2735000000,2994000000,3371000000,3583000000,3838000000,5210000000,5063000000,3875000000,4900000000,6037000000,6170000000,6734000000,7025000000,6845000000,7111000000,7812000000,10071000000,14912000000,13402000000,15665000000
3,Gross Profit,1886000000,2112000000,2261000000,852000000,783000000,665000000,724000000,772000000,842000000,858000000,847000000,974000000,853000000,774000000,1037000000,1168000000,1193000000,1230000000,1395000000,1364000000,1488000000,1462000000,1692000000,2538000000,1977000000,2370000000
4,Gross Profit Ratio,0.2837,0.2886,0.2973,0.2598,0.2206,0.1977,0.2093,0.2050,0.1999,0.1932,0.1808,0.1575,0.1442,0.1665,0.1747,0.1621,0.1620,0.1544,0.1657,0.1662,0.1730,0.1576,0.1438,0.1454,0.1286,0.1314
5,Research and Development Exp.,92000000,68000000,66000000,52000000,58000000,48000000,67000000,67000000,76000000,83000000,88000000,114000000,127000000,97000000,117000000,133000000,126000000,144000000,169000000,146000000,154000000,158000000,204000000,324000000,273000000,285000000
6,General and Administrative Exp.,857000000,915000000,1106000000,521000000,459000000,372000000,351000000,364000000,417000000,385000000,377000000,399000000,392000000,344000000,417000000,428000000,427000000,453000000,519000000,491000000,589000000,648000000,794000000,1138000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",857000000,915000000,1106000000,521000000,459000000,372000000,351000000,364000000,417000000,385000000,377000000,399000000,392000000,344000000,417000000,428000000,427000000,453000000,519000000,491000000,589000000,648000000,794000000,1138000000,- -,1017000000
9,Other Expenses,309000000,365000000,448000000,144000000,151000000,153000000,144000000,163000000,177000000,177000000,184000000,205000000,222000000,221000000,216000000,207000000,205000000,205000000,208000000,203000000,212000000,224000000,345000000,673000000,1528000000,593000000
10,Operating Expenses,1258000000,1348000000,1620000000,717000000,668000000,573000000,562000000,594000000,670000000,645000000,649000000,718000000,741000000,662000000,750000000,768000000,758000000,802000000,896000000,840000000,955000000,1030000000,1343000000,2135000000,1801000000,1895000000
11,COGS and Expenses,6020000000,6554000000,6964000000,3144000000,3434000000,3272000000,3297000000,3588000000,4041000000,4228000000,4487000000,5928000000,5804000000,4537000000,5650000000,6805000000,6928000000,7536000000,7921000000,7685000000,8066000000,8842000000,11414000000,17047000000,15203000000,17560000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133000000,149000000,108000000,105000000,80000000,91000000,67000000,92000000,73000000,132000000,322000000,277000000,274000000
14,Depreciation and Amortization,- -,- -,- -,144000000,151000000,153000000,144000000,163000000,177000000,177000000,184000000,205000000,222000000,221000000,216000000,207000000,205000000,205000000,208000000,203000000,212000000,224000000,345000000,673000000,639000000,593000000
15,EBITDA,604000000,478000000,371000000,-197000000,82000000,74000000,-50000000,184000000,165000000,260000000,238000000,283000000,96000000,294000000,473000000,560000000,604000000,590000000,656000000,666000000,670000000,574000000,595000000,680000000,-146000000,1084000000
16,EBITDA ratio,0.0909,0.0653,0.0488,-0.0601,0.0231,0.0220,-0.0145,0.0489,0.0392,0.0585,0.0508,0.0458,0.0162,0.0632,0.0797,0.0777,0.0820,0.0741,0.0779,0.0811,0.0779,0.0619,0.0506,0.0390,-0.0095,0.0601
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,-116000000,-183000000,-171000000,-138000000,-2000000,-1000000,2000000,-2000000,-178000000,-238000000,-20000000,-155000000,-129000000,-112000000,-84000000,-98000000,-72000000,-97000000,-88000000,-175000000,-604000000,-1177000000,-786000000
20,Income Before Tax,628000000,764000000,641000000,19000000,-68000000,-79000000,24000000,176000000,171000000,215000000,196000000,78000000,-126000000,92000000,132000000,271000000,323000000,344000000,401000000,452000000,436000000,344000000,174000000,-201000000,-1001000000,282000000
21,Income Before Tax Ratio,0.0945,0.1044,0.0843,0.0058,-0.0192,-0.0235,0.0069,0.0467,0.0406,0.0484,0.0418,0.0126,-0.0213,0.0198,0.0222,0.0376,0.0439,0.0432,0.0476,0.0551,0.0507,0.0371,0.0148,-0.0115,-0.0651,0.0156
22,Income Tax expense (Gain),194000000,163000000,116000000,82000000,-27000000,51000000,-7000000,-6000000,-25000000,25000000,3000000,83000000,289000000,13000000,69000000,88000000,19000000,122000000,131000000,149000000,3000000,70000000,63000000,19000000,459000000,182000000
23,Net Income,410000000,315000000,255000000,-423000000,-42000000,-130000000,-187000000,27000000,13000000,58000000,51000000,-5000000,-415000000,-73000000,39000000,157000000,275000000,183000000,226000000,247000000,363000000,207000000,55000000,-334000000,-1521000000,35000000
24,Net Income ratio,0.0617,0.0430,0.0335,-0.1290,-0.0118,-0.0386,-0.0541,0.0072,0.0031,0.0131,0.0109,-0.0008,-0.0701,-0.0157,0.0066,0.0218,0.0373,0.0230,0.0268,0.0301,0.0422,0.0223,0.0047,-0.0191,-0.0989,0.0019
25,EPS,11.65,9.25,7.60,-12.64,-1.20,-3.43,-4.70,0.67,0.33,1.35,1.15,-0.11,-8.95,-1.50,0.65,2.62,4.58,3.03,3.72,4.14,6.49,3.93,0.93,-3.88,-18.69,0.43
26,EPS Diluted,11.65,9.20,7.55,-12.64,-1.20,-3.43,-4.74,0.65,0.31,1.29,1.10,-0.11,-8.95,-1.50,0.63,2.55,4.50,2.97,3.66,4.11,6.44,3.91,0.93,-3.88,-18.69,0.43
27,Weighted Average Shares Outstanding,34127055,34052946,33701114,33480686,34735766,37779837,39795481,40426136,41534810,43088558,44625220,45809730,46406095,48600000,59200000,59900000,60000000,60500000,60700000,59700000,55900000,52796184,58600000,80900000,81400000,81400000
28,Weighted Average Shares Outstanding Diluted,34127055,34160327,33766906,33656063,34906825,38001248,41667815,41767959,44180460,45321225,46755573,45809730,46406095,48600000,61000000,61500000,61100000,61600000,61800000,60200000,56400000,53026911,58800000,80900000,81400000,81400000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1024725/000095013703001525/0000950137-03-001525-index.html,https://www.sec.gov/Archives/edgar/data/1024725/000095013704001747/0000950137-04-001747-index.html,https://www.sec.gov/Archives/edgar/data/1024725/000095013705003080/0000950137-05-003080-index.html,- -,https://www.sec.gov/Archives/edgar/data/1024725/000095013707003139/0000950137-07-003139-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000095013708003112/0000950137-08-003112-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000095013709001362/0000950137-09-001362-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000095012310018414/0000950123-10-018414-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000095012311019050/0000950123-11-019050-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000119312512078624/0001193125-12-078624-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000119312513084604/0001193125-13-084604-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472514000006/0001024725-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472515000005/0001024725-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472516000026/0001024725-16-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472517000005/0001024725-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472518000006/0001024725-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472519000004/0001024725-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472520000004/0001024725-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472521000004/0001024725-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472522000005/0001024725-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,62000000,41000000,36000000,84000000,35000000,53000000,54000000,145000000,214000000,141000000,202000000,188000000,126000000,167000000,233000000,214000000,223000000,275000000,282000000,287000000,347000000,315000000,697000000,564000000,798000000,859000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,62000000,41000000,36000000,84000000,35000000,53000000,54000000,145000000,214000000,141000000,202000000,188000000,126000000,167000000,233000000,214000000,223000000,275000000,282000000,287000000,347000000,315000000,697000000,564000000,798000000,859000000
34,Net Receivables,699000000,809000000,864000000,571000000,487000000,395000000,409000000,442000000,488000000,543000000,604000000,757000000,574000000,596000000,826000000,980000000,986000000,1060000000,1088000000,1112000000,1294000000,1321000000,2572000000,2538000000,2423000000,2308000000
35,Inventory,878000000,950000000,988000000,412000000,422000000,326000000,352000000,343000000,382000000,360000000,439000000,539000000,513000000,428000000,547000000,592000000,667000000,656000000,688000000,682000000,730000000,869000000,2245000000,1999000000,1743000000,1846000000
