,https://roic.ai/company/TCOM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6453000,43984000,100060497,173176862,333820248,521437840,833321297,1289127636,1588338796,2122561976,2881233497,3498084628,4158791249,5386745542,7346918369,10897568061,19228439814,26779631018,30965000000,35666000000,18316000000,20023000000
2,COGS,1950000,7940000,13674635,25658548,48475307,88663556,153002358,236565446,326610463,450602773,625261342,805129784,1037791093,1386767067,2100606413,3043439819,4729750192,4678209103,6324000000,7372000000,4031000000,4598000000
3,Gross Profit,4503000,36044000,86385862,147518313,285344941,432774284,680318939,1052562189,1261728333,1671959203,2255972155,2692954844,3121000156,3999978475,5246311956,7854128242,14498689622,22101421915,24641000000,28294000000,14285000000,15425000000
4,Gross Profit Ratio,0.6978,0.8195,0.8633,0.8518,0.8548,0.8300,0.8164,0.8165,0.7944,0.7877,0.7830,0.7698,0.7505,0.7426,0.7141,0.7207,0.7540,0.8253,0.7958,0.7933,0.7799,0.7704
5,Research and Development Exp.,6817000,7759000,13366500,20687445,37959225,57533360,105848591,177556719,235800504,308451348,453853000,601485367,911904722,1245719192,2321348753,3296692936,7687421506,8259232508,9620000000,10670000000,7667000000,8992000000
6,General and Administrative Exp.,11677000,16621000,- -,- -,- -,- -,- -,- -,171693601,196297316,294701167,400875621,570487457,646404879,861550628,1088402408,2518819170,2621832381,2820000000,3289000000,3636000000,2922000000
7,Selling and Marketing Exp.,17378000,30359000,- -,- -,- -,- -,- -,- -,286693188,345289299,453292701,624599686,984002165,1269412720,2214209719,3087989953,5860927432,8294186482,9596000000,9295000000,4405000000,4922000000
8,"Selling, General and Administrative Exp.",29055000,46980000,- -,- -,- -,- -,- -,- -,458386789,541586615,747993868,1025475307,1554489622,1915817599,3075760347,4176392361,8379746602,10916018863,12416000000,12584000000,8041000000,7844000000
9,Other Expenses,371000,957000,49746476,68745466,111715770,155648861,265440858,746221154,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,36243000,55696000,63112976,89432911,149674995,213182221,371289448,923777873,694187293,850037963,1201846868,1626960674,2466394344,3161536791,5397109100,7473085297,16067168108,19175251371,22036000000,23254000000,15708000000,16836000000
11,COGS and Expenses,38193000,63636000,76787611,115091459,198150302,301845777,524291806,1160343319,1020797756,1300640736,1827108210,2432090458,3504185437,4548303858,7497715513,10516525116,20796918300,23853460474,28360000000,30626000000,19739000000,21434000000
12,Interest Income ,- -,- -,- -,400629,- -,12665836,15619258,- -,31100097,17392472,37585865,106002655,165799964,200068533,304583544,445767036,567144610,987610015,1899000000,2094000000,2187000000,2132000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57043756,162354675,302425829,731922838,1286284010,1508000000,1677000000,1716000000,1565000000
14,Depreciation and Amortization,- -,- -,3587049,5521385,6773828,8836623,14202242,26316543,2625968,8135635,9742475,89876523,99001189,121040782,182121001,316214010,718835720,883201662,982000000,1450000000,1566000000,- -
15,EBITDA,-31065000,-17603000,27826071,69595525,152417314,263764047,295804759,483301733,549647245,798767342,1262829176,1428477645,1107933009,1470144544,718036613,3596484146,498064396,5592020549,4395000000,11880000000,390000000,1285000000
16,EBITDA ratio,-4.8140,-0.4002,0.2781,0.4019,0.4566,0.5058,0.3550,0.3749,0.3461,0.3763,0.4383,0.4084,0.2664,0.2729,0.0977,0.3300,0.0259,0.2088,0.1419,0.3331,0.0213,0.0642
17,Operating Income,-31740000,-19652000,23272886,58085403,135669946,219592063,255000122,40490568,461206876,687366222,1054125287,1065994170,654605812,838441684,-150797144,381042945,-1568478486,2926170544,2605000000,5040000000,-1423000000,-1411000000
18,Operating Income ratio,-4.9186,-0.4468,0.2326,0.3354,0.4064,0.4211,0.3060,0.0314,0.2904,0.3238,0.3659,0.3047,0.1574,0.1556,-0.0205,0.0350,-0.0816,0.1093,0.0841,0.1413,-0.0777,-0.0705
19,Total Other Income Expenses (Gains),675000,2049000,966135,5494721,10012505,35604264,26823579,416490604,86044692,78193752,136711381,223626380,296087907,306147151,286235304,2624321037,-191626515,580324142,-684000000,4047000000,198000000,940000000
20,Income Before Tax,-31065000,-17603000,24239021,63580124,145682452,255196327,281823701,456981172,547251568,765559974,1190836668,1289620550,950693719,1144588835,135438160,3005363982,-1760105001,3506494686,1921000000,9087000000,-1225000000,-471000000
21,Income Before Tax Ratio,-4.8140,-0.4002,0.2422,0.3671,0.4364,0.4894,0.3382,0.3545,0.3445,0.3607,0.4133,0.3687,0.2286,0.2125,0.0184,0.2758,-0.0915,0.1309,0.0620,0.2548,-0.0669,-0.0235
22,Income Tax expense (Gain),-7088000,-2342000,10043811,10251197,12517126,30589902,41242116,58089317,102913404,131658085,205016961,262186225,294525956,293740322,130821156,470188423,478009033,1280523340,793000000,1742000000,355000000,270000000
23,Net Income,-23977000,-15261000,14195210,53822942,133126361,224337521,240360402,398895873,444107873,658973622,1048069740,1076414897,714405864,998319684,242739781,2507655884,-1430703195,2142011537,1112000000,7011000000,-3247000000,-550000000
24,Net Income ratio,-3.7156,-0.3470,0.1419,0.3108,0.3988,0.4302,0.2884,0.3094,0.2796,0.3105,0.3638,0.3077,0.1718,0.1853,0.0330,0.2301,-0.0744,0.0800,0.0359,0.1966,-0.1773,-0.0275
25,EPS,-0.38,-0.41,-0.12,0.04,0.54,0.88,0.93,1.51,1.67,2.45,3.70,3.74,2.61,3.79,0.89,8.29,-3.02,4.04,2.03,12.35,-5.40,-0.92
