,https://roic.ai/company/SWI,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,728017000,833089000,932525000,1019241000,718632000
2,COGS,- -,231731000,246735000,255454000,274616000,227016000
3,Gross Profit,- -,496286000,586354000,677071000,744625000,491616000
4,Gross Profit Ratio,- -,0.6817,0.7038,0.7261,0.7306,0.6841
5,Research and Development Exp.,- -,86618000,96272000,110362000,126216000,101813000
6,General and Administrative Exp.,- -,67303000,80641000,97525000,137541000,130977000
7,Selling and Marketing Exp.,- -,205631000,227468000,264199000,298452000,236383000
8,"Selling, General and Administrative Exp.",- -,272934000,308109000,361724000,435993000,367360000
9,Other Expenses,- -,67080000,66788000,69812000,74973000,55314000
10,Operating Expenses,- -,426632000,471169000,541898000,637182000,524487000
11,COGS and Expenses,- -,658363000,717904000,797352000,911798000,751503000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,169786000,142008000,108071000,75884000,64522000
14,Depreciation and Amortization,- -,250876000,258362000,263244000,277856000,230135000
15,EBITDA,- -,359194000,278660000,398819000,384059000,210780000
16,EBITDA ratio,- -,0.4934,0.3345,0.4277,0.3768,0.2933
17,Operating Income,- -,69654000,115185000,135173000,107443000,-32871000
18,Operating Income ratio,- -,0.0957,0.1383,0.1450,0.1054,-0.0457
19,Total Other Income Expenses (Gains),- -,-131122000,-236895000,-107669000,-77124000,-64068000
20,Income Before Tax,- -,-61468000,-121710000,27504000,30319000,-96939000
21,Income Before Tax Ratio,- -,-0.0844,-0.1461,0.0295,0.0297,-0.1349
22,Income Tax expense (Gain),- -,22398000,-19644000,8862000,-128156000,-32469000
23,Net Income,- -,-83866000,-102066000,18642000,158475000,-51408000
24,Net Income ratio,- -,-0.1152,-0.1225,0.0200,0.1555,-0.0715
25,EPS,- -,-2.58,5.20,0.12,1.02,-0.33
26,EPS Diluted,- -,-2.58,5.12,0.12,1.00,-0.33
27,Weighted Average Shares Outstanding,- -,136766500,70150500,153384000,155277000,155277000
28,Weighted Average Shares Outstanding Diluted,- -,136766500,71270500,155584000,157781500,157781500
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739942/000173994221000043/0001739942-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1739942/000173994222000020/0001739942-22-000020-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,101643000,277716000,382620000,173372000,370498000,732116000
32,Short-Term Investments,2000000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,103643000,277716000,382620000,173372000,370498000,732116000
