,https://roic.ai/company/ECOL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,57800000,47900000,68100000,42100000,46300000,48700000,55800000,70900000,60300000,71900000,67900000,49972000,41522000,38960000,34352000,41958000,56016000,46789000,57047000,54167000,79387000,116838000,165520000,175827000,132519000,104836000,154917000,169138000,201126000,447411000,563070000,477665000,504042000,565928000,685509000,933854000,988001000
2,COGS,37800000,34000000,49600000,31000000,35100000,33700000,37400000,45000000,38900000,47900000,63800000,46076000,23219000,23545000,16609000,21832000,33502000,25223000,33479000,30897000,48350000,80249000,120007000,126386000,96243000,65825000,101050000,102841000,122140000,301625000,391660000,330070000,350915000,395834000,475675000,688805000,754923000
3,Gross Profit,20000000,13900000,18500000,11100000,11200000,15000000,18400000,25900000,21400000,24000000,4100000,3896000,18303000,15415000,17743000,20126000,22514000,21566000,23568000,23270000,31037000,36589000,45513000,49441000,36276000,39011000,53867000,66297000,78986000,145786000,171410000,147595000,153127000,170094000,209834000,245049000,233078000
4,Gross Profit Ratio,0.3460,0.2902,0.2717,0.2637,0.2419,0.3080,0.3297,0.3653,0.3549,0.3338,0.0604,0.0780,0.4408,0.3957,0.5165,0.4797,0.4019,0.4609,0.4131,0.4296,0.3910,0.3132,0.2750,0.2812,0.2737,0.3721,0.3477,0.3920,0.3927,0.3258,0.3044,0.3090,0.3038,0.3006,0.3061,0.2624,0.2359
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21502000,- -,- -,- -,- -,- -,- -,- -,141123000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5900000,8200000,10400000,36700000,8500000,7900000,8800000,9900000,11900000,12400000,16400000,11682000,21909000,15702000,14762000,16665000,22280000,12631000,13819000,10553000,12506000,12835000,14646000,14920000,13835000,18634000,21502000,25659000,26055000,73336000,93079000,77566000,84466000,92340000,141123000,201067000,199732000
9,Other Expenses,900000,1000000,1300000,1500000,3200000,1200000,1700000,1800000,2900000,6300000,7300000,7451000,- -,- -,- -,- -,- -,- -,- -,-431000,-901000,-704000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,6800000,9200000,11700000,38200000,11700000,9100000,10500000,11700000,14800000,18700000,23700000,19133000,21909000,15702000,14762000,16665000,22280000,12631000,13819000,10122000,11605000,12131000,14646000,14920000,13835000,18634000,21502000,25659000,26055000,73336000,93079000,77566000,84466000,92340000,141123000,201067000,199732000
11,COGS and Expenses,44600000,43200000,61300000,69200000,46800000,42800000,47900000,56700000,53700000,66600000,87500000,65209000,45128000,39247000,31371000,38497000,55782000,37854000,47298000,41019000,59955000,92380000,134653000,141306000,110078000,84459000,122552000,128500000,148195000,374961000,484739000,407636000,435381000,488174000,616798000,889872000,954655000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347000,- -,564000,831000,- -,413000,116000,51000,26000,17000,19000,107000,65000,96000,62000,215000,605000,258000,1417000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000,- -,- -,266000,- -,173000,8000,- -,7000,2000,320000,1604000,878000,828000,10677000,23370000,17317000,18157000,12130000,19239000,32595000,28966000
14,Depreciation and Amortization,900000,1000000,1300000,1500000,3200000,1200000,1700000,1800000,2900000,6300000,7300000,5383000,3106000,3152000,2054000,2028000,5030000,6604000,6973000,5957000,6775000,8093000,10009000,- -,- -,- -,15352000,15385000,16276000,32620000,40238000,35879000,38190000,38852000,56914000,103905000,105413000
