,https://roic.ai/company/GTBP,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3830000,4160000,2400000,3000000,2300000,3200000,5100000,4800000,2700000,2800000,3000000,3500000,5100000,4900000,5100000,5100000,7165000,3540000,2968000,2050000,2740000,2364000,2497000,5776000,6049000,1143000,48000,11000,26000,342000,368000,61000,27000,- -,- -,- -,- -,- -,- -
2,COGS,2280000,2330000,900000,1100000,500000,1200000,2100000,1900000,1000000,1200000,1200000,1500000,1600000,1600000,2000000,2600000,5051000,2616000,2430000,1140000,1496000,1216000,1345000,3084000,3261000,909000,50000,65000,48000,94000,226000,57000,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,1550000,1830000,1500000,1900000,1800000,2000000,3000000,2900000,1700000,1600000,1800000,2000000,3500000,3300000,3100000,2500000,2114000,924000,538000,910000,1244000,1148000,1152000,2692000,2788000,234000,-2000,-54000,-22000,248000,142000,4000,27000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.4047,0.4399,0.6250,0.6333,0.7826,0.6250,0.5882,0.6042,0.6296,0.5714,0.6000,0.5714,0.6863,0.6735,0.6078,0.4902,0.2950,0.2610,0.1813,0.4439,0.4540,0.4856,0.4614,0.4661,0.4609,0.2047,-0.0417,-4.9091,-0.8462,0.7251,0.3859,0.0656,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,400000,590000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,4300000,4900000,4300000,4400000,2401000,1910000,762000,463000,369000,236000,499000,708000,1037000,44000,- -,179000,17000,- -,- -,- -,1000000,975000,1068000,9067000,1667000,485000,9591000
6,General and Administrative Exp.,1190000,1130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3469000,3362000,935000,- -,- -,- -,- -,12487000,9790000,6279000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,420000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1190000,1130000,2300000,2500000,1600000,2100000,2500000,2400000,2200000,2100000,3400000,1700000,3300000,2800000,2600000,3600000,3285000,3297000,2287000,1258000,1648000,2026000,2342000,4654000,2867000,1401000,1154000,2264000,3889000,3762000,935000,2400000,7954000,8399000,134502000,12487000,9790000,6279000,47924000
9,Other Expenses,10000,-0,- -,- -,- -,- -,- -,- -,- -,- -,100000,600000,1400000,1400000,1200000,1600000,838000,443000,942000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
