,https://roic.ai/company/BELFA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,17900000,23300000,33700000,37600000,30200000,36600000,36600000,50400000,47500000,45700000,70700000,65500000,73500000,90800000,119500000,145226811,96044817,95527892,158497502,190021953,215915756,254932986,259137000,258350000,182753000,302539000,295121000,286594000,349189000,487076000,567080000,500153000,491611000,548184000,492412000,465771000,543494000
2,COGS,11100000,13600000,19500000,23500000,21200000,24000000,21100000,29400000,30300000,33700000,47600000,43500000,47300000,54600000,70000000,82546790,89603327,72420220,113812860,132776304,156146724,192985004,203007000,217079000,161454000,239185000,244749000,240092000,286952000,399100000,458253000,400245000,389601000,438414000,381715000,346041000,409111000
3,Gross Profit,6800000,9700000,14200000,14100000,9000000,12600000,15500000,21000000,17200000,12000000,23100000,22000000,26200000,36200000,49500000,62680021,6441490,23107672,44684642,57245649,59769032,61947982,56130000,41271000,21299000,63354000,50372000,46502000,62237000,87976000,108827000,99908000,102010000,109770000,110697000,119730000,134383000
4,Gross Profit Ratio,0.3799,0.4163,0.4214,0.3750,0.2980,0.3443,0.4235,0.4167,0.3621,0.2626,0.3267,0.3359,0.3565,0.3987,0.4142,0.4316,0.0671,0.2419,0.2819,0.3013,0.2768,0.2430,0.2166,0.1597,0.1165,0.2094,0.1707,0.1623,0.1782,0.1806,0.1919,0.1998,0.2075,0.2002,0.2248,0.2571,0.2473
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26925000,23611000,21891000
6,General and Administrative Exp.,4800000,5900000,7300000,8500000,9000000,10500000,16000000,10200000,11300000,11500000,12600000,11500000,13800000,16600000,19500000,23284152,21561028,22269733,26757349,31301722,33151672,37800403,36117000,36093000,30055000,40443000,39284000,39343000,45831000,72051000,78113000,71005000,85067000,79937000,76062000,78704000,86612000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4800000,5900000,7300000,8500000,9000000,10500000,16000000,10200000,11300000,11500000,12600000,11500000,13800000,16600000,19500000,23284152,21561028,22269733,26757349,31301722,33151672,37800403,36117000,36093000,30055000,40443000,39284000,39343000,45831000,72051000,78113000,71005000,85067000,79937000,76062000,78704000,86612000
9,Other Expenses,1000000,1100000,1400000,1800000,2000000,2200000,2400000,2400000,2400000,2600000,3000000,3000000,3400000,4100000,6100000,5931755,- -,- -,- -,1032786,- -,1029853,-5499000,14805000,-4693000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
