,https://roic.ai/company/BHVN,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,63627000,462509000
2,COGS,- -,- -,- -,- -,- -,17694000,91664000
3,Gross Profit,- -,- -,- -,- -,- -,45933000,370845000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.7219,0.8018
5,Research and Development Exp.,7559000,55529000,89441000,189951000,344673000,228998000,361340000
6,General and Administrative Exp.,2137000,5109000,18141000,34603000,134449000,462323000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2137000,5109000,18141000,34603000,134449000,462323000,713549000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,9696000,60638000,107582000,224554000,479122000,691321000,1074889000
11,COGS and Expenses,9696000,60638000,107582000,224554000,479122000,709015000,1166553000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,385000,906000,11764000,39291000,85497000,134449000
14,Depreciation and Amortization,- -,5000,- -,- -,- -,9447000,24932000
15,EBITDA,-9696000,-63143000,-122549000,-227509000,-485220000,-661625000,-682132000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-10.3985,-1.4749
17,Operating Income,-9696000,-60638000,-107582000,-224554000,-479122000,-645388000,-704044000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-10.1433,-1.5222
19,Total Other Income Expenses (Gains),-370000,-2806000,-18602000,-15901000,-49264000,-113000000,-139279000
20,Income Before Tax,-10066000,-63444000,-126184000,-240455000,-528386000,-758388000,-843323000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.9193,-1.8234
22,Income Tax expense (Gain),- -,90000,1006000,467000,419000,10227000,5073000
23,Net Income,-10062000,-63677000,-127190000,-240922000,-528805000,-766796000,-846586000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-12.0514,-1.8304
25,EPS,-0.77,-4.48,-5.00,-6.15,-10.91,-13.06,-14.41
26,EPS Diluted,-0.77,-4.48,-5.00,-6.15,-10.91,-13.06,-14.41
27,Weighted Average Shares Outstanding,13088861,14215323,27845576,39188458,48489890,58732415,58732415
28,Weighted Average Shares Outstanding Diluted,13088861,14215323,27845576,39188458,48489890,58732415,58732415
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1689813/000104746918001326/0001047469-18-001326-index.htm,https://www.sec.gov/Archives/edgar/data/1689813/000168981319000014/0001689813-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1689813/000168981320000016/0001689813-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1689813/000168981321000024/0001689813-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1689813/000168981322000014/0001689813-22-000014-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,1460000,23565000,131468000,264249000,316727000,132149000,171945000
32,Short-Term Investments,- -,- -,- -,- -,- -,223185000,192648000
33,Cash and Short-Term Investments,1460000,23565000,131468000,264249000,316727000,355334000,364593000
34,Net Receivables,- -,- -,- -,- -,2978000,120111000,308269000
