,https://roic.ai/company/SLQT,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,233688000,337469000,531515000,937815000
2,COGS,83340000,104421000,167399000,270715000
3,Gross Profit,150348000,233048000,364116000,667100000
4,Gross Profit Ratio,0.6434,0.6906,0.6851,0.7113
5,Research and Development Exp.,9913000,8326000,12347000,18623000
6,General and Administrative Exp.,15157000,15864000,35283000,63114000
7,Selling and Marketing Exp.,82122000,110265000,184157000,385291000
8,"Selling, General and Administrative Exp.",97279000,126129000,219440000,448405000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,107192000,134455000,231787000,467028000
11,COGS and Expenses,190532000,238876000,399186000,737743000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),929000,1660000,25761000,29320000
14,Depreciation and Amortization,3468000,4702000,7993000,16142000
15,EBITDA,45915000,100975000,139917000,211311000
16,EBITDA ratio,0.1965,0.2992,0.2632,0.2253
17,Operating Income,43156000,96288000,132329000,200072000
18,Operating Income ratio,0.1847,0.2853,0.2490,0.2133
19,Total Other Income Expenses (Gains),-1638000,-1675000,-26166000,-34223000
20,Income Before Tax,41518000,94613000,106163000,165849000
21,Income Before Tax Ratio,0.1777,0.2804,0.1997,0.1768
22,Income Tax expense (Gain),6619000,22034000,25016000,34803000
23,Net Income,34899000,72579000,81147000,131046000
24,Net Income ratio,0.1493,0.2151,0.1527,0.1397
25,EPS,0.17,0.56,0.83,0.80
26,EPS Diluted,0.16,0.55,0.83,0.79
27,Weighted Average Shares Outstanding,134060000,129449000,97496000,162889000
28,Weighted Average Shares Outstanding Diluted,138206000,132491000,97496000,165544000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1794783/000179478320000014/0001794783-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1794783/000179478321000122/0001794783-21-000122-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,958000,570000,321065000,286454000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,958000,570000,321065000,286454000
34,Net Receivables,79016000,95937000,134843000,204377000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,3593000,6450000,57926000,2604000
37,Total Current Assets,83567000,102957000,513834000,493435000
38,PP&E,11082000,13759000,22150000,60924000
39,Goodwill,5364000,5364000,46577000,68019000
40,Intangible Assets,929000,4895000,28072000,53281000
41,Intangible Assets,6293000,10259000,74649000,121300000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,196615000,279965000,463160000,758213000
45,Total Non-Current Assets,213990000,303983000,559959000,940437000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,297557000,406940000,1073793000,1433872000
48,Accounts Payable,- -,- -,22891000,34079000
49,Short-Term Debt,- -,- -,- -,7837000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,3302000,2025000,- -,5080000
52,Other Current Liabilities,20981000,31197000,72920000,61821000
53,Total Current Liabilities,24283000,33222000,95811000,108817000
54,Long-Term Debt,19752000,21647000,311814000,497462000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,59614000,81252000,105844000,140988000
57,Other Non-Current Liabilities,5982000,7567000,14635000,11716000
58,Total Non-Current Liabilities,85348000,110466000,432293000,650166000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,77000,112000,- -,43896000
61,Total Liabilities,109631000,143688000,528104000,758983000
62,Preferred Stock,797000,797000,- -,- -
63,Common Stock,1096000,1153000,1622000,1635000
64,Retained Earnings,129472000,200446000,-2792000,128254000
65,Other Comprehensive Income/Loss,-10258000,-9226000,-14340000,229000
66,Other Total Stockholders Equity,66819000,70082000,561199000,544771000
67,Total Stockholders Equity,187926000,263252000,545689000,674889000
68,Total Liabilities And Stockholders Equity,297557000,406940000,1073793000,1433872000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,297557000,406940000,1073793000,1433872000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1794783/000179478320000014/0001794783-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1794783/000179478321000122/0001794783-21-000122-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,34899000,72579000,81147000,131046000
74,Depreciation and Amortization,3468000,4702000,7993000,16142000
75,Deferred Income Tax,6584000,21991000,25007000,34654000
76,Stock Based Compensation,67000,86000,9498000,5165000
77,Change in Working Capital,-50634000,10451000,348288000,-33405000
78,Accounts Receivable,-6300000,-8676000,-15585000,-27827000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -
81,Other Working Capital,59284000,69735000,418023000,384618000
82,Other Non-Cash Items,770000,-109696000,-533709000,-269044000
83,Cash Provided by Operating Activities,-4846000,113000,-61776000,-115442000
84,CAPEX,-6020000,-8636000,-15552000,-22988000
85,Acquisitions Net,- -,- -,- -,-41028000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-624000,-4715000,-41924000,-8081000
89,Cash Used for Investing Activites,-6020000,-8636000,-51370000,-64016000
90,Debt Repayment,-77976000,-145736000,-230468000,-84369000
91,Common Stock Issued,- -,- -,340200000,- -
92,Common Stock Repurchased,-441000,-34000,- -,- -
93,Dividends Paid,-1882000,-1958000,-275000000,- -
94,Other Financing Activites,91781000,155863000,646714000,181411000
95,Cash Used/Provided by Financing Activities,11482000,8135000,481446000,97042000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,616000,-388000,368300000,-82416000
98,Cash at the End of Period,958000,570000,368870000,286454000
99,Cash at the Beginning of Period,342000,958000,570000,368870000
100,Free Cash Flow,-10866000,-8523000,-77328000,-138430000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1794783/000179478320000014/0001794783-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1794783/000179478321000122/0001794783-21-000122-index.htm
102,false,,,,
