,https://roic.ai/company/APWC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,142900000,108200000,124132000,165397000,170689000,241179000,211399000,294256000,337262000,468117000,510841000,500798000,362231000,469330000,471946000,462265000,460676000,451327000,389632000,384565000,425215000,425940000,338160000,313564000
2,COGS,119000000,90700000,99072000,151217000,153727000,206435000,178239000,255384000,300455000,409702000,465165000,488048000,315840000,407642000,428051000,410450000,408860000,414583000,366143000,352957000,385527000,389692000,313373000,279686000
3,Gross Profit,23900000,17500000,25060000,14180000,16962000,34744000,33160000,38872000,36807000,58415000,45676000,12750000,46391000,61688000,43895000,51815000,51816000,36744000,23489000,31608000,39688000,36248000,24787000,33878000
4,Gross Profit Ratio,0.1672,0.1617,0.2019,0.0857,0.0994,0.1441,0.1569,0.1321,0.1091,0.1248,0.0894,0.0255,0.1281,0.1314,0.0930,0.1121,0.1125,0.0814,0.0603,0.0822,0.0933,0.0851,0.0733,0.1080
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7700000,9400000,15706000,12428000,14715000,19282000,20351000,28867000,26754000,28537000,29451000,29032000,28715000,32511000,30760000,33682000,34559000,29479000,26882000,26325000,27248000,26924000,25051000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7700000,9400000,15706000,12428000,14715000,19282000,20351000,28867000,26754000,28537000,29451000,29032000,28715000,32511000,30760000,33682000,34559000,29479000,26882000,26325000,27248000,26924000,25051000,27006000
9,Other Expenses,4700000,5500000,10463000,1404000,506000,1559000,-1336000,- -,- -,196000,- -,12000,-860000,-1317000,2460000,- -,196000,2168000,332000,851000,226000,722000,-73000,-1224000
10,Operating Expenses,12400000,14900000,26169000,13832000,15221000,20841000,19015000,28867000,26754000,28733000,29451000,29044000,27855000,31194000,33220000,33682000,34755000,31647000,27214000,27176000,27474000,27646000,24978000,25782000
11,COGS and Expenses,131400000,105600000,125241000,165049000,168948000,227276000,197254000,284251000,327209000,438435000,494616000,517092000,343695000,438836000,461271000,444132000,443615000,446230000,393357000,380133000,413001000,417338000,338351000,305468000
12,Interest Income ,- -,1900000,- -,709000,844000,715000,285000,225000,680000,705000,1517000,990000,458000,602000,1409000,1555000,1306000,1167000,697000,1045000,876000,482000,506000,320000
13,Interest Expense (Gain),- -,2000000,- -,4063000,3807000,2214000,1407000,2250000,3427000,5886000,7580000,5769000,2597000,2561000,2217000,2195000,1339000,1373000,1300000,958000,962000,1200000,845000,615000
14,Depreciation and Amortization,4700000,5500000,10463000,10197000,10001000,9805000,9217000,8295000,9429000,8989000,9079000,7646000,8941000,6857000,6462000,4975000,5659000,6046000,5634000,5497000,5021000,4980000,5324000,5402000
15,EBITDA,-2000000,15800000,5458000,16701000,11114000,21493000,23101000,12737000,11759000,38105000,27790000,1898000,26971000,30449000,7806000,26502000,18363000,10265000,-563000,9818000,19843000,12994000,6594000,9481000
16,EBITDA ratio,-0.0140,0.1460,0.0440,0.1010,0.0651,0.0891,0.1093,0.0433,0.0349,0.0814,0.0544,0.0038,0.0745,0.0649,0.0165,0.0573,0.0399,0.0227,-0.0014,0.0255,0.0467,0.0305,0.0195,0.0302
17,Operating Income,11500000,2600000,-1109000,348000,1741000,13903000,14145000,10005000,10053000,29682000,16225000,-16294000,18459000,30494000,1884000,23593000,17242000,5186000,-2585000,7338000,16615000,8684000,-649000,7557000
18,Operating Income ratio,0.0805,0.0240,-0.0089,0.0021,0.0102,0.0576,0.0669,0.0340,0.0298,0.0634,0.0318,-0.0325,0.0510,0.0650,0.0040,0.0510,0.0374,0.0115,-0.0066,0.0191,0.0391,0.0204,-0.0019,0.0241
19,Total Other Income Expenses (Gains),-18200000,5700000,-3896000,2093000,-4435000,-4429000,3415000,1249000,-8367000,2878000,-3065000,-3774000,1113000,1784000,-1248000,3700000,-458000,-151000,-6352000,-803000,2053000,2648000,1755000,168000
20,Income Before Tax,-6700000,8300000,-5005000,2441000,-2694000,9474000,17560000,11254000,1686000,32560000,13160000,-20068000,19572000,32278000,636000,27293000,16784000,5035000,-8937000,6535000,18668000,11332000,1106000,7725000
21,Income Before Tax Ratio,-0.0469,0.0767,-0.0403,0.0148,-0.0158,0.0393,0.0831,0.0382,0.0050,0.0696,0.0258,-0.0401,0.0540,0.0688,0.0013,0.0590,0.0364,0.0112,-0.0229,0.0170,0.0439,0.0266,0.0033,0.0246
22,Income Tax expense (Gain),-700000,4200000,1163000,7584000,-1411000,4683000,2477000,4716000,3860000,10257000,6298000,2132000,5344000,6891000,4566000,8383000,5518000,2274000,661000,510000,5140000,3886000,2057000,4016000
23,Net Income,-6000000,4100000,-6168000,-5143000,-1283000,4791000,10000000,-2524000,-4957000,12973000,4833000,-13649000,10089000,14140000,-5439000,10949000,5847000,572000,-8158000,2853000,8720000,2928000,-1632000,-552000
24,Net Income ratio,-0.0420,0.0379,-0.0497,-0.0311,-0.0075,0.0199,0.0473,-0.0086,-0.0147,0.0277,0.0095,-0.0273,0.0279,0.0301,-0.0115,0.0237,0.0127,0.0013,-0.0209,0.0074,0.0205,0.0069,-0.0048,-0.0018
25,EPS,-0.60,0.38,-0.57,-0.48,-0.12,0.35,0.72,-0.18,-0.36,0.94,0.35,-0.99,0.73,1.02,-0.39,0.79,0.42,0.04,-0.59,0.21,0.63,0.21,-0.12,-0.04
26,EPS Diluted,-0.60,0.38,-0.57,-0.48,-0.12,0.35,0.72,-0.18,-0.36,0.94,0.35,-0.99,0.73,1.02,-0.39,0.79,0.42,0.04,-0.59,0.21,0.63,0.21,-0.12,-0.04
27,Weighted Average Shares Outstanding,10000000,10789474,10733000,10733333,10733333,13830769,13830769,13830769,13830769,13830769,13830769,13830769,13830769,13830769,13830769,13830751,13820200,13819669,13819669,13819669,13819669,13819669,13819669,13819669
28,Weighted Average Shares Outstanding Diluted,10000000,10789474,10733000,10733333,10733333,13830769,13830769,13830769,13830769,13830769,13830769,13830769,13830769,13830769,13830769,13830751,13820200,13819669,13819669,13819669,13819669,13819669,13819669,13819669
