,https://roic.ai/company/CFRX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,13211111,9133175,8868053,15004512,22101720,17314086,22416651,18057025,22613968,35508000
6,General and Administrative Exp.,5943062,10163259,8067858,10060825,11430526,9249671,8707774,9809423,11625621,11757000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5943062,10163259,8067858,10060825,11430526,9249671,8707774,9809423,11625621,11757000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,19154173,19296434,16935911,25065337,33532246,26563757,31124425,27866448,34239589,47265000
11,COGS and Expenses,19154173,19296434,16935911,25065337,33532246,26563757,31124425,27866448,34239589,- -
12,Interest Income ,- -,- -,- -,- -,- -,418135,672227,359270,192702,109000
13,Interest Expense (Gain),129281,1712178,12412620,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,529104,559237,551323,537344,451008,187249,151292,169159,168249,148000
15,EBITDA,-18625069,-18737197,-16384588,-24527993,-33081238,-26376508,-30973133,-27697289,-34239589,-47117000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-19154173,-19296434,-16935911,-25065337,-33532246,-26563757,-31124425,-27866448,-34239589,-47265000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-129281,-4324268,-13213173,-55627,4993847,11046099,-6559999,15071955,6083916,26983000
20,Income Before Tax,-19283454,-23620702,-30149084,-25120964,-28538399,-15517658,-37684424,-12794493,-28155673,-20282000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-19283454,-23620702,-30149084,-25120964,-28538399,-15517658,-37684424,-12794493,-28155673,-20282000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-34.64,-42.40,-38.60,-10.80,-8.50,-2.80,-5.00,-1.54,-1.24,-0.89
26,EPS Diluted,-34.64,-42.40,-38.60,-10.80,-8.50,-2.80,-5.00,-1.54,-1.24,-0.89
27,Weighted Average Shares Outstanding,556666,556666,897359,2332892,3353946,5559573,7606266,8283509,22763528,22763528
28,Weighted Average Shares Outstanding Diluted,556666,556666,897359,2332892,3353946,5559573,7606266,8283509,22763528,22763528
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1478069/000119312515107237/d845954d10k.htm,https://www.sec.gov/Archives/edgar/data/1478069/000119312516505381/0001193125-16-505381-index.html,https://www.sec.gov/Archives/edgar/data/1478069/000119312517083861/0001193125-17-083861-index.html,https://www.sec.gov/Archives/edgar/data/1478069/000119312518084172/0001193125-18-084172-index.html,https://www.sec.gov/Archives/edgar/data/1478069/000119312519074982/0001193125-19-074982-index.html,https://www.sec.gov/Archives/edgar/data/1478069/000119312520077242/0001193125-20-077242-index.htm,https://www.sec.gov/Archives/edgar/data/1478069/000119312521100376/0001193125-21-100376-index.htm,https://www.sec.gov/Archives/edgar/data/1478069/000119312522084065/0001193125-22-084065-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,7886264,4145270,25722453,9972781,3806984,6995046,8320317,24184140,15484899,16654000
32,Short-Term Investments,- -,- -,1670606,22948872,31354170,39858864,22131936,- -,27005388,37631000
33,Cash and Short-Term Investments,7886264,4145270,27393059,32921653,35161154,46853910,30452253,24184140,42490287,54285000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,267797,198410,368787,1176895,1017645,1848063,988799,6575375,4799165,8579000
37,Total Current Assets,8154061,4343680,27761846,34098548,36178799,48701973,31441052,30759515,47289452,62864000
38,PP&E,3307982,2735175,2148155,1618968,1281152,1093903,1076099,4143774,3720707,3285000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,27005388,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1743621,2604980,143621,143621,164519,393603,355420,105420,-26899968,613000
45,Total Non-Current Assets,5051603,5340155,2291776,1762589,1445671,1487506,1431519,4249194,3826127,3898000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13205664,9683835,30053622,35861137,37624470,50189479,32872571,35008709,51115579,66762000
48,Accounts Payable,2246114,2124906,481626,1517417,1549845,1302431,1427287,2622272,1805854,2389000
49,Short-Term Debt,1069800,- -,- -,- -,- -,- -,- -,631889,644527,657000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1398229,4991940,3677485,2251767,2868352,3118237,4369732,6803789,3609722,9128000
53,Total Current Liabilities,4714143,7116846,4159111,3769184,4418197,4420668,5797019,10057950,6060103,12174000
54,Long-Term Debt,489184,9816365,- -,- -,- -,- -,- -,- -,- -,2609000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,40233853,45661124,313004,1416443,13693419,14575366,21533592,9405853,32435731,2603000
58,Total Non-Current Liabilities,40723037,55477489,313004,1416443,13693419,14575366,21533592,9405853,32435731,5212000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,900303,- -,- -,- -,- -,- -,- -,3896017,3603422,- -
61,Total Liabilities,45437180,62594335,4472115,5185627,18111616,18996034,27330611,19463803,38495834,17386000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,101,101,2021,2748,4166,7366,7941,1533,2781,4000
64,Retained Earnings,-34220209,-57840911,-92458447,-117579411,-146117810,-161635468,-199319892,-212114385,- -,-260552000
65,Other Comprehensive Income/Loss,-698158,-1257395,-627,-30373,-51666,-74820,-30300,- -,-20920,-84000
66,Other Total Stockholders Equity,2686750,6187705,118038560,148282546,165678164,192896367,204884211,227657758,12637884,310008000
67,Total Stockholders Equity,-32231516,-52910500,25581507,30675510,19512854,31193445,5541960,15544906,12619745,49376000
68,Total Liabilities And Stockholders Equity,13205664,9683835,30053622,35861137,37624470,50189479,32872571,35008709,51115579,66762000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,13205664,9683835,30053622,35861137,37624470,50189479,32872571,35008709,51115579,66762000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1478069/000119312515107237/d845954d10k.htm,https://www.sec.gov/Archives/edgar/data/1478069/000119312516505381/0001193125-16-505381-index.html,https://www.sec.gov/Archives/edgar/data/1478069/000119312517083861/0001193125-17-083861-index.html,https://www.sec.gov/Archives/edgar/data/1478069/000119312518084172/0001193125-18-084172-index.html,https://www.sec.gov/Archives/edgar/data/1478069/000119312519074982/0001193125-19-074982-index.html,https://www.sec.gov/Archives/edgar/data/1478069/000119312520077242/0001193125-20-077242-index.htm,https://www.sec.gov/Archives/edgar/data/1478069/000119312521100376/0001193125-21-100376-index.htm,https://www.sec.gov/Archives/edgar/data/1478069/000119312522084065/0001193125-22-084065-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-19283454,-23620702,-30149084,-25120964,-28538399,-15517658,-37684424,-12794493,-28155673,-20282000
74,Depreciation and Amortization,529104,559237,551323,537344,451008,187249,151292,169159,168249,148000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,181616,2309569,1511509,1989862,2231883,1623128,1555523,1446549,2576456,3194000
77,Change in Working Capital,2214264,-6213084,26375901,6726629,1431238,12520703,-18637272,-4942468,20527784,9460651
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1804476,2002469,-1148829,600415,649014,324160,1127409,-444725,-4010485,6101000
81,Other Working Capital,3439918,-2773166,23602735,30329364,31760602,44281305,25644033,20701565,41229349,50690000
82,Other Non-Cash Items,48266,12908556,-13154411,-6315472,-4876070,-23342415,28356032,-11306640,-28303131,-33645651
83,Cash Provided by Operating Activities,-16310204,-14056424,-14864762,-22182601,-29300340,-24528993,-26258849,-27427893,-33186315,-41125000
84,CAPEX,-58917,- -,- -,-8157,-113192,- -,-133488,-19999,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-1671233,-33524927,-36459405,-53162598,-23846176,- -,-47555466,-48698000
87,Sales/Maturities of Investments,- -,- -,- -,11933000,27604030,43802957,41130888,21991125,- -,37085000
88,Other Investing Activites,-158917,1588570,60697,- -,- -,- -,- -,- -,20150848,- -
89,Cash Used for Investing Activites,-158917,1588570,-1610536,-21600084,-8968567,-9359641,17151224,21971126,-27404618,-11613000
90,Debt Repayment,-961351,-1900510,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,41281998,20000000,35000000,40000000,11500000,23034000,31391369,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9420433,10627370,-3229517,8033013,-2896891,-2923304,-1067104,-1713410,20500323,53907000
95,Cash Used/Provided by Financing Activities,8459082,8726860,38052481,28033013,32103109,37076696,10432896,21320590,51891692,53907000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-8010039,-3740994,21577183,-15749672,-6165797,3188062,1325271,15863823,-8699241,1169101
98,Cash at the End of Period,7886264,4145270,25722453,9972781,3806984,6995046,8320317,24184140,15484899,16654000
99,Cash at the Beginning of Period,15896303,7886264,4145270,25722453,9972781,3806984,6995046,8320317,24184140,15484899
100,Free Cash Flow,-16369121,-14056424,-14864762,-22190758,-29413532,-24528993,-26392337,-27447892,-33186315,-41125000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1478069/000119312515107237/d845954d10k.htm,https://www.sec.gov/Archives/edgar/data/1478069/000119312516505381/0001193125-16-505381-index.html,https://www.sec.gov/Archives/edgar/data/1478069/000119312517083861/0001193125-17-083861-index.html,https://www.sec.gov/Archives/edgar/data/1478069/000119312518084172/0001193125-18-084172-index.html,https://www.sec.gov/Archives/edgar/data/1478069/000119312519074982/0001193125-19-074982-index.html,https://www.sec.gov/Archives/edgar/data/1478069/000119312520077242/0001193125-20-077242-index.htm,https://www.sec.gov/Archives/edgar/data/1478069/000119312521100376/0001193125-21-100376-index.htm,https://www.sec.gov/Archives/edgar/data/1478069/000119312522084065/0001193125-22-084065-index.htm
102,false,,,,,,,,,,
