,https://roic.ai/company/BYND,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,16182000,32581000,87934000,297897000,406785000,464700000
2,COGS,22494000,34772000,70360000,198141000,284510000,347419000
3,Gross Profit,-6312000,-2191000,17574000,99756000,122275000,117281000
4,Gross Profit Ratio,-0.3901,-0.0672,0.1999,0.3349,0.3006,0.2524
5,Research and Development Exp.,5782000,5722000,9587000,20650000,31535000,66946000
6,General and Administrative Exp.,12672000,17143000,34461000,74726000,133655000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12672000,17143000,34461000,74726000,133655000,209474000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,18454000,22865000,44048000,95376000,165190000,276420000
11,COGS and Expenses,40948000,57637000,114408000,293517000,449700000,623839000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),380000,1002000,1128000,3071000,2576000,3648000
14,Depreciation and Amortization,2074000,3181000,4921000,8106000,13299000,21663000
15,EBITDA,-22692000,-26196000,-23836000,-1257000,-36805000,-156734000
16,EBITDA ratio,-1.4023,-0.8040,-0.2711,-0.0042,-0.0905,-0.3373
17,Operating Income,-24766000,-28565000,-27989000,-489000,-49345000,-174933000
18,Operating Income ratio,-1.5305,-0.8767,-0.3183,-0.0016,-0.1213,-0.3764
19,Total Other Income Expenses (Gains),-380000,-1814000,-1896000,-11945000,-3335000,-4135000
20,Income Before Tax,-25146000,-30379000,-29885000,-12434000,-52680000,-179068000
21,Income Before Tax Ratio,-1.5539,-0.9324,-0.3399,-0.0417,-0.1295,-0.3853
22,Income Tax expense (Gain),3000,5000,1000,9000,72000,60000
23,Net Income,-25149000,-30384000,-29886000,-12443000,-52752000,-182105000
24,Net Income ratio,-1.5541,-0.9326,-0.3399,-0.0418,-0.1297,-0.3919
25,EPS,-0.54,-0.66,-0.64,-0.29,-0.85,-2.88
26,EPS Diluted,-0.54,-0.66,-0.64,-0.29,-0.85,-2.88
27,Weighted Average Shares Outstanding,46362849,46362849,46362849,42274777,62290445,63172368
28,Weighted Average Shares Outstanding Diluted,46362849,46362849,46362849,42274777,62290445,63172368
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1655210/000162828020003841/0001628280-20-003841-index.htm,https://www.sec.gov/Archives/edgar/data/1655210/000165521021000032/0001655210-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1655210/000165521022000019/0001655210-22-000019-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,16998000,39035000,54271000,275988000,159127000,733294000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,16998000,39035000,54271000,275988000,159127000,733294000
34,Net Receivables,879000,3581000,12626000,40080000,35975000,43806000
35,Inventory,6185000,8144000,30257000,81596000,121717000,241870000
36,Other Current Assets,437000,1209000,5672000,5930000,15407000,33078000
37,Total Current Assets,24499000,51969000,102826000,403594000,332226000,1052048000
38,PP&E,10277000,14118000,30527000,47474000,129869000,253304000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,8023000
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,159000,376000,396000,855000,5911000,66024000
45,Total Non-Current Assets,10436000,14494000,30923000,48329000,135780000,327351000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,34935000,66463000,133749000,451923000,468006000,1379399000
48,Accounts Payable,2540000,6276000,17247000,26923000,53071000,69040000
49,Short-Term Debt,683000,3120000,44000,11072000,28166000,4640000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1911000,2754000,6726000,9702000,7730000,20509000
53,Total Current Liabilities,5134000,12150000,24017000,47697000,88967000,94189000
54,Long-Term Debt,2415000,1938000,30388000,19569000,- -,1152715000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,93959000,148288000,404000,567000,11942000,- -
58,Total Non-Current Liabilities,96374000,150226000,30792000,20136000,11942000,1152715000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,375000,237000,448000,639000,15108000,27681000
61,Total Liabilities,101508000,162376000,54809000,67833000,100909000,1246904000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,5000,6000,6000,6000
64,Retained Earnings,-69402000,-99786000,-129672000,-142115000,-194867000,-376972000
65,Other Comprehensive Income/Loss,-5113000,-7778000,-12676000,-20709000,1748000,-553000
66,Other Total Stockholders Equity,7941000,11650000,221283000,546908000,560210000,510014000
67,Total Stockholders Equity,-66573000,-95913000,78940000,384090000,367097000,132495000
68,Total Liabilities And Stockholders Equity,34935000,66463000,133749000,451923000,468006000,1379399000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,34935000,66463000,133749000,451923000,468006000,1379399000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1655210/000162828020003841/0001628280-20-003841-index.htm,https://www.sec.gov/Archives/edgar/data/1655210/000165521021000032/0001655210-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1655210/000165521022000019/0001655210-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-25149000,-30384000,-29886000,-12443000,-52752000,-182105000
74,Depreciation and Amortization,2074000,3181000,4921000,8106000,13299000,21663000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,735000,665000,2241000,12807000,27279000,27698000
