,https://roic.ai/company/XPEL,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,2017481,2594935,3043885,3392677,5856704,7776128,3834565,4129964,6041853,10670838,17898812,29630179,41470126,51759267,67749544,109920614,129932881,158924448,259263077
2,COGS,840518,1302681,1278728,1310184,2451895,3503109,1629132,1900609,3526394,7036237,12153098,20373246,29153669,37744837,50975178,76484009,86426622,104899439,166586090
3,Gross Profit,1176963,1292254,1765157,2082493,3404809,4273019,2205433,2229355,2515459,3634601,5745714,9256933,12316457,14014430,16774366,33436605,43506259,54025009,92676987
4,Gross Profit Ratio,0.5834,0.4980,0.5799,0.6138,0.5814,0.5495,0.5751,0.5398,0.4163,0.3406,0.3210,0.3124,0.2970,0.2708,0.2476,0.3042,0.3348,0.3399,0.3575
5,Research and Development Exp.,109188,110375,198705,218594,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,922876,1418403,1954208,2752031,3478635,4230196,1647276,- -,1673208,2317751,3340302,5675156,8207243,9378047,11988409,14802628,18834535,20906785,34288171
7,Selling and Marketing Exp.,156329,247175,267779,323071,510830,713600,31700,- -,175859,185983,272345,603243,1044994,788131,1181304,6802241,7584377,9748292,18273197
8,"Selling, General and Administrative Exp.",1079205,1665578,2221987,3075102,3989465,4943796,1678976,- -,1849067,2503734,3612647,6278399,9252237,10166178,13169713,21604869,26418912,30655077,52561368
9,Other Expenses,22160,151451,65070,99212,224343,473926,352394,1901448,53417,57102,90172,186261,455945,595701,1368597,- -,- -,- -,- -
10,Operating Expenses,1210553,1927404,2485762,3392908,4213808,5417722,2031370,1901448,1902484,2560836,3702819,6464660,9708182,10761879,14538310,21604869,26418912,30655077,52561368
11,COGS and Expenses,2051071,3230085,3764490,4703092,6665703,8920831,3660502,3802057,5428878,9597073,15855917,26837906,38861851,48506716,65513488,98088878,112845534,135554516,219147458
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,48248,33335,15509,4326,1424,6772,36748,224641,223045,337670,168389,96646,249480,302674
14,Depreciation and Amortization,22160,151451,65070,99212,236077,456916,354999,330913,338751,354153,383755,477196,891370,1140126,1766011,1378784,1697023,2230032,4387668
