,https://roic.ai/company/FWONK,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,2050000000,1409000000,1999000000,4002000000,4450000000,- -,- -,1783000000,1827000000,2022000000,178000000,2136000000
2,COGS,- -,- -,- -,1825000000,2073000000,- -,- -,1219000000,1273000000,1394000000,- -,1489000000
3,Gross Profit,- -,1409000000,- -,2177000000,2377000000,- -,- -,564000000,554000000,628000000,- -,647000000
4,Gross Profit Ratio,- -,1.0000,- -,0.5440,0.5342,- -,- -,0.3163,0.3032,0.3106,- -,0.3029
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,151000000,- -,764000000,873000000,72000000,58000000,199000000,204000000,210000000,- -,- -
8,"Selling, General and Administrative Exp.",- -,151000000,- -,764000000,873000000,72000000,58000000,199000000,204000000,210000000,- -,210000000
9,Other Expenses,1903000000,727000000,1673000000,599000000,663000000,9000000,10000000,405000000,460000000,453000000,-170000000,397000000
10,Operating Expenses,1903000000,878000000,1673000000,1363000000,1536000000,81000000,68000000,604000000,664000000,663000000,-170000000,607000000
11,COGS and Expenses,1903000000,878000000,1673000000,3188000000,3609000000,81000000,68000000,1823000000,1937000000,2057000000,299000000,2096000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,- -
13,Interest Expense (Gain),65000000,16000000,33000000,132000000,255000000,20000000,19000000,220000000,192000000,195000000,146000000,123000000
14,Depreciation and Amortization,823000000,53000000,817000000,315000000,359000000,9000000,10000000,405000000,460000000,453000000,441000000,397000000
15,EBITDA,1317000000,1070000000,2864000000,9092000000,858000000,-108000000,-45000000,319000000,452000000,247000000,-190000000,293000000
16,EBITDA ratio,0.6424,0.7594,1.4327,2.2719,0.1928,-Infinity,-Infinity,0.1789,0.2474,0.1222,-1.0674,0.1372
17,Operating Income,195000000,531000000,326000000,814000000,841000000,-81000000,443000000,-40000000,-110000000,-35000000,-444000000,40000000
18,Operating Income ratio,0.0951,0.3769,0.1631,0.2034,0.1890,-Infinity,Infinity,-0.0224,-0.0602,-0.0173,-2.4944,0.0187
