,https://roic.ai/company/CPAC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,756567000,898047000,994970000,1169808000,1239688000,1242579000,1231015000,1240169000,1225639000,1262251000,1392701000,1296334000,- -
2,COGS,405500000,478990000,569515000,713058000,716239000,724148000,695757000,736530000,732956000,796206000,905806000,921048000,1378336000
3,Gross Profit,351067000,419057000,425455000,456750000,523449000,518431000,535258000,503639000,492683000,466045000,486895000,375286000,- -
4,Gross Profit Ratio,0.4640,0.4666,0.4276,0.3904,0.4222,0.4172,0.4348,0.4061,0.4020,0.3692,0.3496,0.2895,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,127514000,152133000,196196000,182794000,188910000,173424000,168089000,171922000,169607000,149786000,146133000,132293000,- -
7,Selling and Marketing Exp.,17113000,16501000,23707000,30865000,29817000,30534000,31481000,39899000,46567000,43434000,44533000,40153000,51520000
8,"Selling, General and Administrative Exp.",144627000,168634000,219903000,213659000,218727000,203958000,199570000,211821000,216174000,193220000,190666000,172446000,247589000
9,Other Expenses,-20228000,-10097000,- -,10167000,2464000,12618000,8717000,13005000,14098000,24350000,15427000,19350000,- -
10,Operating Expenses,124399000,158537000,219903000,223826000,221191000,216576000,208287000,224826000,230272000,217570000,206093000,191796000,- -
11,COGS and Expenses,529899000,637527000,789418000,936884000,937430000,940724000,904044000,961356000,963228000,1013776000,1111899000,1112844000,1619517000
12,Interest Income ,1398000,2685000,2695000,22768000,26904000,7712000,3141000,2591000,2296000,1856000,1729000,2447000,2891000
13,Interest Expense (Gain),18633000,14810000,19219000,15747000,34779000,27163000,8896000,45859000,45880000,48652000,62076000,70798000,- -
14,Depreciation and Amortization,32702000,36288000,47633000,47954000,55871000,64759000,70810000,111266000,124206000,129779000,129818000,139167000,135567000
15,EBITDA,269673000,378422000,172925000,296449000,328679000,362217000,381480000,351926000,310900000,296125000,386247000,295863000,- -
16,EBITDA ratio,0.3564,0.4214,0.1738,0.2534,0.2651,0.2915,0.3099,0.2838,0.2537,0.2346,0.2773,0.2282,- -
17,Operating Income,226668000,336407000,118896000,230524000,292998000,300539000,318887000,272808000,198560000,241773000,270525000,176110000,318250000
18,Operating Income ratio,0.2996,0.3746,0.1195,0.1971,0.2363,0.2419,0.2590,0.2200,0.1620,0.1915,0.1942,0.1359,Infinity
19,Total Other Income Expenses (Gains),-8090000,-9193000,-15048000,-1181000,-58320000,-34282000,-20978000,-74698000,-70143000,-125632000,-76172000,-90212000,-94140000
20,Income Before Tax,218578000,327214000,103848000,229343000,234678000,266257000,297909000,198110000,128417000,116141000,194353000,85898000,224110000
21,Income Before Tax Ratio,0.2889,0.3644,0.1044,0.1961,0.1893,0.2143,0.2420,0.1597,0.1048,0.0920,0.1396,0.0663,Infinity
22,Income Tax expense (Gain),70570000,104105000,38379000,73743000,82395000,77468000,86242000,78627000,47032000,40995000,62306000,28004000,- -
23,Net Income,147768000,223219000,67694000,159005000,155634000,192827000,215532000,116174000,93782000,76699000,132047000,57894000,- -
24,Net Income ratio,0.1953,0.2486,0.0680,0.1359,0.1255,0.1552,0.1751,0.0937,0.0765,0.0608,0.0948,0.0447,- -
25,EPS,1.60,2.40,0.70,1.40,1.35,1.65,1.90,1.05,1.05,0.90,1.55,0.70,- -
26,EPS Diluted,1.60,2.40,0.70,1.40,1.35,1.65,1.88,1.05,1.05,0.90,1.55,0.70,- -
27,Weighted Average Shares Outstanding,93670400,93670400,93670400,114014400,116392800,116392800,114799600,108937400,89212400,85621400,85621400,82705714,82705714
28,Weighted Average Shares Outstanding Diluted,93670400,93670400,93670400,114014400,116392800,116392800,114799600,108937400,89212400,85621400,85621400,82705714,82705714
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1221029/000119312513183427/0001193125-13-183427-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000119312514169840/0001193125-14-169840-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000119312515162616/0001193125-15-162616-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000119312516569808/0001193125-16-569808-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000119312517149012/0001193125-17-149012-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000161577418003041/0001615774-18-003041-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000161577419006749/0001615774-19-006749-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000121390020010732/0001213900-20-010732-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,111660000,154493000,363279000,473785000,976952000,580499000,158007000,80215000,49216000,49067000,68266000,308912000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,111660000,154493000,363279000,473785000,976952000,580499000,158007000,80215000,49216000,49067000,68266000,308912000,- -
34,Net Receivables,38001000,36429000,79082000,68605000,67743000,107765000,108707000,80768000,99445000,99393000,120530000,84066000,- -
35,Inventory,123398000,160316000,206102000,278149000,334471000,324070000,307478000,346535000,373020000,424783000,519004000,460610000,- -
36,Other Current Assets,14026000,11463000,11629000,32870000,40205000,22487000,54288000,393219000,31674000,42844000,40530000,24151000,1009390000
37,Total Current Assets,287085000,362701000,660092000,853409000,1419371000,1034821000,628480000,900737000,553355000,616087000,748330000,877739000,1009390000
38,PP&E,1020457000,1101995000,1197401000,1444321000,1596441000,2118716000,2572677000,2316076000,2221969000,2152724000,2108888000,2028490000,- -
