,https://roic.ai/company/TAST,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,656289000,657027000,644985000,697879000,706910000,751426000,789409000,816327000,816140000,796144000,822486000,539608000,663500000,692755000,- -,859004000,1088532000,1179307000,1462765000,- -,1547502000
2,COGS,189947000,183976000,- -,409356000,409231000,430033000,457680000,481031000,644469000,638931000,658818000,469321000,409900000,429382000,- -,508272000,654647000,709137000,917247000,- -,950865000
3,Gross Profit,466342000,473051000,- -,288523000,297679000,321393000,331729000,335296000,171671000,157213000,163668000,70287000,253600000,263373000,- -,350732000,433885000,470170000,545518000,- -,596637000
4,Gross Profit Ratio,0.7106,0.7200,- -,0.4134,0.4211,0.4277,0.4202,0.4107,0.2103,0.1975,0.1990,0.1303,0.3822,0.3802,- -,0.4083,0.3986,0.3987,0.3729,- -,0.3855
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,191942000,196210000,197682000,212547000,222627000,51851000,51021000,57088000,36085000,114000000,116827000,- -,139685000,134503000,194891000,239743000,- -,202495000
7,Selling and Marketing Exp.,28830000,28041000,- -,24711000,25523000,27692000,30941000,31329000,31172000,30362000,30688000,22257000,- -,- -,- -,- -,44677000,- -,- -,- -,60735000
8,"Selling, General and Administrative Exp.",28830000,28041000,- -,216653000,221733000,225374000,243488000,253956000,83023000,81383000,87776000,58342000,114041000,116827000,- -,139685000,179180000,196336000,250570000,- -,263230000
9,Other Expenses,401186000,391712000,- -,42385000,34564000,31772000,32796000,37377000,31800000,32015000,32948000,26321000,144659000,154097000,- -,192474000,220612000,240249000,311134000,- -,316515000
10,Operating Expenses,430016000,419753000,- -,259038000,256297000,257146000,276284000,291333000,114823000,113398000,120724000,84663000,258700000,270924000,- -,332159000,399792000,436585000,561704000,- -,579745000
11,COGS and Expenses,619963000,603729000,- -,668394000,665528000,687179000,733964000,772364000,759292000,752329000,779542000,553984000,668600000,700306000,- -,840431000,1054439000,1145722000,1478951000,- -,1530610000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,19638000,18805000,21031000,12764000,18841000,18801000,- -,18569000,21710000,23638000,27856000,- -,27283000
14,Depreciation and Amortization,45461000,39434000,- -,37436000,31988000,31525000,28907000,29256000,32520000,32459000,33522000,26321000,33594000,36923000,- -,39845000,54159000,58468000,74674000,- -,81727000
15,EBITDA,37228000,43545000,1326000,22625000,30398000,51516000,51428000,49554000,86597000,68951000,69959000,10104000,28535000,29372000,- -,58418000,83632000,92053000,58488000,- -,85841000
16,EBITDA ratio,0.0567,0.0663,0.0021,0.0324,0.0430,0.0686,0.0651,0.0607,0.1061,0.0866,0.0851,0.0187,0.0430,0.0424,- -,0.0680,0.0768,0.0781,0.0400,- -,0.0555
17,Operating Income,36326000,53298000,- -,29485000,41382000,64247000,55445000,43963000,54077000,36492000,38907000,-14636000,-5075000,-7551000,- -,31208000,29473000,33355000,-8743000,- -,4114000
18,Operating Income ratio,0.0554,0.0811,- -,0.0422,0.0585,0.0855,0.0702,0.0539,0.0663,0.0458,0.0473,-0.0271,-0.0076,-0.0109,- -,0.0363,0.0271,0.0283,-0.0060,- -,0.0027
19,Total Other Income Expenses (Gains),-44559000,-39329000,- -,-44296000,-42972000,-44262000,-32924000,-23665000,-19638000,-18805000,-23501000,-14273000,-18825000,-18801000,- -,-31204000,-21710000,-23408000,-35299000,- -,-27283000
20,Income Before Tax,-8233000,13969000,- -,-14811000,-1590000,19985000,22521000,20298000,34439000,17687000,15406000,-28909000,-23900000,-26352000,- -,4000,7763000,9947000,-44042000,- -,-23169000
21,Income Before Tax Ratio,-0.0125,0.0213,- -,-0.0212,-0.0022,0.0266,0.0285,0.0249,0.0422,0.0222,0.0187,-0.0536,-0.0360,-0.0380,- -,0.0000,0.0071,0.0084,-0.0301,- -,-0.0150
22,Income Tax expense (Gain),-1428000,-4929000,- -,-6720000,2760000,6561000,7468000,7546000,12604000,5771000,4188000,-10093000,-10400000,11765000,- -,- -,604000,-157000,-12123000,- -,6294000
23,Net Income,-6805000,9040000,1326000,-8091000,-4350000,13430000,15053000,12752000,21835000,11916000,11218000,-18888000,-13500000,-38117000,- -,4000,7159000,10104000,-31919000,- -,-29463000
24,Net Income ratio,-0.0104,0.0138,0.0021,-0.0116,-0.0062,0.0179,0.0191,0.0156,0.0268,0.0150,0.0136,-0.0350,-0.0203,-0.0550,- -,0.0000,0.0066,0.0086,-0.0218,- -,-0.0190
