,https://roic.ai/company/SSKN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278461,536000,915000,18495000,31757000,31449000,29855000,31586000,23090000,29977000
2,COGS,248000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2042333,4341000,4935000,13719000,12636000,13498000,12735000,11316000,8956000,10127000
3,Gross Profit,-38000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1763872,-3805000,-4020000,4776000,19121000,17951000,17120000,20270000,14134000,19850000
4,Gross Profit Ratio,-0.1810,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6.3344,-7.0989,-4.3934,0.2582,0.6021,0.5708,0.5734,0.6417,0.6121,0.6622
5,Research and Development Exp.,726000,144000,404000,828000,1891551,3821712,7574744,7677578,12507959,10950114,11496634,9656003,6791940,3782000,1641000,2029000,1929000,1711000,1065000,1002000,1274000,1434000
6,General and Administrative Exp.,- -,- -,- -,1034000,1234210,2636064,4525789,5400371,5766238,7631251,8738203,10806228,14168754,15536000,10961000,10028000,7637000,7401000,8786000,10275000,7898000,9712000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9194000,13152000,11249000,10624000,12003000,9038000,13106000
8,"Selling, General and Administrative Exp.",- -,- -,- -,1034000,1234210,2636064,4525789,5400371,5766238,7631251,8738203,10806228,14168754,15536000,10961000,19222000,20789000,18650000,19410000,22278000,16936000,22818000
9,Other Expenses,1061000,2563000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1787000,2707000,- -,1862000,3125761,6457776,12100533,13077949,18274197,18581365,20234837,20462231,20960694,19318000,12602000,21251000,22718000,20361000,20475000,23280000,18210000,24252000
11,COGS and Expenses,2035000,2707000,915000,1862000,3125761,6457776,12100533,13077949,18274197,18581365,20234837,20462231,23003027,23659000,17537000,34970000,35354000,33859000,33210000,34596000,27166000,34379000
12,Interest Income ,- -,- -,- -,- -,27935,173888,728053,1054130,467587,45259,31582,54371,32034,8000,8000,- -,- -,- -,- -,- -,- -,15000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,564000,2380000,- -,- -,- -,- -,- -,- -,-314000
14,Depreciation and Amortization,- -,- -,- -,30000,25859,15596,138358,210867,308977,314352,552860,562803,969500,2439000,1790000,4051000,6366000,6336000,5397000,4821000,3911000,4086000
15,EBITDA,-2280000,-2707000,-915000,-1832000,-3099902,-6442180,-11962175,-12867082,-17965220,-18267013,-19681977,-19899428,-21703032,-22945000,-9975000,-20777000,3286000,-12366000,1100000,882000,-226000,1100000
16,EBITDA ratio,-10.8571,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-77.9392,-42.8078,-10.9016,-1.1234,0.1035,-0.3932,0.0368,0.0279,-0.0098,0.0367
17,Operating Income,-1825000,-2707000,-915000,-1862000,-3125761,-6457776,-12100533,-13077949,-18274197,-18581365,-20234837,-20462231,-22724566,-24134000,-16622000,-16475000,-3597000,-2410000,-3355000,-3010000,-4076000,-4402000
18,Operating Income ratio,-8.6905,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-81.6077,-45.0261,-18.1661,-0.8908,-0.1133,-0.0766,-0.1124,-0.0953,-0.1765,-0.1468
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,58567,201579,83262,280740,23145,52034,-1814000,2477000,-8353000,517000,-16292000,-942000,-929000,-61000,1730000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22672532,-25948000,-14145000,-24828000,-3080000,-18702000,-4297000,-3939000,-4137000,-2672000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81.4209,-48.4104,-15.4590,-1.3424,-0.0970,-0.5947,-0.1439,-0.1247,-0.1792,-0.0891
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119000,255000,129000,-264000,-149000,275000,34000
23,Net Income,-2280000,-2868000,-1141000,-1950000,-3619146,-6726347,-10591477,-11937444,-17605031,-18452844,-19922515,-20384715,-22672532,-25948000,-14145000,-24947000,-3335000,-18831000,-4033000,-3790000,-4412000,-2706000
24,Net Income ratio,-10.8571,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-81.4209,-48.4104,-15.4590,-1.3489,-0.1050,-0.5988,-0.1351,-0.1200,-0.1911,-0.0903
25,EPS,-82.00,-106.50,-50.00,-74.50,-129.00,-128.50,-47.00,-42.00,-54.00,-48.00,-41.50,-40.00,-37.00,-30.00,-15.15,-16.35,-1.55,-2.85,-0.15,-0.11,-0.13,-0.08
26,EPS Diluted,-82.00,-106.50,-50.00,-74.50,-129.00,-128.50,-47.00,-42.00,-54.00,-48.00,-41.50,-40.00,-37.00,-30.00,-15.15,-16.35,-3.75,-2.85,-0.15,-0.11,-0.13,-0.08
27,Weighted Average Shares Outstanding,30589,30695,30695,32297,35332,70176,225875,284409,325643,385875,480862,508317,615252,857890,1059185,1707339,2119013,2713782,19589031,32700000,33609922,34050274
28,Weighted Average Shares Outstanding Diluted,30589,30695,30695,32297,35332,70176,225875,284409,325643,385875,480862,508317,615252,857890,1059185,1707339,2315714,2713782,19589031,32700000,33609922,34050274
