,https://roic.ai/company/OCUL,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,10000,- -,772000,1750000,1887000,1923000,1990000,4227000,17403000,43522000
2,COGS,7000,- -,91000,319000,443000,457000,465000,2325000,2083000,4406000
3,Gross Profit,3000,- -,681000,1431000,1444000,1466000,1525000,1902000,15320000,39116000
4,Gross Profit Ratio,0.3000,- -,0.8821,0.8177,0.7652,0.7624,0.7663,0.4500,0.8803,0.8988
5,Research and Development Exp.,11540000,10517000,18880000,26611000,27065000,30880000,36915000,41091000,28694000,50083000
6,General and Administrative Exp.,1477000,1761000,6913000,9165000,11004000,15509000,18786000,22122000,22859000,31880000
7,Selling and Marketing Exp.,657000,625000,1982000,3852000,6701000,17000000,4942000,24491000,26614000,35190000
8,"Selling, General and Administrative Exp.",2134000,2386000,8895000,13017000,17705000,32509000,23728000,46613000,49473000,67070000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,4406000
10,Operating Expenses,13674000,12903000,27775000,39628000,44770000,63389000,60643000,87704000,78167000,121559000
11,COGS and Expenses,13681000,12903000,27866000,39947000,45213000,63846000,61108000,90029000,80250000,121559000
12,Interest Income ,4000,13000,7000,166000,304000,424000,879000,1229000,168000,33000
13,Interest Expense (Gain),377000,441000,1119000,1724000,1680000,1892000,1739000,6101000,6768000,-6671000
14,Depreciation and Amortization,404000,404000,547000,754000,881000,1625000,2286000,2530000,2773000,2421000
15,EBITDA,-13312000,-12472000,-26982000,-37270000,-42142000,-59869000,-55953000,-77741000,-146095000,-10803000
16,EBITDA ratio,-1331.2000,-Infinity,-34.9508,-21.2971,-22.3328,-31.1331,-28.1171,-18.3915,-8.3948,-0.2482
17,Operating Income,-13671000,-12903000,-27094000,-38197000,-43326000,-61923000,-59118000,-85802000,-62847000,-78037000
18,Operating Income ratio,-1367.1000,-Infinity,-35.0959,-21.8269,-22.9603,-32.2012,-29.7075,-20.2986,-3.6113,-1.7930
19,Total Other Income Expenses (Gains),-422000,-414000,-1554000,-1551000,-1377000,-1463000,-860000,-570000,-92789000,71484000
20,Income Before Tax,-14093000,-13317000,-28648000,-39748000,-44703000,-63386000,-59978000,-86372000,-155636000,-6553000
21,Income Before Tax Ratio,-1409.3000,-Infinity,-37.1088,-22.7131,-23.6900,-32.9620,-30.1397,-20.4334,-8.9431,-0.1506
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-14093000,-13317000,-28648000,-39748000,-44703000,-63386000,-59978000,-86372000,-155636000,-6553000
24,Net Income ratio,-1409.3000,-Infinity,-37.1088,-22.7131,-23.6900,-32.9620,-30.1397,-20.4334,-8.9431,-0.1506
25,EPS,-4.78,-0.91,-2.69,-1.71,-1.80,-2.20,-1.57,-1.91,-2.56,-0.09
26,EPS Diluted,-4.78,-0.91,-2.69,-1.71,-1.80,-2.20,-1.57,-1.91,-2.56,-0.98
27,Weighted Average Shares Outstanding,2952689,14605248,10652865,23244162,24816348,28818196,38115142,45273231,60752225,76392870
28,Weighted Average Shares Outstanding Diluted,2952689,14605248,10652865,23244162,24816348,28818196,38115142,45273231,60752225,82162102
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1393434/000119312515099288/0001193125-15-099288-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000119312516499184/0001193125-16-499184-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837017001627/0001558370-17-001627-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837018001678/0001558370-18-001678-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837019001659/0001558370-19-001659-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837020002537/0001558370-20-002537-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837021002813/0001558370-21-002813-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837022002363/0001558370-22-002363-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,23854000,17505000,37393000,30784000,32936000,41538000,54062000,54437000,228057000,164164000
32,Short-Term Investments,- -,- -,37435000,74280000,35209000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,23854000,17505000,74828000,105064000,68145000,41538000,54062000,54437000,228057000,164164000
34,Net Receivables,45000,269000,329000,193000,250000,226000,201000,2548000,12252000,21135000
35,Inventory,- -,- -,133000,134000,113000,122000,217000,954000,1201000,1250000
36,Other Current Assets,363000,240000,893000,1592000,1390000,1453000,1713000,2231000,4650000,4751000
37,Total Current Assets,24262000,18014000,76183000,106983000,69898000,43339000,56193000,60170000,246160000,191300000
38,PP&E,785000,904000,1782000,3095000,3313000,10478000,10236000,16806000,13939000,11823000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,238000,228000,228000,228000,1728000,1614000,6614000,1764000,1764000,1764000
45,Total Non-Current Assets,1023000,1132000,2010000,3323000,5041000,12092000,16850000,18570000,15703000,13587000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25285000,19146000,78193000,110306000,74939000,55431000,73043000,78740000,261863000,204887000
48,Accounts Payable,583000,545000,1316000,1957000,2116000,3571000,2965000,3268000,2709000,4592000
49,Short-Term Debt,- -,- -,1354000,- -,1549000,5545000,- -,- -,8290000,9172000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,250000,188000,42000,- -,- -,- -,- -,- -,13000000
52,Other Current Liabilities,2892000,2547000,3016000,3379000,4635000,4310000,6194000,8761000,15665000,-427000
53,Total Current Liabilities,3475000,3342000,5874000,5378000,8300000,13426000,9159000,12029000,26664000,26337000
54,Long-Term Debt,2259000,651000,13511000,15272000,14094000,12471000,24788000,49312000,41243000,5924000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,12000000,13000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,339000,281000,112000,68000,537000,3387000,3221000,21029000,105861000,71627000
58,Total Non-Current Liabilities,2598000,932000,13623000,15340000,14631000,15858000,28009000,70341000,159104000,90551000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,10031000,8906000,- -
61,Total Liabilities,6073000,4274000,19497000,20718000,22931000,29284000,37168000,82370000,185768000,116888000
62,Preferred Stock,65823000,74344000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000,2000,3000,3000,4000,5000,8000,8000
64,Retained Earnings,-47463000,-60780000,-89428000,-129176000,-173879000,-237265000,-297243000,-383615000,-539251000,-545804000
65,Other Comprehensive Income/Loss,-1271000,-1675000,-2221000,-2939000,-3818000,-5341000,-7627000,-10019000,- -,- -
66,Other Total Stockholders Equity,67946000,77327000,150343000,221701000,229702000,268750000,340741000,389999000,615338000,633795000
67,Total Stockholders Equity,19212000,14872000,58696000,89588000,52008000,26147000,35875000,-3630000,76095000,87999000
68,Total Liabilities And Stockholders Equity,25285000,19146000,78193000,110306000,74939000,55431000,73043000,78740000,261863000,204887000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,25285000,19146000,78193000,110306000,74939000,55431000,73043000,78740000,261863000,204887000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1393434/000119312515099288/0001193125-15-099288-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000119312516499184/0001193125-16-499184-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837017001627/0001558370-17-001627-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837018001678/0001558370-18-001678-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837019001659/0001558370-19-001659-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837020002537/0001558370-20-002537-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837021002813/0001558370-21-002813-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837022002363/0001558370-22-002363-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-14093000,-13317000,-28648000,-39748000,-44703000,-63386000,-59978000,-86372000,-155636000,-6553000
74,Depreciation and Amortization,404000,404000,547000,754000,881000,1625000,2286000,2530000,2773000,2421000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,243000,476000,2644000,4640000,5956000,7321000,7483000,8759000,7531000,14977000
77,Change in Working Capital,726000,-6115000,55637000,31296000,-40007000,-31685000,17121000,1107000,171355000,-54533000
78,Accounts Receivable,77000,-224000,-60000,136000,-57000,24000,25000,-2347000,-9704000,-8883000
79,Inventory,- -,- -,-133000,-1000,21000,-9000,-95000,-737000,-247000,-49000
80,Accounts Payable,145000,-174000,507000,348000,-159000,932000,-796000,124000,-452000,1796000
81,Other Working Capital,20787000,14672000,70309000,101605000,61598000,29913000,47034000,48141000,219496000,164963000
82,Other Non-Cash Items,135000,5907000,-50676000,-30685000,43872000,35652000,-16139000,-3602000,-79577000,-21862000
83,Cash Provided by Operating Activities,-12585000,-12645000,-20496000,-33743000,-34001000,-50473000,-49227000,-77578000,-53554000,-65550000
84,CAPEX,-203000,-387000,-1260000,-1778000,-1919000,-8252000,-1889000,-2238000,-841000,-1000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-37326000,-91684000,-41699000,-3000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,4017000,- -,- -,54826000,80684000,38200000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,67000,-1498000,119000,- -,- -,- -,-1193000
89,Cash Used for Investing Activites,3814000,-387000,-38586000,-38569000,35568000,27067000,-1889000,-2238000,-841000,-1194000
90,Debt Repayment,-909000,-1818000,-2273000,-1500000,- -,-1300000,-5657000,- -,-3201000,- -
91,Common Stock Issued,- -,- -,69518000,66176000,872000,29238000,61571000,37537000,224682000,985000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,28204000,8501000,11725000,1027000,-287000,4070000,12726000,37804000,6533000,1866000
95,Cash Used/Provided by Financing Activities,27295000,6683000,78970000,65703000,585000,32008000,68640000,75341000,228014000,2851000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,18524000,-6349000,19888000,-6609000,2152000,8602000,17524000,-4475000,173620000,-63893000
98,Cash at the End of Period,23854000,17505000,37393000,30784000,32936000,41538000,60676000,56201000,229821000,165928000
99,Cash at the Beginning of Period,5330000,23854000,17505000,37393000,30784000,32936000,43152000,60676000,56201000,229821000
100,Free Cash Flow,-12788000,-13032000,-21756000,-35521000,-35920000,-58725000,-51116000,-79816000,-54395000,-65551000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1393434/000119312515099288/0001193125-15-099288-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000119312516499184/0001193125-16-499184-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837017001627/0001558370-17-001627-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837018001678/0001558370-18-001678-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837019001659/0001558370-19-001659-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837020002537/0001558370-20-002537-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837021002813/0001558370-21-002813-index.htm,https://www.sec.gov/Archives/edgar/data/1393434/000155837022002363/0001558370-22-002363-index.htm
102,false,,,,,,,,,,
