,https://roic.ai/company/ENPH,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,20194000,61661000,149523000,216678000,232846000,343904000,357249000,322591000,286166000,316159000,624333000,774425000,1382049000
2,COGS,23223000,55159000,120454000,161390000,165430000,230861000,249032000,264583000,230123000,221714000,403088000,428444000,827627000
3,Gross Profit,-3029000,6502000,29069000,55288000,67416000,113043000,108217000,58008000,56043000,94445000,221245000,345981000,554422000
4,Gross Profit Ratio,-0.1500,0.1054,0.1944,0.2552,0.2895,0.3287,0.3029,0.1798,0.1958,0.2987,0.3544,0.4468,0.4012
5,Research and Development Exp.,8411000,14296000,25099000,35601000,34524000,45386000,50819000,50703000,33157000,32587000,40381000,55921000,105526000
6,General and Administrative Exp.,2603000,6365000,15228000,24875000,23970000,31083000,30830000,27418000,22221000,29086000,38808000,50694000,104090000
7,Selling and Marketing Exp.,2651000,6558000,17454000,25973000,31080000,41003000,45877000,38810000,23126000,27047000,36728000,52927000,128974000
8,"Selling, General and Administrative Exp.",5254000,12923000,32682000,50848000,55050000,72086000,76707000,66228000,45347000,56133000,75536000,103621000,233064000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,13665000,27219000,57781000,86449000,89574000,117472000,127526000,116931000,78504000,88720000,115917000,159542000,338590000
11,COGS and Expenses,36888000,82378000,178235000,247839000,255004000,348333000,376558000,381514000,308627000,310434000,519005000,587986000,1166217000
12,Interest Income ,125000,39000,4000,17000,- -,- -,- -,- -,- -,- -,2513000,2156000,695000
13,Interest Expense (Gain),356000,914000,3006000,6436000,2055000,1863000,501000,2773000,7936000,9635000,9691000,21001000,45152000
14,Depreciation and Amortization,803000,1550000,3032000,5568000,6981000,8259000,10539000,10638000,9004000,9667000,14119000,18103000,32439000
15,EBITDA,-15766000,-19313000,-26252000,-25563000,-16014000,2836000,-9663000,-52576000,-28401000,9073000,113924000,158514000,198519000
16,EBITDA ratio,-0.7807,-0.3132,-0.1756,-0.1180,-0.0688,0.0082,-0.0270,-0.1630,-0.0992,0.0287,0.1825,0.2047,0.1436
17,Operating Income,-16694000,-20717000,-28712000,-31161000,-22158000,-4429000,-19309000,-62700000,-39378000,1596000,102729000,186439000,215832000
18,Operating Income ratio,-0.8267,-0.3360,-0.1920,-0.1438,-0.0952,-0.0129,-0.0540,-0.1944,-0.1376,0.0050,0.1645,0.2407,0.1562
19,Total Other Income Expenses (Gains),- -,-185000,-576000,-6406000,-2892000,-2857000,-1394000,-3287000,-5963000,-11825000,-12615000,-67029000,-94904000
20,Income Before Tax,- -,- -,- -,-37567000,-25050000,-7286000,-20703000,-65987000,-45341000,-10229000,90114000,119410000,120928000
21,Income Before Tax Ratio,- -,- -,- -,-0.1734,-0.1076,-0.0212,-0.0580,-0.2046,-0.1584,-0.0324,0.1443,0.1542,0.0875
22,Income Tax expense (Gain),- -,- -,- -,651000,863000,766000,1379000,1475000,-149000,1398000,-71034000,-14585000,-24521000
23,Net Income,-16925000,-21777000,-32290000,-38218000,-25913000,-8052000,-22082000,-67462000,-45192000,-11627000,161148000,133995000,145449000
24,Net Income ratio,-0.8381,-0.3532,-0.2160,-0.1764,-0.1113,-0.0234,-0.0618,-0.2091,-0.1579,-0.0368,0.2581,0.1730,0.1052
25,EPS,-14.98,-19.27,-0.82,-1.24,-0.62,-0.19,-0.49,-1.34,-0.54,-0.12,1.38,1.07,1.16
26,EPS Diluted,-14.98,-19.27,-0.82,-1.24,-0.62,-0.19,-0.49,-1.34,-0.54,-0.12,1.23,0.95,1.16
27,Weighted Average Shares Outstanding,1130000,1130000,39290870,30740000,41647000,42903000,44632000,50519000,82939000,99619000,116713000,125561000,125561000
28,Weighted Average Shares Outstanding Diluted,1130000,1130000,39290870,30740000,41647000,42903000,44632000,50519000,82939000,99619000,131644000,141918000,125561000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1463101/000144530513000492/0001445305-13-000492-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310114000007/0001463101-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310115000017/0001463101-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310116000040/0001463101-16-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310117000024/0001463101-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310118000030/0001463101-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310119000033/0001463101-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310120000021/0001463101-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310121000016/0001463101-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310122000016/0001463101-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8642000,39993000,51524000,45294000,38190000,42032000,28452000,17764000,29144000,106237000,251409000,679379000,119316000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,897335000
33,Cash and Short-Term Investments,8642000,39993000,51524000,45294000,38190000,42032000,28452000,17764000,29144000,106237000,251409000,679379000,1016651000
34,Net Receivables,6369000,8024000,17771000,27743000,32084000,45119000,46099000,61019000,65346000,78938000,145413000,182165000,333626000
35,Inventory,1483000,4521000,11228000,19843000,16580000,21590000,40800000,31960000,25999000,16267000,32056000,41764000,74400000
36,Other Current Assets,189000,418000,1264000,2118000,3655000,6155000,6417000,7121000,9957000,20860000,70779000,29756000,37784000
37,Total Current Assets,16683000,52956000,81787000,94998000,90509000,114896000,121768000,117864000,130446000,222302000,499657000,933064000,1462461000
38,PP&E,3894000,6103000,18411000,25541000,24853000,30824000,32118000,31440000,26483000,20998000,39053000,60668000,96587000
39,Goodwill,- -,- -,- -,- -,- -,3745000,3745000,3664000,3664000,24783000,24783000,24783000,181254000
40,Intangible Assets,- -,- -,- -,- -,- -,1811000,2220000,945000,515000,35306000,30579000,28808000,97758000
41,Intangible Assets,- -,- -,- -,- -,- -,5556000,5965000,4609000,4179000,60089000,55362000,53591000,279012000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74531000,92904000,122470000
44,Other Non-Current Assets,370000,445000,4561000,1752000,1307000,916000,5677000,9663000,8039000,36548000,44620000,59875000,118726000
