,https://roic.ai/company/HTGM,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,2480848,2243072,3328957,4041575,5132730,14759567,21503894,19203888,8548864,8906828
2,COGS,1816223,2246898,3204915,3335511,4135884,4971806,5090475,8911372,3991532,8189960
3,Gross Profit,664625,-3826,124042,706064,996846,9787761,16413419,10292516,4557332,716868
4,Gross Profit Ratio,0.2679,-0.0017,0.0373,0.1747,0.1942,0.6631,0.7633,0.5360,0.5331,0.0805
5,Research and Development Exp.,3924460,4197610,3075204,4601718,7900311,9996627,12598034,10570225,6079907,6088934
6,General and Administrative Exp.,- -,- -,- -,14994410,17427777,17513742,19974616,18682396,18063064,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,14994410,17427777,17513742,19974616,18682396,18063064,16546740
9,Other Expenses,7289024,7714030,9897697,- -,- -,- -,- -,- -,- -,4094980
10,Operating Expenses,11213484,11911640,12972901,19596128,25328088,27510369,32572650,29252621,24142971,26730654
11,COGS and Expenses,13029707,14158538,16177816,22931639,29463972,32482175,37663125,38163993,28134503,34920614
12,Interest Income ,- -,- -,- -,85859,112413,73178,715723,623355,254736,29884
13,Interest Expense (Gain),251076,211872,706866,1719475,1867466,1307674,901820,957535,1024774,1064545
14,Depreciation and Amortization,222626,315086,496595,662562,1473778,1241873,1468121,1735804,1346560,721
15,EBITDA,-12300309,-11242461,-12754947,-19005565,-22688188,-16407549,-14080451,-16600946,-18484469,-16102379
16,EBITDA ratio,-4.9581,-5.0121,-3.8315,-4.7025,-4.4203,-1.1117,-0.6548,-0.8645,-2.1622,-1.8079
17,Operating Income,-10548859,-11915466,-12848859,-18890064,-24331242,-17722608,-16159231,-18960105,-19585639,-26013786
18,Operating Income ratio,-4.2521,-5.3121,-3.8597,-4.6739,-4.7404,-1.2008,-0.7515,-0.9873,-2.2910,-2.9207
19,Total Other Income Expenses (Gains),-2225152,146047,-1109549,-2497538,-1698190,-1234488,-291161,-334180,-1270164,8891091
20,Income Before Tax,-12774011,-11769419,-13958408,-21387602,-26029432,-18957096,-16450392,-19294285,-20855803,-17122695
