,https://roic.ai/company/AATC,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2900000,3200000,4300000,3400000,4772000,6036000,6682000,8085000,9259000,10830000,11002000,13116000,15083000,26465000,24593000,31681000,30521000,24963000,26290000,23053000,15215000,14142000,14524000,14561000,14732000,13173000,- -
2,COGS,800000,700000,1000000,500000,872000,1906000,2081000,1891000,1810000,1920000,1425000,1721000,1987000,4912000,4297000,7799000,9217000,6706000,9889000,8041000,3477000,4098000,2925000,2786000,3129000,2785000,- -
3,Gross Profit,2100000,2500000,3300000,2900000,3900000,4130000,4601000,6194000,7449000,8910000,9577000,11395000,13096000,21553000,20296000,23882000,21304000,18257000,16401000,15012000,11738000,10044000,11599000,11775000,11603000,10388000,10235000
4,Gross Profit Ratio,0.7241,0.7813,0.7674,0.8529,0.8173,0.6842,0.6886,0.7661,0.8045,0.8227,0.8705,0.8688,0.8683,0.8144,0.8253,0.7538,0.6980,0.7314,0.6238,0.6512,0.7715,0.7102,0.7986,0.8087,0.7876,0.7886,Infinity
5,Research and Development Exp.,800000,800000,600000,200000,478000,- -,961000,602000,730000,1126000,1516000,2639000,6799000,2908000,3336000,3630000,4424000,4135000,5036000,5734000,3520000,2946000,3010000,3284000,2836000,3336000,2214000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4069000,3779000,5189000,6315000,5167000,10013000,6337000,4048000,3868000,3981000,3678000,4259000,3898000,3621000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6680000,7201000,9807000,10609000,7289000,11768000,9543000,3216000,2417000,2486000,2817000,2676000,2546000,2127000
8,"Selling, General and Administrative Exp.",1900000,2600000,2100000,2300000,2902000,3914000,4236000,3778000,3771000,3840000,3967000,4857000,6116000,10749000,10980000,14996000,16924000,12456000,21781000,15880000,7264000,6285000,6467000,6495000,6935000,6444000,5748000
9,Other Expenses,100000,200000,200000,200000,351000,419000,- -,- -,- -,- -,- -,- -,51000,768000,768000,1218000,1032000,1622000,1554000,1558000,455000,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2800000,3600000,2900000,2700000,3731000,4333000,5197000,4380000,4501000,4966000,5483000,7496000,12966000,14425000,15084000,19844000,22380000,18213000,28371000,23172000,11239000,9231000,9477000,9779000,9771000,9780000,7962000
11,COGS and Expenses,3600000,4300000,3900000,3200000,4603000,6239000,7278000,6271000,6311000,6886000,6908000,9217000,14953000,19337000,19381000,27643000,31597000,24919000,38260000,31213000,14716000,13329000,12402000,12565000,12900000,12565000,- -
12,Interest Income ,- -,- -,- -,- -,- -,120000,115000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000,- -
14,Depreciation and Amortization,100000,200000,200000,200000,351000,419000,478000,419000,381000,344000,379000,388000,277000,1125000,1192000,1716000,2198000,2349000,2227000,2091000,753000,390000,580000,774000,795000,960000,148000
15,EBITDA,-500000,-800000,700000,400000,602000,282000,25000,1785000,3352000,4390000,4725000,4435000,950000,8296000,6411000,5631000,-10841000,-1183000,-9737000,-7786000,-2331000,1052000,2743000,2626000,2625000,1568000,3348000
16,EBITDA ratio,-0.1724,-0.2500,0.1628,0.1176,0.1262,0.0467,0.0037,0.2208,0.3620,0.4054,0.4295,0.3381,0.0630,0.3135,0.2607,0.1777,-0.3552,-0.0474,-0.3704,-0.3377,-0.1532,0.0744,0.1889,0.1803,0.1782,0.1190,Infinity
17,Operating Income,-700000,-1100000,400000,200000,169000,-203000,-596000,1340000,2948000,3944000,4094000,3899000,130000,7128000,5212000,4038000,-13048000,-3561000,-11970000,-9947000,380000,687000,2122000,1852000,1830000,608000,2273000
18,Operating Income ratio,-0.2414,-0.3438,0.0930,0.0588,0.0354,-0.0336,-0.0892,0.1657,0.3184,0.3642,0.3721,0.2973,0.0086,0.2693,0.2119,0.1275,-0.4275,-0.1427,-0.4553,-0.4315,0.0250,0.0486,0.1461,0.1272,0.1242,0.0462,Infinity
19,Total Other Income Expenses (Gains),100000,100000,100000,100000,- -,66000,115000,26000,23000,102000,252000,148000,543000,43000,7000,-123000,9000,29000,6000,70000,21000,-25000,41000,- -,- -,-7000,927000
20,Income Before Tax,-600000,- -,- -,- -,- -,-137000,-481000,1366000,2971000,4046000,4346000,4047000,673000,7171000,5219000,3915000,-13039000,-3532000,-11964000,-9877000,401000,662000,2163000,1852000,1830000,601000,3200000
21,Income Before Tax Ratio,-0.2069,- -,- -,- -,- -,-0.0227,-0.0720,0.1690,0.3209,0.3736,0.3950,0.3086,0.0446,0.2710,0.2122,0.1236,-0.4272,-0.1415,-0.4551,-0.4284,0.0264,0.0468,0.1489,0.1272,0.1242,0.0456,Infinity
22,Income Tax expense (Gain),-200000,- -,- -,- -,- -,-87000,2000,174000,836000,1352000,1505000,942000,-199000,2207000,1354000,910000,-3022000,-180000,3937000,-174000,18000,-25000,85000,-10000,-5165000,-462000,905000
23,Net Income,-400000,-1000000,500000,200000,251000,-50000,-455000,1192000,2135000,2694000,2841000,3105000,872000,4964000,3865000,3005000,-10017000,-3352000,-15901000,-9703000,-3102000,687000,2078000,1862000,6995000,1063000,2295000
24,Net Income ratio,-0.1379,-0.3125,0.1163,0.0588,0.0526,-0.0083,-0.0681,0.1474,0.2306,0.2488,0.2582,0.2367,0.0578,0.1876,0.1572,0.0949,-0.3282,-0.1343,-0.6048,-0.4209,-0.2039,0.0486,0.1431,0.1279,0.4748,0.0807,Infinity
25,EPS,-0.14,-0.29,0.14,0.06,0.08,-0.02,-0.14,0.38,0.66,0.79,0.79,0.83,0.23,1.26,0.97,0.66,-2.07,-0.69,-3.21,-1.95,-0.62,0.14,0.41,0.36,1.33,0.20,0.43
26,EPS Diluted,-0.14,-0.29,0.14,0.06,0.08,-0.02,-0.14,0.37,0.60,0.71,0.73,0.80,0.22,1.24,0.95,0.64,-2.07,-0.69,-3.21,-1.95,-0.62,0.14,0.40,0.36,1.33,0.20,0.43
27,Weighted Average Shares Outstanding,2823529,3428571,3529412,3428571,3061440,3142837,3147567,3155000,3215000,3409000,3602000,3725000,3789000,3943000,3985000,4555000,4834000,4886000,4955000,4983000,5011000,5050000,5128000,5204000,5244000,5296000,5296000
28,Weighted Average Shares Outstanding Diluted,2823529,3428571,3529412,3428571,3061440,3142837,3147567,3252000,3598000,3810000,3868000,3891000,3881000,4001000,4081000,4667000,4834000,4886000,4955000,4983000,5011000,5055000,5136000,5221000,5268000,5316000,5316000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/943034/000089710121000169/0000897101-21-000169-index.htm,https://www.sec.gov/Archives/edgar/data/943034/000089710122000298/0000897101-22-000298-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1700000,2000000,1300000,1319000,1780000,1200000,2625000,5384000,1262000,9006000,11626000,5613000,10289000,14084000,8021000,5224000,8334000,3564000,2656000,2648000,1547000,3190000,4236000,5118000,8605000,8229000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,2300000,4100000,- -,4000000,3935000,3954000,2093000,4817000,2639000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1700000,2000000,1300000,1319000,1780000,1200000,2625000,5384000,8562000,11306000,15726000,5613000,14289000,18019000,11975000,7317000,13151000,6203000,2656000,2648000,1547000,3190000,4236000,5118000,8605000,8229000
34,Net Receivables,- -,800000,1200000,1400000,1428000,943000,1589000,1417000,1835000,2176000,3514000,2957000,4997000,6620000,5660000,10137000,10148000,6722000,5252000,4219000,3063000,3011000,3339000,3830000,3126000,2261000,2369000
35,Inventory,- -,100000,100000,100000,84000,370000,341000,174000,323000,404000,312000,670000,1579000,1608000,2734000,4649000,6142000,4485000,3589000,2234000,648000,141000,335000,1289000,781000,770000,1429000
36,Other Current Assets,- -,- -,100000,100000,102000,209000,180000,390000,161000,324000,118000,299000,5633000,752000,916000,2247000,2073000,1797000,1414000,871000,445000,281000,255000,410000,463000,480000,355000
37,Total Current Assets,- -,2600000,3400000,2900000,2933000,3302000,3310000,4606000,7703000,11466000,15250000,19652000,17822000,23269000,27329000,29008000,25680000,26155000,16458000,9980000,6804000,4980000,7119000,9765000,9488000,12116000,12382000
38,PP&E,- -,600000,600000,500000,445000,383000,351000,167000,126000,127000,329000,522000,700000,728000,998000,1122000,1435000,1875000,1025000,861000,518000,371000,486000,346000,600000,439000,58000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1050000,4891000,6055000,7624000,14713000,3120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,86000,81000,77000,1987000,1050000,1050000,1050000,- -,5249000,4481000,3714000,9513000,7888000,6489000,6462000,3987000,1210000,2795000,3485000,3317000,3875000,3161000,2866000
41,Intangible Assets,- -,- -,- -,- -,86000,81000,77000,1987000,1050000,1050000,1050000,1050000,10140000,10536000,11338000,24226000,11008000,6489000,6462000,3987000,1210000,2795000,3485000,3317000,3875000,3161000,2866000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,34000,- -,- -,- -,- -,- -,1676000,1575000,1485000,- -,3131000,4017000,139000,62000,19000,58000,38000,56000,5220000,5708000,4824000
44,Other Non-Current Assets,- -,100000,100000,1100000,1372000,1516000,1232000,29000,708000,420000,162000,- -,- -,- -,- -,- -,- -,- -,300000,- -,420000,- -,- -,- -,- -,- -,2237000
45,Total Non-Current Assets,- -,700000,700000,1600000,1903000,1980000,1694000,2183000,1884000,1597000,1541000,1572000,12516000,12839000,13821000,25348000,15574000,12381000,7926000,4910000,2167000,3224000,4009000,3719000,9695000,9308000,9985000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3300000,4100000,4500000,4836000,5282000,5004000,6789000,9587000,13063000,16791000,21224000,30338000,36108000,41150000,54356000,41254000,38536000,24384000,14890000,8971000,8204000,11128000,13484000,19183000,21424000,22367000
48,Accounts Payable,- -,300000,400000,300000,429000,433000,720000,412000,579000,402000,398000,616000,816000,251000,953000,2094000,1998000,2112000,2409000,3315000,1519000,256000,563000,878000,373000,547000,236000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,1000000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,475000,56000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000,234000,17000,67000,18000,10000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,40000,13000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,716000,28000,37000,107000
52,Other Current Liabilities,- -,300000,500000,500000,331000,474000,374000,1100000,1019000,738000,619000,1267000,1213000,3331000,3276000,5776000,2614000,2035000,3161000,2999000,2055000,1739000,1924000,1253000,830000,413000,500000
53,Total Current Liabilities,- -,600000,900000,800000,760000,907000,1134000,1525000,1598000,1140000,1017000,1883000,7029000,4582000,8229000,7870000,4612000,4147000,5570000,6314000,3574000,1995000,2487000,2847000,1231000,1472000,899000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000,582000,1674000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,400000,394000,- -,- -,141000,229000,144000,52000,8000,- -,- -,- -,290000,- -,241000,175000,165000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,84000,246000,208000,175000,316000,168000,126000,91000,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,100000,100000,300000,394000,- -,- -,141000,229000,144000,52000,8000,84000,2996000,208000,465000,316000,409000,301000,256000,- -,- -,- -,- -,19000,582000,1674000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000,134000,- -
61,Total Liabilities,- -,700000,1000000,1100000,1154000,907000,1134000,1666000,1827000,1284000,1069000,1891000,7113000,7578000,8437000,8335000,4928000,4556000,5871000,6570000,3574000,1995000,2487000,2847000,1250000,2054000,2573000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,25000,32000,32000,32000,33000,35000,37000,38000,39000,40000,40000,49000,49000,49000,49000,49000,49000,50000,51000,52000,53000,54000,54000
64,Retained Earnings,- -,-1300000,-800000,-600000,-313000,-363000,-818000,374000,2509000,5203000,8044000,11149000,12021000,16985000,20850000,23855000,13838000,10486000,-5415000,-15118000,-18220000,-17533000,-15455000,-13593000,-6565000,-5502000,-5139000
65,Other Comprehensive Income/Loss,- -,-300000,-500000,-700000,-927000,-1165000,-1381000,- -,- -,- -,- -,16000,161000,-147000,-171000,52000,-180000,390000,604000,-158000,-258000,-363000,-310000,-372000,-306000,-150000,-288000
