,https://roic.ai/company/NWLI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,233100000,320600000,408600000,434500000,196200000,225800000,296600000,401500000,377600000,316966000,287235000,311209000,312274000,333614000,351483000,292715000,303106000,317387000,399268000,434146000,441043000,521859000,474507000,411079000,568406000,575992000,572747000,664662000,860267000,708780000,589796000,682368000,874448000,551599000,819188000,694742000,824091000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,694742000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92192000,55448000,- -,23120000,28202000,28207000,19981000,28151000,27146000,27340000,31956000,30372000,91495000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11607000,9478000,11090000,11934000,11206000,10738000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92192000,55448000,77541000,34727000,37680000,39297000,31915000,39357000,37884000,27340000,31956000,30372000,91495000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,411085000,490643000,692116000,382660000,622044000,74212000,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,443000000,530000000,730000000,410000000,654000000,104584000,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,128200000,29700000,24200000,-1600000,263540000,241035000,240871000,247979000,267249000,261670000,250164000,235336000,254515000,316159000,332102000,324158000,405044000,349260000,361510000,499168000,471429000,489911000,524081000,718570000,551259000,443128000,529505000,729893000,410092000,654032000,582674000,596834000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,128200000,- -,- -,- -,- -,- -,151500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,-2300000,1300000,100000,900000,-9600000,600000,-6200000,-5400000,-6800000,-3500000,-3685000,-5357000,-6028000,-9546000,-6708000,-2601000,1516000,1031000,2292000,-502000,2386000,792000,5688000,4674000,3421000,2987000,8057000,10005000,11825000,11270000,11903000,13001000
15,EBITDA,12500000,12400000,9800000,15700000,100000,122200000,38200000,96000000,84100000,43826000,30450000,215638000,57895000,45440000,86313000,38866000,64547000,56844000,73563000,150033000,114284000,118331000,126278000,51861000,68736000,106949000,83628000,146269000,146371000,160942000,149655000,160919000,154560000,153332000,176426000,123971000,240258000
16,EBITDA ratio,0.0536,0.0387,0.0240,0.0361,0.0005,0.5412,0.1288,0.2391,0.2227,0.1383,0.1060,0.6929,0.1854,0.1362,0.2456,0.1328,0.2130,0.1791,0.1842,0.3456,0.2591,0.2267,0.2661,0.1262,0.1209,0.1857,0.1460,0.2201,0.1701,0.2271,0.2537,0.2358,0.1768,0.2780,0.2154,0.1784,0.2915
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,53426000,46200000,70338000,- -,66365000,- -,42551000,67770000,62872000,83109000,102044000,116885000,116815000,125247000,49569000,48842000,69339000,- -,92558000,90622000,98045000,93710000,92397000,- -,- -,- -,590158000,227257000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1686,0.1608,0.2260,- -,0.1989,- -,0.1454,0.2236,0.1981,0.2082,0.2350,0.2650,0.2238,0.2640,0.1206,0.0859,0.1204,- -,0.1393,0.1053,0.1383,0.1589,0.1354,- -,- -,- -,0.8495,0.2758
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,202900000,275100000,380100000,291200000,- -,- -,- -,354000,- -,8944000,- -,- -,- -,- -,- -,- -,- -,- -,- -,20396000,35224000,25439000,48023000,51075000,59476000,52958000,60465000,21070000,20603000,17486000,-478090000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,53426000,46200000,70338000,64295000,66365000,89813000,42551000,67770000,62872000,83109000,102044000,116885000,116815000,125247000,49569000,69238000,104563000,82836000,140581000,141697000,157521000,146668000,152862000,144555000,141507000,165156000,112068000,227257000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1686,0.1608,0.2260,0.2059,0.1989,0.2555,0.1454,0.2236,0.1981,0.2082,0.2350,0.2650,0.2238,0.2640,0.1206,0.1218,0.1815,0.1446,0.2115,0.1647,0.2222,0.2487,0.2240,0.1653,0.2565,0.2016,0.1613,0.2758
22,Income Tax expense (Gain),3000000,2600000,3100000,5200000,-500000,1100000,11200000,32500000,26500000,19190000,10566000,24123000,21723000,17347000,30588000,14011000,23185000,20806000,27327000,34572000,39618000,40472000,39876000,15927000,23754000,31666000,27209000,48023000,45450000,51933000,48272000,51970000,34134000,24749000,33540000,19756000,46576000
23,Net Income,9500000,9800000,6700000,10500000,600000,-4800000,25700000,63400000,56700000,34236000,19284000,46215000,41572000,34893000,59225000,28540000,46719000,42066000,55782000,122169000,77267000,76343000,85371000,33642000,45484000,72897000,55627000,92558000,96247000,105588000,98396000,100892000,110421000,116758000,131616000,92312000,180681000
24,Net Income ratio,0.0408,0.0306,0.0164,0.0242,0.0031,-0.0213,0.0866,0.1579,0.1502,0.1080,0.0671,0.1485,0.1331,0.1046,0.1685,0.0975,0.1541,0.1325,0.1397,0.2814,0.1752,0.1463,0.1799,0.0818,0.0800,0.1266,0.0971,0.1393,0.1119,0.1490,0.1668,0.1479,0.1263,0.2117,0.1607,0.1329,0.2192
25,EPS,2.58,2.81,1.93,3.01,0.18,-1.37,7.41,18.23,16.29,9.82,5.53,13.24,11.91,9.98,16.92,8.15,13.31,11.94,15.78,34.27,21.45,21.09,24.24,9.54,12.90,20.67,15.74,23.76,25.64,27.74,26.50,28.53,31.23,33.02,37.22,26.11,51.10
26,EPS Diluted,2.58,2.81,1.93,3.01,0.18,-1.37,7.41,18.23,16.29,9.82,5.53,13.24,11.81,9.87,16.78,8.11,13.19,11.84,15.64,33.91,21.24,20.88,23.95,9.48,12.87,20.61,15.73,23.76,25.60,27.72,26.49,28.53,31.23,33.02,37.22,26.11,51.10
27,Weighted Average Shares Outstanding,3682171,3487544,3471503,3488372,3333333,3503650,3468286,3477784,3480663,3486354,3487161,3490559,3490512,3496293,3500296,3501840,3510068,3523116,3534981,3564896,3602191,3619867,3521906,3425000,3426000,3427000,3433000,3895539,3753783,3806345,3713057,3536348,3535735,3535978,3636000,3636000,3636000
28,Weighted Average Shares Outstanding Diluted,3682171,3487544,3471503,3488372,3333333,3503650,3468286,3477784,3480663,3489703,3487161,3502646,3520068,3535258,3529499,3519112,3542002,3552872,3566624,3602743,3637806,3656274,3564551,3448000,3433000,3437000,3437000,3895539,3759648,3809091,3714458,3536348,3535735,3535978,3636000,3636000,3636000
