,https://roic.ai/company/PHR,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , 
1,Revenue,79834000,99888805,124784000,148677000,213233000
2,COGS,29771000,36997166,44720000,52386000,42669000
3,Gross Profit,50063000,62891639,80064000,96291000,170564000
4,Gross Profit Ratio,0.6271,0.6296,0.6416,0.6477,0.7999
5,Research and Development Exp.,11377000,14349275,18623000,22622000,52265000
6,General and Administrative Exp.,18838000,20075583,30458000,40460000,68674000
7,Selling and Marketing Exp.,24761000,26366643,32357000,42972000,106421000
8,"Selling, General and Administrative Exp.",43599000,46442226,62815000,83432000,175095000
9,Other Expenses,9640000,11593814,13924000,15908000,- -
10,Operating Expenses,64616000,72385315,95362000,121962000,227360000
11,COGS and Expenses,94387000,109382481,140082000,174348000,270029000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3642401,3504185,- -,- -,1084000
14,Depreciation and Amortization,9640000,11593814,13924000,15908000,21302000
15,EBITDA,-4909599,35992,-8149000,-11335000,-95957000
16,EBITDA ratio,-0.0615,0.0004,-0.0653,-0.0762,-0.4500
17,Operating Income,-14553000,-9493676,-15298000,-25671000,-56796000
18,Operating Income ratio,-0.1823,-0.0950,-0.1226,-0.1727,-0.2664
19,Total Other Income Expenses (Gains),-3639000,-5568331,-6775000,-1572000,-61183000
20,Income Before Tax,-18192000,-15062007,-22073000,-27243000,-117979000
21,Income Before Tax Ratio,-0.2279,-0.1508,-0.1769,-0.1832,-0.5533
22,Income Tax expense (Gain),- -,- -,-1780000,49000,-182000
23,Net Income,-18192000,-15062007,-20293000,-27292000,-118161000
24,Net Income ratio,-0.2279,-0.1508,-0.1626,-0.1836,-0.5541
25,EPS,-24.81,-0.53,-4.50,-0.69,-2.99
26,EPS Diluted,-24.81,-0.53,-4.50,-0.69,-2.99
27,Weighted Average Shares Outstanding,1538600,28026033,20301189,39519640,39519640
28,Weighted Average Shares Outstanding Diluted,1538600,28026033,20301189,39519640,39519640
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1412408/000141240820000010/0001412408-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1412408/000141240821000024/0001412408-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1412408/000141240822000019/0001412408-22-000019-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,10502789,1542514,90315000,218781000,313812000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10502789,1542514,90315000,218781000,313812000
34,Net Receivables,12308911,16109035,21978000,29052000,40262000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,13142582,15229233,19245000,24435000,32275000
37,Total Current Assets,35954282,32880782,131538000,272268000,386349000
38,PP&E,13170218,14211018,14487000,29314000,36982000
39,Goodwill,- -,250190,250000,8307000,33621000
40,Intangible Assets,6715239,9252791,9934000,13201000,12772000
41,Intangible Assets,6715239,9502981,10184000,21508000,46393000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,775000,658000,515000
44,Other Non-Current Assets,1296580,2666719,1774000,2918000,24237000
45,Total Non-Current Assets,21182037,26380718,27220000,54398000,108127000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,57136319,59261500,158758000,326666000,494476000
48,Accounts Payable,2202611,4159994,6017000,4389000,5119000
49,Short-Term Debt,1166666,97222,- -,5951000,-1602000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,4886459,6487910,5401000,10838000,16493000
52,Other Current Liabilities,16727619,17183950,23935000,33812000,48422000
53,Total Current Liabilities,24983355,27929076,35353000,54990000,68432000
54,Long-Term Debt,19452840,27917828,19444000,8370000,16122000
55,Deferred Revenue,- -,- -,- -,- -,65000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,180383459,214388500,2096000,- -,- -
58,Total Non-Current Liabilities,199836299,242306328,21540000,8370000,16187000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,2314848,4270447,4420000,2986000,- -
61,Total Liabilities,224819654,270235404,56893000,63360000,77196000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,16383,19947,366000,449000,521000
64,Retained Earnings,-167699718,-210993851,-284485000,-311777000,-429938000
65,Other Comprehensive Income/Loss,-20333135,-27862007,-35551000,- -,- -
66,Other Total Stockholders Equity,20333135,27862007,421535000,574634000,846697000
67,Total Stockholders Equity,-167683335,-210973904,101865000,263306000,417280000
68,Total Liabilities And Stockholders Equity,57136319,59261500,158758000,326666000,494476000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,57136319,59261500,158758000,326666000,494476000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1412408/000141240820000010/0001412408-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1412408/000141240821000024/0001412408-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1412408/000141240822000019/0001412408-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-18192000,-15062007,-20293000,-27292000,-118161000
74,Depreciation and Amortization,9640000,11593814,13924000,15908000,21302000
75,Deferred Income Tax,- -,- -,-775000,-65000,143000
76,Stock Based Compensation,805000,1447199,6177000,13489000,36144000
77,Change in Working Capital,-6286000,-6019221,91233294,121093000,100639000
78,Accounts Receivable,-3382000,-3800124,-5905000,-6619000,-10216000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-2057000,1957383,-30000,-3821000,2881000
81,Other Working Capital,10970927,4951706,96185000,217278000,317917000
82,Other Non-Cash Items,2891000,5910289,-89440294,-120243000,-114777000
83,Cash Provided by Operating Activities,-11142000,-2129926,826000,2890000,-74710000
84,CAPEX,-11965000,-9833276,-12320000,-18575000,-30805000
85,Acquisitions Net,- -,-1000000,- -,-6510000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-190470,- -,-7334000,-46808000
89,Cash Used for Investing Activites,-11965000,-11023746,-12320000,-25085000,-65228000
90,Debt Repayment,-23496000,-10636527,-40616000,-23293000,-4267000
91,Common Stock Issued,- -,- -,130781000,174800000,245813000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-14955000,- -,- -
94,Other Financing Activites,54782000,14829924,25056000,-846000,-6577000
95,Cash Used/Provided by Financing Activities,31286000,4193397,100266000,150661000,234969000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,8180000,-8960275,88772000,128466000,95031000
98,Cash at the End of Period,10503000,1542514,90315000,218781000,313812000
99,Cash at the Beginning of Period,2323000,10502789,1543000,90315000,218781000
100,Free Cash Flow,-23107000,-11963202,-11494000,-15685000,-105515000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1412408/000141240820000010/0001412408-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1412408/000141240821000024/0001412408-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1412408/000141240822000019/0001412408-22-000019-index.htm
102,false,,,,,
