,https://roic.ai/company/TENX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,100000,1,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,322349,415034,1234039,288726,49286,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,-100000,-53992,-71627,- -,- -,- -,- -,- -,- -,- -,- -,- -,219182,51253,43111,129800,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,200000,53993,71628,- -,- -,- -,- -,- -,- -,- -,- -,- -,103167,363781,1190928,158926,49286,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,2.0000,53993.0000,71628.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3200,0.8765,0.9651,0.5504,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,924093,460978,111766,200000,224023,782339,1313382,1433040,1276223,1277125,1204577,752614,939998,1598807,2917688,2681713,2462638,2455816,2996721,6660387,13139681,3527317,1239300,3471153,4560724,25147394
6,General and Administrative Exp.,- -,1437353,1144810,700000,687575,1219852,2291123,840352,990982,1407487,1274014,1019795,1992687,7002518,7235140,7682087,6091806,3676145,13773325,- -,- -,5678581,5653980,5084111,5307206,7580847
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1422809,1437353,1144810,700000,687575,1219852,2291123,840352,990982,1407487,1274014,1019795,1992687,7002518,7235140,7682087,6091806,3676145,13773325,7170779,6245958,5678581,5653980,5084111,5307206,7580847
9,Other Expenses,- -,- -,- -,100000,53992,71627,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2346902,1898331,1256576,1000000,965590,2073818,3604505,2273392,2267205,2684612,2478591,1772409,2932685,8601325,10152828,10363800,8554444,6131961,16770046,13831166,19385639,9205898,6893280,8555264,9867930,32728241
11,COGS and Expenses,2346902,1898331,1256576,900000,911598,2002191,3604505,2273392,2267205,2684612,2478591,1772409,2932685,8601325,10152828,10582982,8605697,6175072,16899846,13831166,19385639,9205898,6893280,8555264,9867930,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,15882,1070,13596,- -,- -,- -,1655874,1678488,3611902,24856041,154998,171563,7412054,4238456,2212283,49081,- -,- -,- -,- -,1627,949
14,Depreciation and Amortization,87459,83073,71107,100000,53992,71627,110262,137049,141712,265802,263253,152122,102455,20475,110631,311026,206677,148804,150489,148140,18952,13621,9016,107279,114748,4116
15,EBITDA,-2253527,-1815258,-1185469,-700000,-841465,-1599545,-3494243,-2136343,-2125493,-2418810,-2215338,-1620287,-2830230,-8580850,-10042197,-9965707,-8093679,-5028540,-17179067,-13884591,-19366687,-9192277,-6884264,-8447985,9855468,4116
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-7.0000,-841465.0000,-1599545.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-30.9159,-19.5012,-4.0749,-59.4995,-281.7147,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity
