,https://roic.ai/company/INDT,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,46300000,51200000,62900000,71739000,32013000,33961000,38160000,41183000,41889000,53231000,59423000,44546000,39199000,35611000,37193000,36591000,25526000,24219000,28088000,30851000,43884000,33800000,44045000,37388000,10754000
2,COGS,33900000,34200000,41100000,47241000,24948000,28196000,31514000,35674000,35889000,40940000,37963000,43166000,33892000,28495000,27706000,24527000,8627000,8604000,9049000,9060000,12646000,9676000,- -,10476000,- -
3,Gross Profit,12400000,17000000,21800000,24498000,7065000,5765000,6646000,5509000,6000000,12291000,21460000,1380000,5307000,7116000,9487000,12064000,16899000,15615000,19039000,21791000,31238000,24124000,44045000,26912000,- -
4,Gross Profit Ratio,0.2678,0.3320,0.3466,0.3415,0.2207,0.1698,0.1742,0.1338,0.1432,0.2309,0.3611,0.0310,0.1354,0.1998,0.2551,0.3297,0.6620,0.6447,0.6778,0.7063,0.7118,0.7137,1.0000,0.7198,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7790000,7077000,7057000,7367000,8552000,7749000,7677000,9960000,2283000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9938000,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",13800000,14900000,16500000,18153000,10247000,8053000,8479000,9905000,10761000,11957000,12043000,10928000,10667000,10263000,10283000,9938000,7790000,7077000,7057000,7367000,8552000,7749000,7677000,9960000,2283000
9,Other Expenses,1900000,2000000,2200000,2533000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-571000,- -,6673000,6729000,7668000,8797000,10064000,11404000,2318000,13623000,- -
