,https://roic.ai/company/PKX,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13264277302627,12661947890815,13746013872083,13126695170137,14354187420980,18656250000000,23158000000000,26023157798473,24649558161634,31625629280529,41742636000000,36855001000000,60637860000000,68938725000000,63604151000000,61864650000000,64758625000000,58522268000000,52939771000000,60186867000000,65154636000000,64785709000000,57466679000000,76332345000000
2,COGS,9506933006952,8605549254321,9536752188548,10684291747596,11337683270167,14106250000000,16770000000000,18568383138177,18978417400005,24916755670801,32562339000000,31037425000000,51560675000000,59823850000000,56142892000000,55004591000000,57465485000000,52018434000000,46271465000000,51915597000000,57129060000000,58462100000000,52798594000000,64451219000000
3,Gross Profit,3757344295675,4056398636494,4209261683535,2442403422541,3016504150813,4550000000000,6388000000000,7454774660297,5671140761629,6708873609728,9180297000000,5817576000000,9077185000000,9114875000000,7461259000000,6860059000000,7293140000000,6503834000000,6668306000000,8271270000000,8025576000000,6323609000000,4668085000000,11881126000000
4,Gross Profit Ratio,0.2833,0.3204,0.3062,0.1861,0.2101,0.2439,0.2758,0.2865,0.2301,0.2121,0.2199,0.1579,0.1497,0.1322,0.1173,0.1109,0.1126,0.1111,0.1260,0.1374,0.1232,0.0976,0.0812,0.1556
5,Research and Development Exp.,- -,- -,- -,- -,- -,60000000000,69000000000,52140501667,51480528541,52846442060,94571000000,84382000000,141787000000,212472000000,192321000000,192805000000,175195000000,135508000000,120608000000,125795000000,108352000000,110315000000,116273000000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,945000000000,1054000000000,1211325072865,1240594336692,1512626407701,- -,1396069000000,2857858000000,1662985000000,1489485000000,1541728000000,1549611000000,1593783000000,1569797000000,1412126000000,1446197000000,1486772000000,1404458000000,2209809000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,42500000000,48000000000,97402818061,104929477194,103979400970,- -,183041000000,108532000000,1612128000000,1734465000000,1737783000000,1864603000000,1819654000000,1639827000000,1677001000000,476120000000,450892000000,448683000000,393075000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,987500000000,1102000000000,1308727890926,1345523813886,1616605808671,- -,1579110000000,2966390000000,3275113000000,3223950000000,3279511000000,3414214000000,3413437000000,3209624000000,3089127000000,1922317000000,1937664000000,1853141000000,2602884000000
9,Other Expenses,1910340772941,2047904867489,1660874837820,854432327980,966741399434,80000000000,79000000000,75074447912,87572961679,105226591983,1911797000000,285922000000,230699000000,172807000000,372645000000,455218000000,585856000000,393587000000,390244000000,376682000000,458963000000,348177000000,213740000000,- -
10,Operating Expenses,1910340772941,2047904867489,1660874837820,854432327980,966741399434,1127500000000,1250000000000,1435942840505,1484577304105,1774678842714,2006368000000,1949414000000,3338876000000,3660392000000,3788916000000,3927534000000,4175265000000,3942532000000,3720476000000,3591604000000,2489632000000,2396156000000,2183154000000,2602884000000
11,COGS and Expenses,11417273779893,10653454121810,11197627026368,11538724075576,12304424669601,15233750000000,18020000000000,20004325978681,20462994704110,26691434513515,34568707000000,32986839000000,54899551000000,63484242000000,59931808000000,58932125000000,61640750000000,55960966000000,49991941000000,55507201000000,59618692000000,60858256000000,54981748000000,67054103000000
12,Interest Income ,- -,- -,131651074260,127207621862,72788849323,102500000000,136000000000,159428400175,174393683494,234973783270,362309000000,351553000000,431623000000,3190419000000,278807000000,260398000000,228254000000,210193000000,182475000000,212451000000,337258000000,352384000000,372174000000,2730110000000
13,Interest Expense (Gain),659694476182,- -,462597976088,450738503075,331759193244,262500000000,186000000000,147754571850,174830124547,240049625977,344686000000,532090000000,656769000000,3866695000000,871457000000,657681000000,795585000000,788772000000,658726000000,653115000000,741296000000,755711000000,638797000000,2765175000000
14,Depreciation and Amortization,1149118682327,1373612682507,1227825534225,1307741133296,1453177935449,1645000000000,1514000000000,1595473169329,1700455064471,2127932588781,2379291000000,2552777000000,2950883000000,2251915000000,2563760000000,2685550000000,3238549000000,3218246000000,3213847000000,3297420000000,3267629000000,3461115000000,3621739000000,3580805000000
15,EBITDA,3049941241415,3619479044680,4007730710588,2942126157011,3272454328662,4767500000000,6836000000000,7179011694278,5915895484562,7203603947856,8808064000000,6839288000000,8901833000000,10901005000000,6880177000000,5310624000000,5490681000000,4445072000000,5606924000000,7892505000000,7404457000000,7169600000000,6066016000000,15183402000000
16,EBITDA ratio,0.2299,0.2859,0.2916,0.2241,0.2280,0.2555,0.2952,0.2759,0.2400,0.2278,0.2110,0.1856,0.1468,0.1581,0.1082,0.0858,0.0848,0.0760,0.1059,0.1311,0.1136,0.1107,0.1056,0.1989
17,Operating Income,1847003522734,2008493769005,2301407073893,1587971094561,2049762751379,3422500000000,5141000000000,6018831819792,4186563457524,4922646077852,7173929000000,3868162000000,5738309000000,5454483000000,3291763000000,2574401000000,2512998000000,1486380000000,2282496000000,4196121000000,4041827000000,3222713000000,2054370000000,9238089000000
18,Operating Income ratio,0.1392,0.1586,0.1674,0.1210,0.1428,0.1835,0.2220,0.2313,0.1698,0.1557,0.1719,0.1050,0.0946,0.0791,0.0518,0.0416,0.0388,0.0254,0.0431,0.0697,0.0620,0.0497,0.0357,0.1210
19,Total Other Income Expenses (Gains),-605875439828,237372593168,15900126383,-404324573921,-562245551410,-562500000000,20000000000,-588782852206,-99729441727,-20941947610,-1078290000000,-128887000000,-400623000000,-672088000000,76723000000,-628224000000,-1125118000000,-1336035000000,-870887000000,-101070000000,-425811000000,-96179000000,-81606000000,177984000000
20,Income Before Tax,1241128082906,2245866362173,2317307200275,1183646520640,1487517199969,2860000000000,5161000000000,5430048967587,4086834015797,4901704130242,6095639000000,3739275000000,5337686000000,4782395000000,3368486000000,1946177000000,1387880000000,150345000000,1411609000000,4095051000000,3616016000000,3126534000000,1972764000000,9416073000000
21,Income Before Tax Ratio,0.0936,0.1774,0.1686,0.0902,0.1036,0.1533,0.2229,0.2087,0.1658,0.1550,0.1460,0.1015,0.0880,0.0694,0.0530,0.0315,0.0214,0.0026,0.0267,0.0680,0.0555,0.0483,0.0343,0.1234
22,Income Tax expense (Gain),312573442580,696262739884,687221237220,337607096754,398284697373,766250000000,1451000000000,1466734286503,879397673192,1274947568246,1733983000000,535996000000,1112896000000,1068109000000,982879000000,590997000000,823841000000,266560000000,379544000000,1185740000000,1683630000000,1088369000000,224272000000,2220183000000
23,Net Income,928554640326,1549603622289,1630085963055,846039423886,1089232502595,2093750000000,3685000000000,3969049666596,3161212622352,3560674164852,4350104000000,3218425000000,4181285000000,3714286000000,2462081000000,1376396000000,632706000000,171494000000,1354807000000,2756230000000,1711902000000,1864405000000,1581208000000,6617239000000
24,Net Income ratio,0.0700,0.1224,0.1186,0.0645,0.0759,0.1122,0.1591,0.1525,0.1282,0.1126,0.1042,0.0873,0.0690,0.0539,0.0387,0.0222,0.0098,0.0029,0.0256,0.0458,0.0263,0.0288,0.0275,0.0867
25,EPS,2481.42,4049.94,4779.79,2592.61,3324.28,6424.67,11395.14,12518.31,10042.79,11717.00,14500.50,10495.50,13569.75,11806.00,7968.50,4352.25,1858.00,432.75,4156.75,8616.00,5227.75,5705.75,4975.00,21832.50
26,EPS Diluted,2481.42,4049.94,4779.79,2592.61,3324.28,6424.67,11395.14,12518.31,10042.79,11717.00,14500.50,10495.50,13569.75,11806.00,7968.50,4352.25,1858.00,432.75,4156.75,8616.00,5227.75,5705.75,4975.00,21344.25
27,Weighted Average Shares Outstanding,374202476,382623395,341037345,326327707,327659445,325892066,323383414,317059483,314774362,303811476,301974092,306644960,308131512,309007272,308977776,312038616,319206156,319975336,319985556,323828459,320002424,320455036,316483852,302784600
28,Weighted Average Shares Outstanding Diluted,374202476,382623395,341544819,326327707,328872390,325892066,323486947,318046240,314774362,303811476,301974092,306644960,308131512,309007272,308977776,312038616,319206156,319975336,319985556,323828459,320002424,320455036,316483852,306753360
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889132/000114554903000514/0001145549-03-000514-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554904000826/0001145549-04-000826-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554905001160/0001145549-05-001160-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554906000799/0001145549-06-000799-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554907001133/0001145549-07-001133-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554908001123/0001145549-08-001123-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000095012309018332/0000950123-09-018332-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000095012310060955/0000950123-10-060955-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000095012311061431/0000950123-11-061431-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312512193767/0001193125-12-193767-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312513179725/0001193125-13-179725-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312514194110/0001193125-14-194110-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312515154634/0001193125-15-154634-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312516561771/0001193125-16-561771-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312517140742/0001193125-17-140742-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312518136684/0001193125-18-136684-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312519127060/0001193125-19-127060-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312520124495/0001193125-20-124495-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,267366547952,621250000000,470000000000,646442490479,893072826171,1293312736824,2490264000000,2196731000000,3598822000000,4598682000000,4680526000000,4208562000000,3811202000000,4870185000000,2447619000000,2612530000000,2643865000000,3514872000000,4754644000000,4775166000000
32,Short-Term Investments,- -,- -,- -,- -,1460733095589,2377500000000,3367000000000,3427748577173,2894734312153,1512300565004,3117212000000,6382721000000,3184870000000,3656270000000,1786561000000,2926583000000,1385738000000,3815784000000,5175630000000,6981968000000,6102290000000,8948508000000,11609885000000,13447717000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,1728099643541,2998750000000,3837000000000,4074191067651,3787807138323,2805613301828,5607476000000,8579452000000,6783692000000,8254952000000,6467087000000,7135145000000,5196940000000,8685969000000,7623249000000,9594498000000,8746155000000,12463380000000,16364529000000,18222883000000
34,Net Receivables,- -,- -,- -,- -,1812252668423,2521250000000,3146000000000,3251492956047,3598372205873,4252962555833,6432603000000,5723361000000,8680718000000,11469136000000,12945085000000,13345939000000,13598566000000,11199464000000,11166350000000,10391921000000,10458750000000,10610959000000,9571075000000,12173821000000
35,Inventory,- -,- -,- -,- -,1671360616276,2168750000000,2961000000000,3752417309172,3832742825227,4904790272570,8661721000000,5152839000000,9803453000000,12283644000000,10584646000000,9798381000000,11173343000000,8566882000000,9515895000000,10793781000000,12153303000000,11230759000000,9636183000000,15231098000000
36,Other Current Assets,- -,- -,- -,- -,185489916900,305000000000,187000000000,438921754922,453227178611,2438312739252,1495833000000,1178498000000,1839260000000,1549179000000,1569298000000,1386746000000,3239078000000,1049580000000,1349614000000,1064059000000,2793764000000,839395000000,833041000000,993828000000
