,https://roic.ai/company/NMRK,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,1200247000,1349983000,1596450000,2047579000,2218132000,1904998000,2906443000
2,COGS,816268000,849975000,1020183000,1155834000,1275988000,- -,- -
3,Gross Profit,383979000,500008000,576267000,891745000,942144000,1904998000,- -
4,Gross Profit Ratio,0.3199,0.3704,0.3610,0.4355,0.4247,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1120779000,1107637000,1354003000,1744549000,1921706000,1572524000,2738857000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1120779000,1107637000,1354003000,1718387000,1896681000,1572524000,2738857000
9,Other Expenses,-726023000,-759768000,-903597000,123895000,156169000,163766000,145518000
10,Operating Expenses,394756000,347869000,450406000,1842282000,2052850000,1736290000,2884375000
11,COGS and Expenses,1211024000,1197844000,1470589000,1842282000,2052850000,1736290000,2884375000
12,Interest Income ,- -,- -,- -,8500000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,58400000,- -,37728000,33473000
14,Depreciation and Amortization,71774000,72197000,95815000,97733000,131144000,141193000,121729000
15,EBITDA,62327000,244591000,297785000,353352000,300885000,295974000,1148886000
16,EBITDA ratio,0.0519,0.1812,0.1865,0.1726,0.1356,0.1554,0.3953
17,Operating Income,-11237000,167418000,199788000,332590000,246236000,183998000,1254565000
18,Operating Income ratio,-0.0094,0.1240,0.1251,0.1624,0.1110,0.0966,0.4316
19,Total Other Income Expenses (Gains),1867000,3787000,2786000,-50205000,-32088000,-37728000,-33475000
20,Income Before Tax,-9370000,171205000,202574000,282385000,214148000,146270000,1221090000
21,Income Before Tax Ratio,-0.0078,0.1268,0.1269,0.1379,0.0965,0.0768,0.4201
22,Income Tax expense (Gain),-6644000,3993000,57478000,90487000,52436000,36993000,242958000
23,Net Income,-2803000,168401000,144492000,106732000,117305000,80060000,750726000
