,https://roic.ai/company/PBSV,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,10000,14229831,16204851,15196393,11479083,11346453,19933182,29227167,33062010,27555039,23384861,19536715,15579275,17797425,19506911,21564360,20115175
2,COGS,- -,8116207,9380916,9406600,7640333,7953647,13072231,19355440,21228554,18581829,15900406,13753483,11968145,12110618,13330295,14897638,14755212
3,Gross Profit,- -,6113624,6823935,5789793,3838750,3392806,6860951,9871727,11833456,8973210,7484455,5783232,3611130,5686807,6176616,6666722,5359963
4,Gross Profit Ratio,- -,0.4296,0.4211,0.3810,0.3344,0.2990,0.3442,0.3378,0.3579,0.3256,0.3201,0.2960,0.2318,0.3195,0.3166,0.3092,0.2665
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,40000,2030737,3176140,3135968,2923295,2782916,3408953,4138111,5761742,6109061,5703111,5874991,5036272,4598545,4479933,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",40000,2030737,3176140,3135968,2923295,2782916,3408953,4138111,5761742,6109061,5703111,5874991,5036272,4598545,4479933,- -,9213657
9,Other Expenses,- -,194977,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4441175,- -
10,Operating Expenses,40000,2225714,3176140,3135968,2923295,2782916,3408953,4138111,5761742,6109061,5703111,5874991,5036272,4598545,4479933,4441175,9213657
11,COGS and Expenses,40000,10341921,12557056,12542568,10563628,10736563,16481184,23493551,26990296,24690890,21603517,19628474,17004417,16709163,17810228,19338813,23968869
12,Interest Income ,- -,- -,- -,- -,26961,14982,19709,11076,10326,5352,18808,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,52394,5605,6605,7425,7213,7186,7344,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,194977,208225,227152,307332,321713,320861,321732,344520,377195,357460,312558,443994,74601,99095,86283,72728
15,EBITDA,-20000,3690145,3545694,2736235,1255829,948505,3791244,6084769,6428043,3262553,2157612,108817,-967049,4139860,2322345,2376293,-1803266
16,EBITDA ratio,-2.0000,0.2593,0.2188,0.1801,0.1094,0.0836,0.1902,0.2082,0.1944,0.1184,0.0923,0.0056,-0.0621,0.2326,0.1191,0.1102,-0.0896
17,Operating Income,-20000,3887910,3647795,2653825,915455,609890,3451998,5733616,6071714,2864149,1781344,-91759,-1425142,1088262,1696683,2225547,-3853694
18,Operating Income ratio,-2.0000,0.2732,0.2251,0.1746,0.0797,0.0538,0.1732,0.1962,0.1836,0.1039,0.0762,-0.0047,-0.0915,0.0611,0.0870,0.1032,-0.1916
19,Total Other Income Expenses (Gains),- -,-392742,-310326,-144742,-19352,11297,11780,21996,4596,14023,11464,-111982,14099,435527,526567,64463,1977700
20,Income Before Tax,-20000,3495168,3337469,2509083,896103,621187,3463778,5755612,6076310,2878172,1792808,-203741,-1411043,1523789,2223250,2290010,-1875994
21,Income Before Tax Ratio,-2.0000,0.2456,0.2060,0.1651,0.0781,0.0547,0.1738,0.1969,0.1838,0.1045,0.0767,-0.0104,-0.0906,0.0856,0.1140,0.1062,-0.0933
22,Income Tax expense (Gain),- -,1159828,1436302,1021287,361346,249276,304797,1068606,1169821,464527,167982,52834,3866,2785525,135994,239088,213246
23,Net Income,-20000,2335340,1901167,1487796,534757,371911,3158981,4687006,4906489,2413645,1624826,-256575,-1414909,1279734,2087256,2050922,-2089240
24,Net Income ratio,-2.0000,0.1641,0.1173,0.0979,0.0466,0.0328,0.1585,0.1604,0.1484,0.0876,0.0695,-0.0131,-0.0908,0.0719,0.1070,0.0951,-0.1039
25,EPS,-0.07,0.22,0.10,0.07,0.03,0.02,0.15,0.23,0.22,0.10,0.07,-0.01,-0.06,0.06,0.09,0.09,-0.09
26,EPS Diluted,-0.07,0.13,0.09,0.07,0.02,0.02,0.14,0.20,0.21,0.10,0.07,-0.01,-0.06,0.06,0.09,0.09,-0.09
27,Weighted Average Shares Outstanding,270000,10508939,19391063,19970549,20751215,20751215,20754043,20758695,22201514,22979290,23069817,23015522,23096547,23080995,23054653,23003327,23029215
28,Weighted Average Shares Outstanding Diluted,270000,17880269,22166182,22259016,22324996,22377734,22554036,22939701,23660362,23694211,23400086,23185951,23099376,23096252,23113857,23040075,23174605
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1304161/000114420409004140/0001144204-09-004140-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000114420410004451/0001144204-10-004451-index.html,- -,https://www.sec.gov/Archives/edgar/data/1304161/000135448812000360/0001354488-12-000360-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000135448813000352/0001354488-13-000352-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000135448814000379/0001354488-14-000379-index.htm,https://www.sec.gov/Archives/edgar/data/1304161/000135448815000359/0001354488-15-000359-index.htm,https://www.sec.gov/Archives/edgar/data/1304161/000135448816006025/0001354488-16-006025-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495417000601/0001654954-17-000601-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495418000819/0001654954-18-000819-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495419000854/0001654954-19-000854-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495420000889/0001654954-20-000889-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495421000973/0001654954-21-000973-index.htm,https://www.sec.gov/Archives/edgar/data/1304161/000165495422001532/0001654954-22-001532-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,50000,2275035,4792366,3087990,2051874,2317168,4316725,6538113,12045923,15088070,14893387,13773582,11751714,16029920,15490174,17137924,17468345
