,https://roic.ai/company/DELL,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,54142000000,50911000000,62164000000,79040000000,90621000000,92154000000,94224000000,101197000000
2,COGS,45246000000,42524000000,48515000000,58503000000,65568000000,63221000000,64807000000,79306000000
3,Gross Profit,8896000000,8387000000,13649000000,20537000000,25053000000,28933000000,29417000000,21891000000
4,Gross Profit Ratio,0.1643,0.1647,0.2196,0.2598,0.2765,0.3140,0.3122,0.2163
5,Research and Development Exp.,920000000,1051000000,2572000000,4317000000,4552000000,4992000000,5275000000,2577000000
6,General and Administrative Exp.,8292000000,7850000000,13048000000,18523000000,20304000000,21319000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8292000000,7850000000,13048000000,18523000000,20304000000,21319000000,- -,14655000000
9,Other Expenses,- -,- -,756000000,113000000,388000000,- -,18998000000,- -
10,Operating Expenses,9212000000,8901000000,16376000000,22953000000,25244000000,26311000000,24273000000,17232000000
11,COGS and Expenses,54458000000,51425000000,64891000000,81456000000,90812000000,89532000000,89080000000,96538000000
12,Interest Income ,47000000,39000000,102000000,207000000,313000000,160000000,54000000,- -
13,Interest Expense (Gain),807000000,680000000,1751000000,2406000000,2488000000,2675000000,2389000000,- -
14,Depreciation and Amortization,2977000000,2872000000,4938000000,8634000000,7746000000,6143000000,5390000000,4551000000
15,EBITDA,2456000000,2330000000,3903000000,6358000000,7744000000,7901000000,11194000000,10474000000
16,EBITDA ratio,0.0454,0.0458,0.0628,0.0804,0.0855,0.0857,0.1188,0.1035
17,Operating Income,-316000000,-514000000,-3252000000,-3333000000,-191000000,2622000000,5144000000,4659000000
18,Operating Income ratio,-0.0058,-0.0101,-0.0523,-0.0422,-0.0021,0.0285,0.0546,0.0460
19,Total Other Income Expenses (Gains),-899000000,-772000000,-1242000000,-1436000000,-2170000000,-2626000000,-1474000000,1264000000
20,Income Before Tax,-1215000000,-1286000000,-4494000000,-4769000000,-2361000000,-4000000,3670000000,5923000000
21,Income Before Tax Ratio,-0.0224,-0.0253,-0.0723,-0.0603,-0.0261,-0.0000,0.0389,0.0585
22,Income Tax expense (Gain),-107000000,-118000000,-1619000000,-1833000000,-180000000,-5533000000,165000000,216000000
23,Net Income,-1221000000,-1104000000,-1167000000,-2849000000,-2310000000,4616000000,3250000000,5707000000
24,Net Income ratio,-0.0226,-0.0217,-0.0188,-0.0360,-0.0255,0.0501,0.0345,0.0564
25,EPS,-1.70,-1.54,-2.33,-5.19,-3.22,6.38,4.37,7.67
26,EPS Diluted,-1.70,-1.54,-2.33,-5.19,-3.22,6.03,4.22,7.44
27,Weighted Average Shares Outstanding,718434605,718434605,718434605,718434605,719000000,724000000,744000000,744000000
28,Weighted Average Shares Outstanding Diluted,718434605,718434605,718434605,718434605,719000000,751000000,767000000,767000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/0001571996-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1571996/000157199618000004/0001571996-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1571996/000157199619000008/0001571996-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1571996/000157199620000017/0001571996-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1571996/000157199621000007/0001571996-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199622000009/0001571996-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,6322000000,9474000000,13942000000,9676000000,9302000000,14201000000,9477000000
32,Short-Term Investments,- -,- -,1975000000,2187000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,6322000000,11449000000,16129000000,9676000000,9302000000,14201000000,9477000000
34,Net Receivables,- -,7802000000,12642000000,15640000000,16769000000,17379000000,17943000000,12912000000
35,Inventory,- -,1619000000,2538000000,2678000000,3649000000,3281000000,3402000000,5898000000
36,Other Current Assets,- -,7830000000,4144000000,5881000000,6044000000,6906000000,8021000000,16746000000
37,Total Current Assets,- -,23573000000,30773000000,40328000000,36138000000,36868000000,43567000000,45033000000
38,PP&E,- -,1649000000,5653000000,5390000000,5259000000,7835000000,8548000000,5415000000
39,Goodwill,- -,8406000000,38910000000,39920000000,40089000000,41691000000,40829000000,19770000000
40,Intangible Assets,- -,8577000000,35053000000,28265000000,22270000000,18107000000,14429000000,7461000000
41,Intangible Assets,- -,16983000000,73963000000,68185000000,62359000000,59798000000,55258000000,27231000000
42,Investments,- -,114000000,3802000000,4163000000,1005000000,864000000,1624000000,1839000000
43,Tax Assets,- -,- -,5483000000,6590000000,5527000000,5960000000,6230000000,- -
44,Other Non-Current Assets,- -,2803000000,-1468000000,-463000000,1532000000,7536000000,8188000000,13217000000
45,Total Non-Current Assets,- -,21549000000,87433000000,83865000000,75682000000,81993000000,79848000000,47702000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,45122000000,118206000000,124193000000,111820000000,118861000000,123415000000,92735000000
48,Accounts Payable,- -,12881000000,14422000000,18334000000,19213000000,20065000000,21696000000,27143000000
49,Short-Term Debt,- -,2981000000,6329000000,7873000000,4320000000,8169000000,6798000000,5823000000
50,Tax Payable,- -,1210000000,943000000,1229000000,1396000000,1767000000,1621000000,- -
51,Deferred Revenue,- -,3632000000,10265000000,12024000000,12944000000,14881000000,16525000000,14261000000
52,Other Current Liabilities,- -,5816000000,7119000000,7608000000,8495000000,9341000000,9113000000,8992000000
53,Total Current Liabilities,- -,25310000000,38135000000,45839000000,44972000000,52456000000,54132000000,56219000000
54,Long-Term Debt,- -,10650000000,43061000000,43998000000,49201000000,44319000000,43409000000,21131000000
55,Deferred Revenue,- -,4089000000,8431000000,10223000000,11066000000,12919000000,14276000000,14261000000
56,Deferred Tax Liabilities,- -,939000000,5483000000,6110000000,11066000000,3110000000,2173000000,- -
57,Other Non-Current Liabilities,- -,2562000000,9622000000,5920000000,84000000,2273000000,1400000000,2704000000
58,Total Non-Current Liabilities,- -,18240000000,66597000000,66251000000,71417000000,62621000000,61258000000,38096000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,1792000000,2223000000,- -
61,Total Liabilities,- -,43550000000,104732000000,112090000000,116389000000,115077000000,115390000000,94315000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5727000000,7780000,7690000,7190000,16091000000,16849000000,- -
64,Retained Earnings,- -,-3937000000,-5609000000,-6860000000,-21349000000,-16891000000,-13751000000,- -
65,Other Comprehensive Income/Loss,- -,-324000000,-595000000,130000000,-467000000,-709000000,-314000000,- -
66,Other Total Stockholders Equity,- -,106000000,19670220000,16432310000,17239810000,564000000,167000000,- -
67,Total Stockholders Equity,- -,1572000000,13474000000,9710000000,-4569000000,-945000000,2951000000,-1580000000
68,Total Liabilities And Stockholders Equity,- -,45122000000,118206000000,121800000000,111820000000,114132000000,118341000000,92735000000
69,Minority Interest,- -,- -,- -,2393000000,- -,4729000000,5074000000,- -
70,Total Liabilities & Equity,- -,45122000000,118206000000,124193000000,111820000000,118861000000,123415000000,92735000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/0001571996-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1571996/000157199618000004/0001571996-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1571996/000157199619000008/0001571996-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1571996/000157199620000017/0001571996-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1571996/000157199621000007/0001571996-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199622000009/0001571996-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-1221000000,-1104000000,-1167000000,-2849000000,-2310000000,4616000000,3250000000,5707000000
74,Depreciation and Amortization,2977000000,2872000000,4938000000,8634000000,7746000000,6143000000,5390000000,4551000000
75,Deferred Income Tax,-465000000,-205000000,-2201000000,-2595000000,-1331000000,-6339000000,-399000000,-365000000
76,Stock Based Compensation,72000000,72000000,398000000,835000000,918000000,1262000000,1609000000,1622000000
77,Change in Working Capital,729000000,-3168000000,-5625000000,1851000000,-3323000000,-6754000000,5023000000,-621000000
78,Accounts Receivable,-238000000,187000000,-1776000000,-1515000000,-1104000000,-286000000,-396000000,-2193000000
79,Inventory,71000000,-5000000,1076000000,-325000000,-1445000000,311000000,-243000000,-2514000000
80,Accounts Payable,1029000000,-374000000,751000000,3779000000,952000000,894000000,1598000000,5742000000
81,Other Working Capital,1431000000,-1737000000,-7362000000,-5511000000,-8834000000,-15588000000,-10565000000,-11186000000
82,Other Non-Cash Items,459000000,3695000000,5879000000,934000000,5291000000,10363000000,-3466000000,-10894000000
83,Cash Provided by Operating Activities,2551000000,2162000000,2222000000,6810000000,6991000000,9291000000,11407000000,- -
84,CAPEX,-478000000,-482000000,-906000000,-1581000000,-1497000000,-2576000000,-2082000000,-2796000000
85,Acquisitions Net,-63000000,8000000,-30756000000,-658000000,-770000000,-2455000000,1763000000,- -
86,Purchases of Investments,-27000000,-27000000,-778000000,-4389000000,-925000000,-181000000,-338000000,-414000000
87,Sales/Maturities of Investments,15000000,7000000,1173000000,3878000000,6612000000,497000000,169000000,513000000
88,Other Investing Activites,-280000000,-309000000,-895000000,-1712000000,-1528000000,-2547000000,-2054000000,1207000000
89,Cash Used for Investing Activites,-355000000,-321000000,-31256000000,-2881000000,3389000000,-4686000000,-460000000,1306000000
90,Debt Repayment,-6053000000,-5950000000,-16960000000,-12321000000,-11451000000,-22117000000,-20919000000,-26723000000
91,Common Stock Issued,28000000,- -,4586000000,131000000,803000000,658000000,452000000,334000000
92,Common Stock Repurchased,- -,-2000000,-1322000000,-1838000000,-14490000000,-3553000000,-1604000000,-663000000
93,Dividends Paid,- -,- -,- -,- -,-2134000000,- -,- -,-2240000000
94,Other Financing Activites,2931000000,5456000000,45604000000,14392000000,12943000000,20408000000,16121000000,12683000000
95,Cash Used/Provided by Financing Activities,-3094000000,-496000000,31908000000,364000000,-14329000000,-4604000000,-5950000000,-16609000000
96,Effect of Forex Changes on Cash,-153000000,-167000000,24000000,175000000,-189000000,-90000000,36000000,-106000000
97,Net Change In Cash,-1051000000,1178000000,2898000000,4468000000,-4138000000,-89000000,5033000000,- -
98,Cash at the End of Period,5398000000,6576000000,9474000000,13942000000,10240000000,10151000000,15184000000,- -
99,Cash at the Beginning of Period,6449000000,5398000000,6576000000,9474000000,14378000000,10240000000,10151000000,15184000000
100,Free Cash Flow,2073000000,1680000000,1316000000,5229000000,5494000000,6715000000,9325000000,-2796000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/0001571996-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1571996/000157199618000004/0001571996-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1571996/000157199619000008/0001571996-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1571996/000157199620000017/0001571996-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1571996/000157199621000007/0001571996-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199622000009/0001571996-22-000009-index.htm
102,false,,,,,,,,
