,https://roic.ai/company/RCKT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,3542000,5330000,5592000,12554000,31985000,14193000,53270000,58623000,106382000,125476000
6,General and Administrative Exp.,2307000,1324000,2112000,7842000,9894000,12544000,17886000,17528000,27921000,41772000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2307000,1324000,2112000,7842000,9894000,12544000,17886000,17528000,27921000,41772000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000
10,Operating Expenses,5849000,6654000,7704000,20396000,41879000,26737000,71156000,76151000,134303000,166248000
11,COGS and Expenses,5849000,6654000,7704000,20396000,41879000,26737000,71156000,76151000,134303000,166248000
12,Interest Income ,- -,- -,- -,89000,443000,819000,1690000,3414000,2150000,3068000
13,Interest Expense (Gain),213000,884000,980000,1230000,1418000,3579000,6039000,5958000,6967000,5889000
14,Depreciation and Amortization,9000,- -,- -,45000,169000,200000,330000,426000,1145000,5373000
15,EBITDA,-5836000,-6651000,-7704000,-20351000,-41710000,-26537000,-70826000,-75725000,-133158000,-157807000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-5849000,-6654000,-7704000,-20396000,-41879000,-26737000,-71156000,-76151000,-134303000,-167248000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-209000,-962000,-1827000,-47586000,-975000,-2760000,-3362000,-1119000,-5397000,-1821000
20,Income Before Tax,-6058000,-7616000,-9531000,-67982000,-42854000,-29497000,-74518000,-77270000,-139700000,-169069000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-6058000,-7616000,-9531000,-67982000,-42854000,-29497000,-74518000,-77270000,-139700000,-169069000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-3.89,-5.64,-2.79,-14.88,-6.40,-4.36,-1.89,-1.58,-2.52,-2.67
26,EPS Diluted,-3.89,-5.64,-2.79,-14.88,-6.40,-4.36,-1.89,-1.58,-2.52,-2.67
27,Weighted Average Shares Outstanding,2103459,1812094,3415753,4577833,6683793,6765451,39377666,49010358,55380740,63235417
28,Weighted Average Shares Outstanding Diluted,2103459,1812094,3415753,4577833,6683793,6765451,39377666,49010358,55380740,63235417
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1281895/000119312515114201/0001193125-15-114201-index.htm,https://www.sec.gov/Archives/edgar/data/1281895/000119312516514228/0001193125-16-514228-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000156459017004532/0001564590-17-004532-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000156459018004621/0001564590-18-004621-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000114036119004603/0001140361-19-004603-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000114036120005056/0001140361-20-005056-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000114036121006677/0001140361-21-006677-index.htm,https://www.sec.gov/Archives/edgar/data/1281895/000114036122007036/0001140361-22-007036-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,1372000,12793000,3618000,80042000,29798000,78720000,111355000,185383000,297098000,232694000
32,Short-Term Investments,- -,- -,- -,31238000,96675000,21294000,94375000,118732000,185621000,156046000
33,Cash and Short-Term Investments,1372000,12793000,3618000,111280000,126473000,100014000,205730000,304115000,482719000,388740000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,45000,66000,52000,1086000,1876000,1033000,3358000,3639000,4626000,3319000
37,Total Current Assets,1417000,12859000,3670000,112366000,128349000,101047000,209088000,307754000,487345000,392059000
38,PP&E,- -,- -,- -,812000,1130000,563000,2027000,31346000,70641000,72348000
39,Goodwill,- -,- -,- -,- -,- -,- -,30815000,30815000,30815000,30815000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,226000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,30815000,31041000,30815000,30815000
42,Investments,- -,- -,- -,- -,- -,- -,7402000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4000,4000,1850000,143000,168000,168000,1981000,1980000,2023000,1798000
45,Total Non-Current Assets,4000,4000,1850000,955000,1298000,731000,42225000,64367000,103479000,104961000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1421000,12863000,5520000,113321000,129647000,101778000,251313000,372121000,590824000,497020000
48,Accounts Payable,387000,229000,1146000,1633000,1592000,451000,- -,- -,25472000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,4875000,2552000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,367000,394000,421000,450000,478000,506000,534000,562000,590000,- -
52,Other Current Liabilities,3011000,2595000,5655000,2058000,5142000,3113000,14838000,17747000,1680000,19615000
53,Total Current Liabilities,3765000,3218000,7222000,4141000,7212000,4070000,15372000,18309000,32617000,22167000
54,Long-Term Debt,- -,5395000,2550000,- -,48960000,49541000,41447000,45049000,35066000,20049000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,24000,1912000,506000,367000,307000,403000,457000,1466000,19622000,80000
58,Total Non-Current Liabilities,24000,7307000,3056000,367000,49267000,49944000,41904000,46515000,54688000,20129000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,2400000,21756000,22601000
61,Total Liabilities,3789000,10525000,10278000,4508000,56479000,54014000,57276000,64824000,87305000,42296000
62,Preferred Stock,28562000,41233000,46801000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,10000,10000,264000,270000,68000,452000,548000,610000,645000
64,Retained Earnings,-110894000,-118510000,-128041000,-196023000,-238877000,-268374000,-105873000,-183143000,-322843000,-491912000
65,Other Comprehensive Income/Loss,-217000,-217000,-217000,-262000,-431000,-335000,-479000,-905000,-42000,-161000
66,Other Total Stockholders Equity,80171000,79822000,76689000,304834000,312206000,316405000,299937000,490797000,825794000,946152000
67,Total Stockholders Equity,-2368000,2338000,-4758000,108813000,73168000,47764000,194037000,307297000,503519000,454724000
68,Total Liabilities And Stockholders Equity,1421000,12863000,5520000,113321000,129647000,101778000,251313000,372121000,590824000,497020000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1421000,12863000,5520000,113321000,129647000,101778000,251313000,372121000,590824000,497020000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1281895/000119312515114201/0001193125-15-114201-index.htm,https://www.sec.gov/Archives/edgar/data/1281895/000119312516514228/0001193125-16-514228-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000156459017004532/0001564590-17-004532-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000156459018004621/0001564590-18-004621-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000114036119004603/0001140361-19-004603-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000114036120005056/0001140361-20-005056-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000114036121006677/0001140361-21-006677-index.htm,https://www.sec.gov/Archives/edgar/data/1281895/000114036122007036/0001140361-22-007036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-6058000,-7616000,-9531000,-67982000,-42854000,-29497000,-74518000,-77270000,-139700000,-169069000
74,Depreciation and Amortization,9000,- -,- -,45000,169000,200000,330000,426000,1145000,5373000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,486000,-148000,177000,2380000,2909000,4036000,13601000,13371000,18567000,29237000
77,Change in Working Capital,-1588000,11989000,-13193000,111777000,12912000,-24160000,96739000,95729000,165283000,-3386000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,159000,-158000,917000,487000,-41000,-1141000,- -,- -,- -,- -
81,Other Working Capital,-2348000,9641000,-3552000,108225000,121137000,96977000,193716000,289445000,454728000,- -
82,Other Non-Cash Items,215000,-10680000,12804000,-63636000,-10402000,23309000,-89940000,-96919000,-119935000,16682000
83,Cash Provided by Operating Activities,-6936000,-6455000,-9743000,-17416000,-37266000,-26112000,-53788000,-64663000,-74640000,-121163000
84,CAPEX,- -,- -,- -,-412000,-487000,-70000,-1453000,-23269000,-29059000,-7715000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,76348000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-33693000,-122277000,-27204000,-141087000,-184298000,-209343000,-245875000
87,Sales/Maturities of Investments,- -,- -,- -,2430000,56705000,102289000,61276000,168556000,141811000,272443000
88,Other Investing Activites,3000,- -,- -,- -,- -,- -,-356000,- -,- -,- -
89,Cash Used for Investing Activites,3000,- -,- -,-31675000,-66059000,75015000,-5272000,-39011000,-96591000,18853000
90,Debt Repayment,- -,- -,-1410000,-7641000,-3262000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,112050000,3997000,35000,154022000,178104000,281354000,26354000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-668000,- -,-72000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2500000,17876000,1978000,21106000,52346000,-16000,148000,-313000,1707000,11327000
95,Cash Used/Provided by Financing Activities,2500000,17876000,568000,125515000,53081000,19000,153502000,177791000,282989000,37681000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4433000,11421000,-9175000,76424000,-50244000,48922000,94442000,74117000,111758000,-64629000
98,Cash at the End of Period,1372000,12793000,3618000,80042000,29798000,78720000,112791000,186908000,298666000,234037000
99,Cash at the Beginning of Period,5805000,1372000,12793000,3618000,80042000,29798000,18349000,112791000,186908000,298666000
100,Free Cash Flow,-6936000,-6455000,-9743000,-17828000,-37753000,-26182000,-55241000,-87932000,-103699000,-128878000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1281895/000119312515114201/0001193125-15-114201-index.htm,https://www.sec.gov/Archives/edgar/data/1281895/000119312516514228/0001193125-16-514228-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000156459017004532/0001564590-17-004532-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000156459018004621/0001564590-18-004621-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000114036119004603/0001140361-19-004603-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000114036120005056/0001140361-20-005056-index.html,https://www.sec.gov/Archives/edgar/data/1281895/000114036121006677/0001140361-21-006677-index.htm,https://www.sec.gov/Archives/edgar/data/1281895/000114036122007036/0001140361-22-007036-index.htm
102,false,,,,,,,,,,
