,https://roic.ai/company/CPLP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,15077000,72543000,131514000,123477000,124592000,130316000,153950000,171494000,192777000,220344000,241620000,249115000,279254000,108374000,140865000,184665000
2,COGS,- -,2688000,16249000,30184000,31653000,38304000,47195000,99663000,113621000,125750000,139930000,159680000,175303000,218458000,62740000,86427000,104755000
3,Gross Profit,- -,12389000,56294000,101330000,91824000,86288000,83121000,54287000,57873000,67027000,80414000,81940000,73812000,60796000,45634000,54438000,79910000
4,Gross Profit Ratio,- -,0.8217,0.7760,0.7705,0.7437,0.6926,0.6378,0.3526,0.3375,0.3477,0.3649,0.3391,0.2963,0.2177,0.4211,0.3865,0.4327
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,1477000,2817000,2876000,3506000,10609000,9159000,9477000,6316000,6608000,6253000,6234000,5716000,5502000,7195000,8662000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,1477000,2817000,2876000,3506000,10609000,9159000,9477000,6316000,6608000,6253000,6234000,5716000,5502000,7195000,8662000
9,Other Expenses,- -,3633000,13109000,25031000,28264000,31464000,37214000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,3633000,14586000,27848000,31140000,34970000,47823000,9159000,9477000,6316000,6608000,6253000,6234000,5716000,5502000,7195000,8662000
11,COGS and Expenses,- -,6321000,30835000,58032000,62793000,73274000,95018000,108822000,123098000,132066000,146538000,165933000,181537000,224174000,68242000,93622000,113417000
12,Interest Income ,- -,- -,710000,1283000,1478000,860000,879000,775000,533000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,10809000,25448000,32115000,33259000,33820000,26658000,15991000,19225000,20143000,24302000,26605000,27397000,17036000,16741000,20129000
14,Depreciation and Amortization,- -,2977000,13221000,25031000,28264000,31464000,37214000,56139000,65802000,73476000,77571000,86439000,89201000,89979000,43641000,53101000,54222000
15,EBITDA,- -,7605000,51857000,99742000,89604000,82659000,158154000,61608000,181274000,136713000,153124000,163230000,154289000,117272000,-61778000,100209000,172529000
16,EBITDA ratio,- -,0.5044,0.7148,0.7584,0.7257,0.6634,1.2136,0.4002,1.0570,0.7092,0.6949,0.6756,0.6193,0.4199,-0.5700,0.7114,0.9343
