,https://roic.ai/company/SPI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,4381151,18144000,47421000,52551000,34036000,103072000,99956000,42629000,91642000,190510000,140199000,127465000,125582000,97883000,138628000,161993000
2,COGS,2894545,16030000,43844000,45788000,29282000,90237000,91362000,45398000,79485000,182401000,121313000,117663000,114525000,90693000,121773000,151373000
3,Gross Profit,1486606,2114000,3577000,6763000,4754000,12835000,8594000,-2769000,12157000,8109000,18886000,9802000,11057000,7190000,16855000,10620000
4,Gross Profit Ratio,0.3393,0.1165,0.0754,0.1287,0.1397,0.1245,0.0860,-0.0650,0.1327,0.0426,0.1347,0.0769,0.0880,0.0735,0.1216,0.0656
5,Research and Development Exp.,- -,199000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,8981000,8940000,7578000,7161000,13061000,17534000,6243000,76747000,34251000,22385000,12225000,15158000,13485000,41780000
7,Selling and Marketing Exp.,- -,- -,2618000,3841000,3652000,3018000,10647000,2050000,1401000,39428000,29230000,7740000,2285000,2398000,2185000,7581000
8,"Selling, General and Administrative Exp.",- -,- -,11599000,12781000,11230000,10179000,23708000,19584000,7644000,116175000,63481000,30125000,14510000,17556000,15670000,49361000
9,Other Expenses,3486097,9236000,- -,- -,- -,- -,2636000,1761000,- -,- -,30465000,9178000,-501000,4115000,1094000,2735000
10,Operating Expenses,3486097,9435000,11599000,12781000,11230000,10179000,26344000,21345000,7644000,116175000,93946000,39303000,14009000,21671000,16764000,52096000
11,COGS and Expenses,6380642,25465000,55443000,58569000,40512000,100416000,117706000,66743000,87129000,298576000,215259000,156966000,128534000,112364000,138537000,203469000
12,Interest Income ,- -,286000,135000,- -,- -,185000,2527000,1655000,1212000,2218000,1163000,459000,320000,155000,- -,- -
13,Interest Expense (Gain),90157,106000,115000,49000,450000,1517000,4065000,4321000,2259000,9275000,9043000,18418000,6665000,3923000,3790000,5137000
14,Depreciation and Amortization,728223,1014000,700000,827000,531000,985000,1776000,1854000,1839000,5548000,5258000,3358000,1504000,2693000,4249000,5112000
15,EBITDA,-1254679,-6013000,-7756000,-6048000,-8030000,2300000,-19667000,-25256000,1942000,-169302000,-206059000,-69153000,-3781000,-8550000,1982000,-33788000
16,EBITDA ratio,-0.2864,-0.3314,-0.1636,-0.1151,-0.2359,0.0223,-0.1968,-0.5925,0.0212,-0.8887,-1.4698,-0.5425,-0.0301,-0.0873,0.0143,-0.2086
17,Operating Income,-1999491,-7321000,-8581000,-6957000,-7423000,1599000,-23788000,-31614000,4513000,-164247000,-200030000,-61522000,-2952000,-19171000,91000,-41476000
18,Operating Income ratio,-0.4564,-0.4035,-0.1810,-0.1324,-0.2181,0.0155,-0.2380,-0.7416,0.0492,-0.8621,-1.4268,-0.4827,-0.0235,-0.1959,0.0007,-0.2560
19,Total Other Income Expenses (Gains),-73568,188000,10000,33000,-1588000,-1801000,-1720000,183000,-6669000,-20160000,-20602000,-29286000,-2853000,4115000,-5898000,-1904000
20,Income Before Tax,-2073059,-7133000,-8571000,-6924000,-9011000,-202000,-25508000,-31431000,-2156000,-184407000,-220632000,-90808000,-5805000,-15056000,-5807000,-43380000
21,Income Before Tax Ratio,-0.4732,-0.3931,-0.1807,-0.1318,-0.2647,-0.0020,-0.2552,-0.7373,-0.0235,-0.9680,-1.5737,-0.7124,-0.0462,-0.1538,-0.0419,-0.2678
22,Income Tax expense (Gain),56329,61000,167000,46000,-141000,259000,-80000,813000,3040000,673000,336000,151000,332000,92000,458000,1454000
23,Net Income,-2129388,-7194000,-8738000,-6970000,-8870000,-461000,-25428000,-32244000,-5196000,-184798000,-220696000,-91080000,-12282000,-15258000,-6515000,-45491000
