,https://roic.ai/company/AP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,461300000,381000000,279700000,250500000,219300000,217200000,221300000,190300000,108800000,113800000,143800000,162400000,173900000,187900000,211800000,228028000,219167000,212376000,180233000,202861000,246999000,301780000,346834000,394513000,299177000,326886000,344816000,292905000,281050000,272858000,238480000,331866000,432401000,419432000,397904000,328544000,344920000
2,COGS,374900000,305200000,206500000,180900000,152900000,149100000,157200000,141400000,78300000,83000000,103100000,113900000,120100000,129400000,150600000,167785000,169842000,164758000,141739000,169824000,194979000,221883000,243807000,280091000,202769000,229528000,256030000,225906000,217342000,218597000,196091000,276496000,357672000,351839000,326157000,257513000,287639000
3,Gross Profit,86400000,75800000,73200000,69600000,66400000,68100000,64100000,48900000,30500000,30800000,40700000,48500000,53800000,58500000,61200000,60243000,49325000,47618000,38494000,33037000,52020000,79897000,103027000,114422000,96408000,97358000,88786000,66999000,63708000,54261000,42389000,55370000,74729000,67593000,71747000,71031000,57281000
4,Gross Profit Ratio,0.1873,0.1990,0.2617,0.2778,0.3028,0.3135,0.2897,0.2570,0.2803,0.2707,0.2830,0.2986,0.3094,0.3113,0.2890,0.2642,0.2251,0.2242,0.2136,0.1629,0.2106,0.2648,0.2970,0.2900,0.3222,0.2978,0.2575,0.2287,0.2267,0.1989,0.1777,0.1668,0.1728,0.1612,0.1803,0.2162,0.1661
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19980000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",63300000,59000000,44600000,42900000,41200000,41500000,42000000,39600000,18600000,17300000,20800000,24200000,25200000,27700000,30800000,30733000,32960000,30150000,27210000,28825000,30785000,36284000,38972000,42867000,39722000,64148000,41887000,40530000,39682000,37380000,39510000,58175000,61310000,58068000,53643000,45542000,- -
9,Other Expenses,12700000,11700000,10700000,10800000,9100000,8400000,8800000,8300000,6300000,5300000,5700000,6200000,6700000,7500000,7600000,7425000,7747000,7026000,6223000,6436000,6534000,32041000,6638000,57947000,7261000,8483000,10425000,10661000,11342000,11818000,11787000,20463000,22387000,21379000,18967000,18575000,-287278000
