,https://roic.ai/company/HUYA,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,796904000,2184816000,4663440000,8374501000,10914374000,11351446000
2,COGS,1094644000,1929864000,3933647000,6892579000,8646308000,9751160000
3,Gross Profit,-297740000,254952000,729793000,1481922000,2268066000,1600286000
4,Gross Profit Ratio,-0.3736,0.1167,0.1565,0.1770,0.2078,0.1410
5,Research and Development Exp.,188334000,170160000,265152000,508714000,734261000,818882000
6,General and Administrative Exp.,71325000,101995000,287710000,352824000,445006000,326772000
7,Selling and Marketing Exp.,68746000,87292000,189207000,438396000,558012000,759507000
8,"Selling, General and Administrative Exp.",140071000,189287000,476917000,791220000,1003018000,1086279000
9,Other Expenses,- -,-9629000,-38938000,-79390000,-194169000,-274704000
10,Operating Expenses,328405000,349818000,703131000,1220544000,1543110000,1630457000
11,COGS and Expenses,1423049000,2279682000,4636778000,8113123000,10189418000,11381617000
12,Interest Income ,518000,14049000,156549000,304491000,313366000,247009000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,4514000,7668000,35042000,87764000,131178000,- -
15,EBITDA,-621113000,-73300000,-1953590000,652015000,1192120000,638726000
16,EBITDA ratio,-0.7794,-0.0335,-0.4189,0.0779,0.1092,0.0563
17,Operating Income,-626145000,-94866000,26662000,261378000,724956000,-30171000
18,Operating Income ratio,-0.7857,-0.0434,0.0057,0.0312,0.0664,-0.0027
19,Total Other Income Expenses (Gains),518000,14049000,-2128623000,305648000,307572000,289690000
20,Income Before Tax,-625627000,-80817000,-2101961000,567026000,1032528000,259519000
21,Income Before Tax Ratio,-0.7851,-0.0370,-0.4507,0.0677,0.0946,0.0229
22,Income Tax expense (Gain),- -,- -,-50943000,96078000,176784000,55227000
23,Net Income,-625627000,-80968000,-1937689000,468173000,884158000,583499000
24,Net Income ratio,-0.7851,-0.0371,-0.4155,0.0559,0.0810,0.0514
25,EPS,-5.66,-0.73,-15.02,2.18,3.89,5.56
26,EPS Diluted,-5.66,-0.73,-15.02,2.02,3.71,5.43
27,Weighted Average Shares Outstanding,110576148,110576148,166828435,214811862,227081238,104899000
28,Weighted Average Shares Outstanding Diluted,110576148,110576148,166828435,232024961,238631613,107486000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1728190/000119312519122284/d656235d20f.htm,https://www.sec.gov/Archives/edgar/data/1728190/000119312520120245/d832720d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,6187000,442532000,709019000,1113193000,3293573000,1790784000
32,Short-Term Investments,95000000,593241000,5283987000,8962976000,7181329000,9168276000
33,Cash and Short-Term Investments,101187000,1035773000,5993006000,10076169000,10474902000,10959060000
34,Net Receivables,5444000,148733000,406021000,301858000,263881000,236594000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,49470000,65801000,196160000,213793000,532155000,720615000
37,Total Current Assets,156101000,1250307000,6595187000,10591820000,11270938000,11916269000
38,PP&E,6267000,32315000,87419000,199510000,181973000,474982000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,4866000,5620000,51979000,45085000,373016000,- -
41,Intangible Assets,4866000,5620000,51979000,45085000,373016000,83942000
42,Investments,- -,10299000,219827000,379424000,467206000,608617000
43,Tax Assets,- -,- -,30945000,45816000,48313000,20245000
44,Other Non-Current Assets,- -,2000000,120830000,104895000,69241000,150887000
45,Total Non-Current Assets,11133000,50234000,511000000,774730000,1139749000,1338673000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,167234000,1300541000,7106187000,11366550000,12410687000,13254942000
48,Accounts Payable,2673000,5796000,9221000,3725000,10083000,12579000
49,Short-Term Debt,- -,- -,- -,31878000,29227000,36473000
50,Tax Payable,- -,- -,- -,66400000,71863000,5944000
51,Deferred Revenue,56666000,247381000,509396000,893352000,536787000,459509000
52,Other Current Liabilities,260589000,432473000,861829000,1517722000,1808698000,2067524000
53,Total Current Liabilities,319928000,685650000,1380446000,2446677000,2384795000,2576085000
54,Long-Term Debt,- -,- -,- -,70110000,57620000,45084000
55,Deferred Revenue,11693000,45024000,80734000,164913000,178144000,118975000
56,Deferred Tax Liabilities,- -,- -,- -,- -,13350000,4597000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,11693000,45024000,80734000,235023000,249114000,168656000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,101988000,86847000,81557000
61,Total Liabilities,331621000,730674000,1461180000,2681700000,2633909000,2744741000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,81000,133000,144000,155000,157000
64,Retained Earnings,-164387000,-80968000,-2424182000,-1986054000,-1883643000,-1300144000
65,Other Comprehensive Income/Loss,- -,308000,401201000,588814000,194691000,46129000
66,Other Total Stockholders Equity,- -,650446000,7667855000,10081946000,11465575000,11764059000
67,Total Stockholders Equity,-164387000,569867000,5645007000,8684850000,9776778000,10510201000
68,Total Liabilities And Stockholders Equity,167234000,1300541000,7106187000,11366550000,12410687000,13254942000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,167234000,1300541000,7106187000,11366550000,12410687000,13254942000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1728190/000119312519122284/d656235d20f.htm,https://www.sec.gov/Archives/edgar/data/1728190/000119312520120245/d832720d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-625627000,-80968000,-1937689000,468173000,884158000,- -
74,Depreciation and Amortization,4514000,7668000,35042000,87764000,131178000,- -
75,Deferred Income Tax,- -,- -,-50943000,-14871000,18608000,- -
76,Stock Based Compensation,52098000,40108000,226695000,281744000,408208000,- -
77,Change in Working Capital,148564000,254984000,274417000,1154223000,-161965000,- -
78,Accounts Receivable,-2940000,-27407000,-14634000,-17909000,-13058000,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,129151000,175656000,424984000,607344000,250799000,- -
81,Other Working Capital,32473000,224046000,272110000,446364000,-346857000,- -
82,Other Non-Cash Items,- -,20652000,2169939000,-31619000,-40313000,- -
