,https://roic.ai/company/INVO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,37995,63204,67648,71503,56377,27063,16588,11689,50901,282145,494375,1480213,1037286,4160116
2,COGS,- -,- -,10088,41391,21828,17912,20880,10584,7682,7810,15094,51954,90367,139670,88760,145052
3,Gross Profit,- -,- -,27907,21813,45820,53591,35497,16479,8906,3879,35807,230191,404008,1340543,948526,4015064
4,Gross Profit Ratio,- -,- -,0.7345,0.3451,0.6773,0.7495,0.6296,0.6089,0.5369,0.3319,0.7035,0.8159,0.8172,0.9056,0.9144,0.9651
5,Research and Development Exp.,- -,- -,51761,7650,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,398426,216430
6,General and Administrative Exp.,7602,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7602,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9015158
9,Other Expenses,- -,- -,1837606,1856904,1561200,756717,587796,621712,1689482,598953,2146221,870612,3038068,3128635,6065066,- -
10,Operating Expenses,- -,- -,1889367,1864554,1561200,756717,587796,621712,1689482,598953,2146221,870612,3038068,3128635,6463492,9231588
11,COGS and Expenses,7602,43466,1899455,1905945,1583028,774629,608676,632296,1697164,606763,2161315,922566,3128435,3268305,6552252,9376640
12,Interest Income ,216,80,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4190,3657
13,Interest Expense (Gain),- -,- -,11945,3326152,463001,155716,92910,51896,51896,32018,13838,20873,442031,379019,2836504,1265359
14,Depreciation and Amortization,6000,18666,7509,14042,14042,21353,11510,11510,10531,5633,1878,2810,5190,25346,34481,1188310
15,EBITDA,-1602,-24800,-1853951,-1321275,323613,-620402,-562034,-697273,-1670045,-4921596,-2108536,-678480,-2628870,-1762746,-5476295,-4196507
16,EBITDA ratio,-Infinity,-Infinity,-48.7946,-20.9049,4.7838,-8.6766,-9.9692,-25.7648,-100.6779,-421.0451,-41.4243,-2.4047,-5.3176,-1.1909,-5.2794,-1.0087
17,Operating Income,-7602,-43466,-1861460,-1842741,-1515380,-703126,-552299,-605233,-1680576,-595074,-2110414,-640421,-2634060,-1788092,-5514966,-5216524
18,Operating Income ratio,-Infinity,-Infinity,-48.9922,-29.1554,-22.4010,-9.8335,-9.7965,-22.3639,-101.3128,-50.9089,-41.4612,-2.2698,-5.3281,-1.2080,-5.3167,-1.2539
19,Total Other Income Expenses (Gains),- -,- -,- -,-2818728,1361950,-94345,-114155,-155446,-51896,-4364173,-13838,-61742,-442031,-379019,-2832314,-1433652
20,Income Before Tax,- -,- -,- -,-4661469,-153430,-797471,-666454,-760679,-1732472,-4959247,-2124252,-702163,-3076091,-2167111,-8347280,-6650176
