,https://roic.ai/company/NVDA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,151400000,375000000,735000000,1369000000,1909000000,1822945000,2010000000,2376000000,3069000000,4097860000,3424859000,3326445000,3543000000,3998000000,4280000000,4130000000,4681507000,5010000000,6910000000,9714000000,11716000000,10918000000,16675000000,26914000000
2,COGS,103200000,233000000,462000000,850000000,1333000000,1294067000,1362000000,1466000000,1768000000,2228580000,2250590000,2149522000,2134000000,1941000000,2054000000,1862000000,2082030000,2199000000,2847000000,3892000000,4545000000,4150000000,6279000000,9439000000
3,Gross Profit,48200000,142000000,273000000,519000000,576000000,528878000,648000000,910000000,1301000000,1869280000,1174269000,1176923000,1409000000,2057000000,2226000000,2268000000,2599477000,2811000000,4063000000,5822000000,7171000000,6768000000,10396000000,17475000000
4,Gross Profit Ratio,0.3184,0.3787,0.3714,0.3791,0.3017,0.2901,0.3224,0.3830,0.4239,0.4562,0.3429,0.3538,0.3977,0.5145,0.5201,0.5492,0.5553,0.5611,0.5880,0.5993,0.6121,0.6199,0.6234,0.6493
5,Research and Development Exp.,25100000,47000000,86000000,155000000,225000000,269972000,348000000,357000000,553000000,691637000,855879000,908851000,849000000,1003000000,1147000000,1336000000,1359725000,1331000000,1463000000,1797000000,2376000000,2829000000,3924000000,5268000000
6,General and Administrative Exp.,18900000,36000000,59000000,99000000,151000000,- -,204000000,202000000,294000000,- -,- -,367017000,362000000,406000000,431000000,436000000,480763000,602000000,663000000,815000000,991000000,1093000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",18900000,37100000,58437000,97185000,207153000,165249000,200789000,204441000,293530000,341297000,362222000,367017000,418513000,405613000,430822000,435702000,480763000,602000000,663000000,815000000,991000000,1093000000,1940000000,2166000000
9,Other Expenses,6500000,-1100000,563000,25815000,-153000,- -,4211000,11559000,470000,- -,- -,- -,-113513000,387000,178000,298000,-0,- -,3000000,- -,- -,- -,- -,- -
10,Operating Expenses,50500000,83000000,145000000,278000000,432000000,435221000,553000000,573000000,847000000,1032934000,1218101000,1275868000,1154000000,1409000000,1578000000,1772000000,1840488000,1933000000,2129000000,2612000000,3367000000,3922000000,5864000000,7434000000
11,COGS and Expenses,153700000,316000000,607000000,1128000000,1765000000,1729288000,1915000000,2039000000,2615000000,3261514000,3468691000,3425390000,3288000000,3350000000,3632000000,3634000000,3922518000,4132000000,4976000000,6504000000,7912000000,8072000000,12143000000,16873000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23115000,19057000,19149000,19908000,17119000,28090000,39000000,54000000,69000000,136000000,178000000,57000000,29000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3320000,3127000,3089000,3294000,10443000,46133000,47000000,58000000,61000000,58000000,52000000,184000000,236000000
14,Depreciation and Amortization,6500000,9700000,15836000,43497000,58216000,82688000,102597000,97977000,107562000,133192000,185023000,196664000,186989000,204205000,226235000,239148000,220125000,197000000,187000000,199000000,262000000,381000000,1098000000,1174000000
15,EBITDA,11000000,69700000,159836000,296497000,209216000,169361000,209597000,454977000,602562000,1034533000,142069000,117690000,461116000,870294000,892529000,759591000,1021094000,987000000,2150000000,3589000000,4584000000,3403000000,5691000000,11351000000
16,EBITDA ratio,0.0727,0.1859,0.2175,0.2166,0.1096,0.0929,0.1043,0.1915,0.1963,0.2525,0.0415,0.0354,0.1301,0.2177,0.2085,0.1839,0.2181,0.1970,0.3111,0.3695,0.3913,0.3117,0.3413,0.4218
