,https://roic.ai/company/XENT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,5863000,17931000,38587000,61593000,78708000,96301000,108472000,109142000,80554000,106748000
2,COGS,3837000,8150000,10223000,12288000,13003000,15499000,22613000,21773000,30306000,30012000
3,Gross Profit,2026000,9781000,28364000,49305000,65705000,80802000,85859000,87369000,50248000,76736000
4,Gross Profit Ratio,0.3456,0.5455,0.7351,0.8005,0.8348,0.8391,0.7915,0.8005,0.6238,0.7189
5,Research and Development Exp.,9260000,9518000,10331000,16608000,18890000,18360000,19262000,24283000,19350000,27944000
6,General and Administrative Exp.,- -,- -,36111000,59637000,72926000,80045000,91603000,108480000,98550000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,36111000,59637000,72926000,80045000,91603000,108480000,98550000,122068000
9,Other Expenses,9251000,18229000,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,18511000,27747000,46442000,76245000,91816000,98405000,110865000,132763000,117900000,150012000
11,COGS and Expenses,22348000,35897000,56665000,88533000,104819000,113904000,133478000,154536000,148206000,180024000
12,Interest Income ,156000,7000,125000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),36000,117000,409000,- -,- -,- -,- -,- -,2752000,6437000
14,Depreciation and Amortization,351000,505000,583000,826000,1166000,1464000,1884000,3901000,2841000,4812000
15,EBITDA,-15978000,-17747000,-17370000,-25808000,-24056000,-14899000,-21038000,-39093000,-67142000,-150076000
16,EBITDA ratio,-2.7252,-0.9897,-0.4502,-0.4190,-0.3056,-0.1547,-0.1939,-0.3582,-0.8335,-1.4059
17,Operating Income,-16485000,-17966000,-18078000,-26940000,-26111000,-17603000,-25006000,-45394000,-67652000,-141041000
18,Operating Income ratio,-2.8117,-1.0020,-0.4685,-0.4374,-0.3317,-0.1828,-0.2305,-0.4159,-0.8398,-1.3213
19,Total Other Income Expenses (Gains),120000,-403000,-284000,306000,889000,1240000,2084000,2400000,-5083000,-20284000
20,Income Before Tax,-16365000,-18369000,-18362000,-26634000,-25222000,-16363000,-22922000,-42994000,-72735000,-161325000
21,Income Before Tax Ratio,-2.7912,-1.0244,-0.4759,-0.4324,-0.3205,-0.1699,-0.2113,-0.3939,-0.9029,-1.5113
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-416000,-1690000
23,Net Income,-16365000,-18369000,-18362000,-26634000,-25222000,-16363000,-22922000,-42994000,-72319000,-159635000
24,Net Income ratio,-2.7912,-1.0244,-0.4759,-0.4324,-0.3205,-0.1699,-0.2113,-0.3939,-0.8978,-1.4954
25,EPS,-0.94,-1.17,-1.61,-1.02,-0.89,-0.56,-0.76,-1.37,-2.22,-4.80
26,EPS Diluted,-0.94,-1.17,-1.61,-1.02,-0.89,-0.56,-0.76,-1.37,-2.22,-4.80
27,Weighted Average Shares Outstanding,17474000,15655000,11384000,26159000,28420000,29119000,30313000,31388000,32615000,33272000
