,https://roic.ai/company/SMCI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,89339000,137161000,167065000,211763000,302541000,420393000,540503000,505609000,721438000,942582000,1013874000,1162561000,1467202000,1991155000,2215573000,2484929000,3360492000,3500360000,3339281000,3557422000
2,COGS,75354000,113853000,- -,178293000,242235000,345384000,436950000,416899000,606446000,791478000,848457000,1002508000,1241657000,1670924000,1884048000,2134971000,2930498000,3004838000,2813071000,3022884000
3,Gross Profit,13985000,23308000,- -,33470000,60306000,75009000,103553000,88710000,114992000,151104000,165417000,160053000,225545000,320231000,331525000,349958000,429994000,495522000,526210000,534538000
4,Gross Profit Ratio,0.1565,0.1699,- -,0.1581,0.1993,0.1784,0.1916,0.1755,0.1594,0.1603,0.1632,0.1377,0.1537,0.1608,0.1496,0.1408,0.1280,0.1416,0.1576,0.1503
5,Research and Development Exp.,3635000,6858000,- -,10609000,15814000,21171000,30537000,34514000,37382000,48108000,64223000,75208000,84257000,100257000,123994000,143992000,165104000,179907000,221478000,224369000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,24053000,32745000,13824000,16407000,17444000,21872000,23902000,23017000,24377000,37840000,44646000,98597000,141228000,133941000,100539000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,17119000,20458000,26859000,33308000,33785000,38012000,48851000,62841000,66445000,71579000,77154000,85137000,85683000
8,"Selling, General and Administrative Exp.",7321000,9222000,- -,12577000,16294000,24053000,32745000,30943000,36865000,44303000,55180000,57687000,61029000,73228000,100681000,111091000,170176000,218382000,219078000,186222000
9,Other Expenses,- -,1178000,- -,-1178000,575000,-120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,10956000,17258000,- -,22008000,32683000,45104000,63282000,65457000,74247000,92411000,119403000,132895000,145286000,173485000,224675000,255083000,335280000,398289000,440556000,410591000
11,COGS and Expenses,86310000,131111000,- -,200301000,274918000,390488000,500232000,482356000,680693000,883889000,967860000,1135403000,1386943000,1844409000,2108723000,2390054000,3265778000,3403127000,3253627000,3433475000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,476000,103000,66000,54000,48000,92000,115000,171000,9000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,930000,383000,686000,717000,610000,757000,965000,1594000,2300000,5726000,6690000,2236000,2485000
14,Depreciation and Amortization,- -,- -,- -,922000,1214000,1640000,2664000,3653000,4619000,5453000,7071000,7835000,6364000,8133000,13282000,16357000,21846000,24202000,28472000,28185000
15,EBITDA,1774000,1661000,4854000,11651000,27836000,30978000,43468000,27382000,45467000,64212000,53139000,35041000,86715000,154994000,120303000,109945000,112180000,117694000,117938000,149471000
16,EBITDA ratio,0.0199,0.0121,0.0291,0.0550,0.0920,0.0737,0.0804,0.0542,0.0630,0.0681,0.0524,0.0301,0.0591,0.0778,0.0543,0.0442,0.0334,0.0336,0.0353,0.0420
17,Operating Income,3029000,6050000,167065000,11462000,27623000,29905000,40271000,23253000,40745000,58693000,46014000,27158000,80259000,146746000,106850000,94875000,94714000,97233000,85654000,123947000
