,https://roic.ai/company/APDN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,18900,121920,873010,295162,519844,968848,1854694,2036222,2721224,9008499,4186427,4751260,3903343,5389089,1931497,9027738
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,15639,23073,171332,61238,62929,- -,- -,- -,- -,- -,746582,1077232,1206814,877613,720900,4099388
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,3261,98847,701678,233924,456915,968848,1854694,- -,- -,- -,3439845,3674028,2696529,4511476,1210597,4928350
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.1725,0.8108,0.8037,0.7925,0.8789,1.0000,1.0000,- -,- -,- -,0.8217,0.7733,0.6908,0.8372,0.6268,0.5459
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,638873,153191,110845,145832,135405,75961,268876,432669,692480,1300750,1635381,3693810,2282362,2751578,2967278,3321763,3765440
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,17580098,42662152,8530354,12096444,4277013,6576434,7126091,8388873,7615734,11198505,13249753,14736451,11239397,13324503,11043463,10278045,10138103,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1582,3354,5720,8582,- -,3468363,17580098,42662152,8530354,12096444,4277013,6576434,7126091,8388873,7615734,11198505,13249753,14736451,11239397,13324503,11043463,10278045,10138103,12610552
9,Other Expenses,- -,- -,- -,- -,- -,- -,3161,356266,7025310,432582,434416,418128,371914,367556,313940,321074,442262,490641,706496,887305,547796,390424,285730,844438
10,Operating Expenses,1582,3354,5720,8582,- -,3468363,17583259,43657291,15708855,12639871,4857261,7129967,7573966,9025305,8362343,12212059,14992765,16862473,15639703,16494170,14342837,13635747,13745596,17220430
11,COGS and Expenses,1582,3354,5720,8582,- -,3468363,17583259,43657291,15724494,12662944,5028593,7191205,7636895,9025305,8362343,12212059,14992765,16862473,16386285,17571402,15549651,14513360,14466496,21319818
