,https://roic.ai/company/BPTS,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,689519,725635,1567757,5121000,7043000,9513000,9089000,9921000
6,General and Administrative Exp.,- -,395784,373468,2070337,2820000,2865000,4348000,6594000,4021000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,395784,373468,2070337,2820000,2865000,4348000,6594000,4021000
9,Other Expenses,- -,-586976,-425124,-539284,- -,- -,- -,- -,- -
10,Operating Expenses,- -,498327,673979,3098810,7941000,9908000,13861000,15683000,13942000
11,COGS and Expenses,- -,498327,673979,3098810,7941000,9908000,13861000,15683000,13942000
12,Interest Income ,- -,- -,- -,- -,- -,37000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,172500,- -,3293000,185000,2526000,4374000
14,Depreciation and Amortization,- -,30337,15427,- -,167000,204000,227000,262000,280000
15,EBITDA,- -,-467990,-658552,-3116541,-7787000,-11424000,-13666000,-16480000,-14227000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,-498326,-673978,-3098810,-7942000,-9908000,-13861000,-15682000,-13942000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-25209,-35790,-190231,-12000,-1501000,-198000,-2134000,-3112000
20,Income Before Tax,- -,-523535,-709768,-3289041,-7954000,-11409000,-14059000,-17816000,-17054000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-72000,-28000,- -
23,Net Income,- -,-521548,-708939,-3288199,-7954000,-11409000,-13987000,-17788000,-17054000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,-1.38,-1.88,-6.80,-12.80,-12.40,-10.40,-10.50,-2.80
26,EPS Diluted,- -,-1.38,-1.88,-6.80,-12.80,-12.40,-10.40,-10.50,-2.80
27,Weighted Average Shares Outstanding,- -,376964,376964,486585,620262,918818,1346341,1688266,5997449
28,Weighted Average Shares Outstanding Diluted,- -,376964,376964,486585,620262,918818,1346341,1688266,5997449
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,623379,43003,9362,9409352,3066000,19857000,14406000,6337000,5847000
32,Short-Term Investments,300493,- -,- -,- -,- -,- -,- -,475000,12924000
33,Cash and Short-Term Investments,923872,43003,9362,9409352,3066000,19857000,14406000,6812000,18771000
34,Net Receivables,- -,- -,- -,- -,- -,3327000,4693000,7848000,5211000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,230455,559070,357569,1396941,2826000,251000,257000,45000,28000
37,Total Current Assets,1154327,602073,366931,10806293,5892000,23435000,19356000,14705000,24010000
38,PP&E,55298,25379,19586,194423,276000,313000,295000,185000,114000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,2009000,1910000,2400000,2673000
41,Intangible Assets,- -,- -,- -,2243829,2125000,2009000,1910000,2400000,2673000
42,Investments,-300203,- -,- -,- -,- -,190000,43000,45000,93000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,300493,313,339,272028,100000,- -,258000,337000,320000
45,Total Non-Current Assets,55588,25692,19925,2710280,2501000,2512000,2506000,2967000,3200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1209915,627765,386856,13516573,8393000,25947000,21862000,17672000,27210000
48,Accounts Payable,192715,318182,377643,661565,1920000,2402000,4866000,7866000,7985000
49,Short-Term Debt,275537,132834,187865,399398,175000,305000,1816000,9846000,7262000
50,Tax Payable,132427,242055,384845,361204,722000,1118000,1400000,482000,1446000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,296714,242055,388545,361204,818000,1232000,1602000,1946000,3110000
53,Total Current Liabilities,764966,693071,954053,1422167,2913000,3939000,8284000,19658000,18357000
54,Long-Term Debt,304932,330395,536808,403394,914000,708000,6383000,5398000,1833000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,14421,13624,24889,24997,47000,114000,189000,142000,188000
58,Total Non-Current Liabilities,319353,344019,561697,428391,961000,822000,6572000,5540000,2021000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,173924,138000,93000,46000,- -,- -
61,Total Liabilities,1084319,1037090,1515750,1850558,3874000,4761000,14856000,25198000,20378000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,753927,753927,753927,1239100,1245000,2693000,2693000,4793000,20151000
64,Retained Earnings,- -,-521549,-708939,-3288199,-7954000,-11409000,-13987000,-17788000,-17054000
65,Other Comprehensive Income/Loss,-144808,-154948,-164717,-147440,-213000,-14636000,-25781000,-39720000,-14013000
66,Other Total Stockholders Equity,-457243,-457629,-979123,13893559,11471000,44569000,44112000,45220000,17779000
67,Total Stockholders Equity,151876,-380199,-1098852,11697020,4549000,21217000,7037000,-7495000,6863000
68,Total Liabilities And Stockholders Equity,1236195,656891,416898,13547578,8423000,25978000,21893000,17703000,27241000
69,Minority Interest,-26280,-29126,-30042,-31005,-30000,-31000,-31000,-31000,-31000
70,Total Liabilities & Equity,1209915,627765,386856,13516573,8393000,25947000,21862000,17672000,27210000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,-521548,-708939,-3288199,-7954000,-11409000,-13987000,-17788000,-17054000
74,Depreciation and Amortization,- -,30337,15427,- -,167000,204000,227000,262000,280000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,717525,- -,891000,287000,63000,- -
77,Change in Working Capital,- -,69256,265839,-804430,-216000,-146000,1139000,-361000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-483000,2305000,2641000,119000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-381339,-231213,165771,1370000,1733000,277000,2551000,16774000
83,Cash Provided by Operating Activities,- -,-803294,-658886,-3209333,-6633000,-8727000,-12057000,-15273000,- -
84,CAPEX,- -,-3774,-2659,-6190,-129000,-128000,-113000,-282000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-559,- -,-128000,-104000,-278000,- -
89,Cash Used for Investing Activites,- -,-3774,-2659,-6190,-129000,-128000,-104000,-278000,- -
90,Debt Repayment,- -,-90249,-22500,-37400,-276000,-64000,-23000,- -,- -
91,Common Stock Issued,- -,- -,- -,12517668,- -,53000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,322716,638267,153491,683000,25660000,6794000,7500000,- -
95,Cash Used/Provided by Financing Activities,- -,232467,615767,12633759,407000,25649000,6771000,7500000,- -
96,Effect of Forex Changes on Cash,- -,-8340,243,2246,12000,-3000,-61000,-18000,- -
97,Net Change In Cash,- -,-582941,-45534,9420482,-6343000,16791000,-5451000,-8069000,- -
98,Cash at the End of Period,- -,32884,-12650,9407832,3066000,19857000,14406000,6337000,- -
99,Cash at the Beginning of Period,- -,615825,32884,-12650,9409000,3066000,19857000,14406000,- -
100,Free Cash Flow,- -,-807068,-661545,-3215523,-6762000,-8855000,-12170000,-15555000,- -
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,undefined,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213
