,https://roic.ai/company/FTI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,11154121154,14204606760,2799585425,2791291771,3156300000,4676251000,5922795000,6963999000,6362614000,9141595000,11498534708,10414845338,9249813743,8088708605,8830276716,10849710371,12891960562,12249987840,11302451184,9199600000,15056900000,12552900000,13409100000,13050600000,6403000000
2,COGS,- -,- -,2625504382,2579409058,2754300000,3943666000,5016982000,6058313000,5702103000,8185532000,10563372068,8828270735,7613760101,6512834153,7162724386,8797709419,10658537933,10465367965,9721863862,7630000000,12524600000,10273000000,10950700000,11209400000,- -
3,Gross Profit,- -,- -,174081043,211882713,402000000,732585000,905813000,905686000,660511000,956063000,935162640,1586574603,1636053642,1575874451,1667552330,2052000952,2233422630,1784619875,1580587322,1569600000,2532300000,2279900000,2458400000,1841200000,- -
4,Gross Profit Ratio,- -,- -,0.0622,0.0759,0.1274,0.1567,0.1529,0.1301,0.1038,0.1046,0.0813,0.1523,0.1769,0.1948,0.1888,0.1891,0.1732,0.1457,0.1398,0.1706,0.1682,0.1816,0.1833,0.1411,- -
5,Research and Development Exp.,- -,- -,- -,- -,16300000,39281000,41865000,44973000,34795000,46061000,61236094,62505220,76651957,75275968,84634826,90856191,104255848,100442629,94133339,105400000,212900000,189200000,162900000,119800000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,366687565,400506724,390710069,400186195,429136154,594731134,673865614,503429155,432947762,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146091825,169000752,213765832,238196569,239258635,305234480,303515701,268860353,234513371,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,132600000,328219000,429585000,353144000,364755000,467737000,512779390,569507476,604475901,638382764,668394790,899965615,977381314,772289508,667461133,572600000,1060900000,1140600000,1228100000,1066200000,- -
9,Other Expenses,10396660397,13105340933,9559364,40385446,- -,273918000,148224000,157405000,-13493000,-35371000,1020602,75590946,387271477,90703551,49510725,-18911842,2761744,9849701,6778475,- -,- -,- -,- -,- -,- -
10,Operating Expenses,10396660397,13105340933,9559364,40385446,148900000,641418000,619674000,555522000,386057000,478427000,575036086,707603642,1068399335,804362282,802540341,971909964,1084398906,882581838,768372947,678000000,1273800000,1329800000,1391000000,1186000000,- -
11,COGS and Expenses,10396660397,13105340933,2635063746,2619794504,2903200000,4585084000,5636656000,6613835000,6088160000,8663959000,11138408153,9535874377,8682159436,7317196436,7965264727,9769619383,11742936839,11347949803,10490236809,8308000000,13798400000,11602800000,12341700000,12395400000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29305845,78931982,684853000,544487299,453373080,76176369,76224143,47910891,45700042,85300000,140800000,121400000,116500000,56600000,- -
