,https://roic.ai/company/PAY,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,295593000,339331000,390088000,485367000,581070000,902892000,921931000,844714000,1001537000,1303866000,1865971000,1702200000,1868900000,2000500000,1992100000,1871000000,- -,235778000,301767000,395524000
2,COGS,210700000,200291000,231893000,288542000,319525000,603660000,628900000,562585000,631225000,812116000,1110130000,1057000000,1144200000,1174500000,1197800000,1157900000,- -,161344000,209140000,274144000
3,Gross Profit,84893000,139040000,158195000,196825000,261545000,299232000,293031000,282129000,370312000,491750000,755841000,645200000,724700000,826000000,794300000,713100000,- -,74434000,92627000,121380000
4,Gross Profit Ratio,0.2872,0.4097,0.4055,0.4055,0.4501,0.3314,0.3178,0.3340,0.3697,0.3771,0.4051,0.3790,0.3878,0.4129,0.3987,0.3811,- -,0.3157,0.3069,0.3069
5,Research and Development Exp.,30359000,28193000,33703000,41830000,47353000,65430000,75622000,65148000,74227000,109155000,152001000,173300000,203700000,201600000,207500000,211600000,- -,17864000,24510000,34122000
6,General and Administrative Exp.,36435000,- -,- -,81840000,101180000,176999000,218082000,76468000,84371000,138611000,175174000,181100000,208700000,206200000,204600000,189700000,- -,10210000,17847000,32968000
7,Selling and Marketing Exp.,40773000,- -,- -,- -,- -,- -,- -,73544000,94666000,138274000,179694000,196600000,217400000,227500000,217000000,194000000,- -,27989000,31842000,43917000
8,"Selling, General and Administrative Exp.",77208000,- -,- -,81840000,101180000,176999000,218082000,150012000,179037000,276885000,354868000,377700000,426100000,433700000,421600000,383700000,- -,38199000,49689000,76885000
9,Other Expenses,21333000,75263000,79705000,4967000,4703000,21571000,315152000,20423000,14624000,- -,83795000,96200000,97600000,82500000,90500000,69600000,- -,- -,- -,- -
10,Operating Expenses,128900000,103456000,113408000,128637000,153236000,264000000,608856000,235583000,267888000,386040000,590664000,647200000,727400000,717800000,719600000,664900000,- -,56063000,74199000,111007000
11,COGS and Expenses,339600000,303747000,345301000,417179000,472761000,867660000,1237756000,798168000,899113000,1198156000,1700794000,1704200000,1871600000,1892300000,1917400000,1822800000,- -,217407000,283339000,385151000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000,52000,- -
13,Interest Expense (Gain),- -,12456000,12597000,14786000,13617000,36598000,28413000,12481000,28344000,28950000,62830000,44300000,42500000,31500000,34600000,33200000,- -,- -,- -,6000
14,Depreciation and Amortization,- -,26799000,24039000,18025000,16405000,70766000,73330000,61503000,46602000,48318000,177832000,207800000,213600000,169400000,179200000,140700000,- -,6001000,8069000,13295000
