,https://roic.ai/company/CSSEP,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,8118632,10657001,26859519,55363906,66356956,110395466
2,COGS,3155668,4735734,12345590,40423550,52139819,79138884
3,Gross Profit,4962964,5921267,14513929,14940356,14217137,31256582
4,Gross Profit Ratio,0.6113,0.5556,0.5404,0.2699,0.2143,0.2831
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2370912,3084878,10415691,20813579,23643881,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2370912,3084878,10415691,20813579,23643881,48611101
9,Other Expenses,811863,1065700,2993895,18829669,29284992,28607099
10,Operating Expenses,3182775,4150578,13409586,39643248,52928873,77218200
11,COGS and Expenses,6338443,8886312,25755176,80066798,105068692,156357084
12,Interest Income ,13,10888,39058,40191,- -,- -
13,Interest Expense (Gain),519210,1141864,388036,811017,2090316,4831175
14,Depreciation and Amortization,3155668,4362087,9538863,24186134,45257578,48777684
15,EBITDA,4895011,28111449,9955927,-6089718,7036917,3268675
16,EBITDA ratio,0.6029,2.6378,0.3707,-0.1100,0.1060,0.0296
17,Operating Income,1780189,1658121,774799,-26131345,-44257132,-379151
18,Operating Income ratio,0.2193,0.1556,0.0288,-0.4720,-0.6670,-0.0034
19,Total Other Income Expenses (Gains),-560056,20949377,-745771,-5089806,3763954,-50034491
20,Income Before Tax,1220133,22607498,29028,-31221151,-40493178,-50413642
21,Income Before Tax Ratio,0.1503,2.1214,0.0011,-0.5639,-0.6102,-0.4567
22,Income Tax expense (Gain),439000,-182000,874000,585000,99000,66000
23,Net Income,781133,22789498,-844972,-31671869,-40409977,-50406184
24,Net Income ratio,0.0962,2.1385,-0.0315,-0.5721,-0.6090,-0.4566
25,EPS,0.22,6.49,-0.24,-9.02,-3.62,-14.36
26,EPS Diluted,0.22,6.49,-0.24,-9.02,-3.62,-14.36
27,Weighted Average Shares Outstanding,3510260,3510260,3510260,3510260,3510260,3510260
28,Weighted Average Shares Outstanding Diluted,3510260,3510260,3510260,3510260,3510260,3510260
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1679063/000114420418018323/0001144204-18-018323-index.htm,https://www.sec.gov/Archives/edgar/data/1679063/000114420419029729/0001144204-19-029729-index.htm,https://www.sec.gov/Archives/edgar/data/1679063/000155837020003353/0001558370-20-003353-index.htm,https://www.sec.gov/Archives/edgar/data/1679063/000155837021003814/0001558370-21-003814-index.htm,https://www.sec.gov/Archives/edgar/data/1679063/000155837022004926/0001558370-22-004926-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,507247,2172046,6451758,6447402,14732726,44286105
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,507247,2172046,6451758,6447402,14732726,44286105
34,Net Receivables,1523934,14186981,14054535,42303551,31645599,60213807
35,Inventory,- -,368964,262068,312033,- -,- -
36,Other Current Assets,809183,2120951,968736,861190,1382502,- -
37,Total Current Assets,2840364,18848942,21737097,49924176,47760827,104499912
38,PP&E,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,2537079,21448106,21448106,39986530
40,Intangible Assets,8977553,42595733,53264571,95979617,82554751,18035091
41,Intangible Assets,8977553,42595733,55801650,117427723,104002857,58021621
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,452000,- -,- -,- -
44,Other Non-Current Assets,- -,298133,356221,313585,4517102,- -
45,Total Non-Current Assets,8977553,42893866,56609871,117741308,108519959,58021621
46,Other Assets,- -,- -,- -,- -,- -,198947808
47,Total Assets,11817917,61742808,78346968,167665484,156280786,245426099
48,Accounts Payable,694368,1002536,5078805,26646390,18445925,- -
49,Short-Term Debt,2610106,- -,1000000,3200000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,71429,515000,- -,- -,- -,- -
52,Other Current Liabilities,990551,2481178,1539139,17496350,15484683,- -
53,Total Current Liabilities,4366454,3998714,7617944,47342740,33930608,- -
54,Long-Term Debt,3316488,1500000,6582113,16810475,33597467,- -
55,Deferred Revenue,71429,515000,6469,- -,8659136,- -
56,Deferred Tax Liabilities,439000,257000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,807933,3130106,12491567,14991784,- -
58,Total Non-Current Liabilities,3826917,3079933,9718688,29302042,57248387,- -
59,Other Liabilities,- -,- -,- -,- -,- -,153826946
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,8193371,7078647,17336632,76644782,91178995,153826946
62,Preferred Stock,- -,- -,92,160,210,- -
63,Common Stock,896,1160,1203,1207,1282,1665
64,Retained Earnings,-450996,22338501,2281187,-32695629,-77247982,-118965586
65,Other Comprehensive Income/Loss,- -,22338501,- -,- -,- -,571
66,Other Total Stockholders Equity,4074646,9985999,58727854,86977301,105792819,209910650
67,Total Stockholders Equity,3624546,54664161,61010336,54283039,28546329,90947300
68,Total Liabilities And Stockholders Equity,11817917,61742808,78346968,130927821,119725324,244774246
69,Minority Interest,- -,- -,- -,36737663,36555462,651853
70,Total Liabilities & Equity,11817917,61742808,78346968,167665484,156280786,245426099
