,https://roic.ai/company/TCEHY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,734957000,1143533000,1426395000,2800441000,3820923000,7154544000,12439960000,19646031000,28496072000,43893711000,60437000000,78932000000,102863000000,151938000000,237760000000,312694000000,377289000000,482064000000,560118000000
2,COGS,229548000,416216000,469869000,817062000,1117557000,2170421000,3889468000,6320200000,9928308000,18207360000,27778000000,30873000000,41631000000,67439000000,120835000000,170574000000,209756000000,260532000000,314174000000
3,Gross Profit,505409000,727317000,956526000,1983379000,2703366000,4984123000,8550492000,13325831000,18567764000,25686351000,32659000000,48059000000,61232000000,84499000000,116925000000,142120000000,167533000000,221532000000,245944000000
4,Gross Profit Ratio,0.6877,0.6360,0.6706,0.7082,0.7075,0.6966,0.6873,0.6783,0.6516,0.5852,0.5404,0.6089,0.5953,0.5561,0.4918,0.4545,0.4440,0.4595,0.4391
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,112011000,170050000,347685000,610022000,840113000,1332207000,2026347000,2836226000,5283154000,7765272000,9988000000,14155000000,16825000000,22459000000,33051000000,41522000000,53446000000,67625000000,89847000000
7,Selling and Marketing Exp.,55967000,108482000,197627000,293247000,297439000,518147000,581468000,945370000,1920853000,2993437000,5695000000,7797000000,7993000000,12136000000,17652000000,24233000000,21396000000,33758000000,40594000000
8,"Selling, General and Administrative Exp.",167978000,278532000,545312000,903269000,1137552000,1850354000,2607815000,3781596000,7204007000,10758709000,15683000000,21952000000,24818000000,34595000000,50703000000,65755000000,74842000000,101383000000,130441000000
9,Other Expenses,1226000,-11039000,-73145000,4789000,-29120000,-112205000,67099000,-38056000,-420803000,-141347000,-339000000,-241000000,-182000000,-786000000,-4225000000,-1646000000,-3881000000,-7922000000,-8888000000
10,Operating Expenses,169204000,267493000,472167000,908058000,1108432000,1738149000,2674914000,3743540000,6783204000,10617362000,15344000000,21711000000,24636000000,33809000000,46478000000,64109000000,70961000000,93461000000,121553000000
11,COGS and Expenses,398752000,683709000,942036000,1725120000,2225989000,3908570000,6564382000,10063740000,16711512000,28824722000,43122000000,52584000000,66267000000,101248000000,167313000000,234683000000,280717000000,353993000000,435727000000
12,Interest Income ,2004000,- -,- -,75782000,85744000,- -,136014000,255922000,468990000,835671000,1314000000,1676000000,2327000000,2619000000,3940000000,4569000000,6314000000,6957000000,6650000000
