,https://roic.ai/company/CREX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,1073990,710216,3145389,5984913,7381402,5009000,8567000,9274000,6704000,6802000,13418000,11471000,13673000,17698000,22475000,31598000,17457000,18437000
2,COGS,1029072,939906,1545267,3892367,6589289,3586000,4582000,5208000,3029000,2814000,10052000,7869000,6815000,10309000,12252000,17859000,9336000,10080000
3,Gross Profit,44918,-229690,1600122,2092546,792113,1423000,3985000,4066000,3675000,3988000,3366000,3602000,6858000,7389000,10223000,13739000,8121000,8357000
4,Gross Profit Ratio,0.0418,-0.3234,0.5087,0.3496,0.1073,0.2841,0.4652,0.4384,0.5482,0.5863,0.2509,0.3140,0.5016,0.4175,0.4549,0.4348,0.4652,0.4533
5,Research and Development Exp.,687398,881515,875821,1197911,2541267,2167000,2864000,2116000,1795000,935000,492000,804000,893000,991000,1257000,1413000,1083000,550000
6,General and Administrative Exp.,2168457,2889230,5042635,11505662,11257801,6168000,5963000,6105000,5443000,4930000,5765000,6947000,6393000,6944000,10188000,9092000,9293000,7598000
7,Selling and Marketing Exp.,- -,- -,- -,- -,3998744,2520000,2329000,2090000,1550000,1482000,1179000,1114000,1061000,2078000,2075000,2344000,1676000,1153000
8,"Selling, General and Administrative Exp.",2168457,2889230,5042635,11505662,15256545,8688000,8292000,8195000,6993000,6412000,6944000,8061000,7454000,9022000,12263000,11436000,10969000,8751000
9,Other Expenses,- -,- -,- -,703995,1275827,771000,684000,467000,286000,213000,817000,2027000,2003000,1505000,1185000,1000000,1474000,1605000
10,Operating Expenses,2855855,3770745,5918456,13407568,19073639,11626000,11840000,10778000,9074000,7560000,8253000,10892000,10350000,11518000,14705000,13849000,13526000,10906000
11,COGS and Expenses,3884927,4710651,7463723,17299935,25662928,15212000,16422000,15986000,12103000,10374000,18305000,18761000,17165000,21827000,26957000,31708000,22862000,20986000
12,Interest Income ,1425,1375,21915,1277456,647066,76000,30000,4000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),525546,804665,10124216,40247,22484,6000,58000,30000,8000,25000,32000,1286000,1908000,1610000,2606000,831000,1023000,-805000
14,Depreciation and Amortization,261104,368722,5372448,651557,1225827,771000,684000,467000,286000,213000,818000,2027000,2003000,1505000,1186000,1217000,1474000,1364000
15,EBITDA,-2552720,-3616538,708927,-9394581,-19444050,-9406000,-7141000,-6241000,-5112000,-3359000,-2949000,-4296000,-2364000,-3874000,-7226000,3179000,-14505000,813000
16,EBITDA ratio,-2.3769,-5.0922,0.2254,-1.5697,-2.6342,-1.8778,-0.8335,-0.6730,-0.7625,-0.4938,-0.2198,-0.3745,-0.1729,-0.2189,-0.3215,0.1006,-0.8309,0.0441
