,https://roic.ai/company/SHI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,11853476160,11901565280,11832376360,10709485693,14036478010,19893009613,19617609214,21725009708,28942697169,38664076397,45208693540,49822282200,54258240632,61641998000,51657929000,72095882000,89509653000,87217274000,105503178000,92724964000,67037205000,65936468000,79218327000,95613483000,88055740000,61560865000
2,COGS,8000055168,9051894720,9388238440,8116426588,9196748206,18227095443,18802897137,19855802688,23124060038,31408302756,42905275549,49087804485,52649961525,68556447000,45010196000,68313915000,87881160000,88617789000,103225914000,92910062000,62757106000,58731674000,72398288000,89838977000,86467995000,61901114000
3,Gross Profit,3853420992,2849670560,2444137920,2593059106,4839729804,1665914170,814712077,1869207020,5818637132,7255773641,2303417991,734477715,1608279108,-6914449000,6647733000,3781967000,1628493000,-1400515000,2277264000,-185098000,4280099000,7204794000,6820039000,5774506000,1587745000,-340249000
4,Gross Profit Ratio,0.3251,0.2394,0.2066,0.2421,0.3448,0.0837,0.0415,0.0860,0.2010,0.1877,0.0510,0.0147,0.0296,-0.1122,0.1287,0.0525,0.0182,-0.0161,0.0216,-0.0020,0.0638,0.1093,0.0861,0.0604,0.0180,-0.0055
5,Research and Development Exp.,- -,- -,- -,35450250,106812066,- -,- -,- -,101225218,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43569000,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89844000,12518000,3646000,685529000,649906000,691020000,564161000,13453000,13904000,13738000,19367000,16199000,15625000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,649906000,691020000,564161000,600859000,546087000,535259000,536114000,549885000,486323000
8,"Selling, General and Administrative Exp.",92462112,129455040,147376880,741392053,2052847947,314458826,363217316,421246657,1742815476,692309963,444631866,520989963,504744503,557831000,462950000,632407000,685529000,1299812000,1382040000,1128322000,614312000,559991000,548997000,555481000,566084000,501948000
9,Other Expenses,1029578112,1089579920,1186466680,1349038476,1451122590,-64022746,291471197,266545898,-1303982466,-277003455,-37130027,-56758003,304724107,49229000,27325000,- -,-161167000,-909621000,-751245000,-770177000,-165953000,-140771000,-64669000,-113435000,-68607000,-58007000
10,Operating Expenses,1122040224,1219034960,1333843560,2125880779,3610782603,250436081,654688513,687792555,540058228,415306507,407501839,464231960,809468610,607060000,490275000,632407000,524362000,390191000,630795000,401714000,448359000,419220000,484328000,442046000,497477000,443941000
11,COGS and Expenses,9122095392,10270929680,10722082000,10242307366,12807530809,18477531524,19457585650,20543595243,23664118266,31823609264,43312777388,49552036445,53459430134,69163507000,45500471000,68946322000,88405522000,89007980000,103856709000,93311776000,63205465000,59150894000,72882616000,90281023000,86965472000,62345055000
12,Interest Income ,- -,- -,- -,142786188,- -,71827171,40719876,- -,27417233,42831148,39640885,- -,82284421,227533000,19405000,178462000,99345000,86545000,90484000,64673000,49302000,133484000,268379000,443661000,398176000,431228000
13,Interest Expense (Gain),325699872,294593200,- -,491808055,- -,355010423,278093820,154849764,415935647,334842889,276259023,165073075,260221560,557971000,340554000,273681000,215494000,356103000,376696000,374600000,211942000,53617000,54384000,79246000,53784000,93440000
14,Depreciation and Amortization,1029578112,1089579920,1186466680,1349038476,1451122590,1511379929,1358267366,1613944145,1873924816,1816399951,1719211458,1849512418,1687546531,1631918000,1648779000,1655217000,1623700000,1683028000,2109866000,1939781000,1722314000,1638103000,1588494000,1807613000,1838788000,1827139000
15,EBITDA,3869247840,2579142720,2042577320,2136825484,2156034214,2922360552,1753570521,2729423703,3836616233,6759407488,4213123681,2910502648,4050206640,-5861266000,4091371000,5436916000,3105484000,-597000,4921041000,1407975000,6135341000,9457008000,9484839000,8695093000,4537263000,2500031000
16,EBITDA ratio,0.3264,0.2167,0.1726,0.1995,0.1536,0.1469,0.0894,0.1256,0.1326,0.1748,0.0932,0.0584,0.0746,-0.0951,0.0792,0.0754,0.0347,-0.0000,0.0466,0.0152,0.0915,0.1434,0.1197,0.0909,0.0515,0.0406
17,Operating Income,2731380768,1630635600,1110294360,467178327,1228947201,1415478089,160023564,1429756865,2006400050,5025151620,2528991581,551844670,892717301,-7817264000,2023476000,2967092000,1059824000,-1772446000,2192266000,-587900000,3908932000,6777856000,6401873000,5585112000,1320572000,-466236000
18,Operating Income ratio,0.2304,0.1370,0.0938,0.0436,0.0876,0.0712,0.0082,0.0658,0.0693,0.1300,0.0559,0.0111,0.0165,-0.1268,0.0392,0.0412,0.0118,-0.0203,0.0208,-0.0063,0.0583,0.1028,0.0808,0.0584,0.0150,-0.0076
19,Total Other Income Expenses (Gains),-217410912,-435666000,-254183720,-171199373,-524035576,-336235158,-42814230,-469127072,-459644279,-328924012,-240461124,410507185,1258774860,-197174000,143033000,566284000,236882000,-244027000,252387000,-302044000,328256000,1000439000,1451025000,1223009000,1335556000,1057014000
20,Income Before Tax,2513969856,1194969600,856110640,295978954,704911624,1079242931,117209335,960629794,1546755771,4696227608,2288530457,962351855,2151492162,-8014438000,2166509000,3533376000,1296706000,-2016473000,2444653000,-889944000,4237188000,7778295000,7852898000,6808121000,2656128000,590778000
21,Income Before Tax Ratio,0.2121,0.1004,0.0724,0.0276,0.0502,0.0543,0.0060,0.0442,0.0534,0.1215,0.0506,0.0193,0.0397,-0.1300,0.0419,0.0490,0.0145,-0.0231,0.0232,-0.0096,0.0632,0.1180,0.0991,0.0712,0.0302,0.0096
22,Income Tax expense (Gain),384009312,186714000,129989720,58838142,99187955,200575391,1158931,44180113,145066301,637061590,366448092,53132165,468248323,-1812711000,511050000,736372000,310184000,-511331000,379151000,-214184000,926777000,1796822000,1698739000,1471903000,428963000,-65620000
23,Net Income,2129960544,1008255600,726120920,237140812,605723670,855394808,116050404,916449681,1401689471,3971103058,1851205109,842784990,1634190226,-6238444000,1590988000,2771646000,956106000,-1528397000,2055328000,-692222000,3274308000,5968466000,6143222000,5336331000,2215728000,645072000
24,Net Income ratio,0.1797,0.0847,0.0614,0.0221,0.0432,0.0430,0.0059,0.0422,0.0484,0.1027,0.0409,0.0169,0.0301,-0.1012,0.0308,0.0384,0.0107,-0.0175,0.0195,-0.0075,0.0488,0.0905,0.0775,0.0558,0.0252,0.0105
25,EPS,14.44,6.64,4.42,1.47,3.72,5.33,0.71,5.65,8.67,24.54,11.56,5.33,10.22,-38.67,9.82,17.11,5.91,-14.13,19.00,-6.40,30.30,55.30,56.90,49.30,20.50,6.00
