,https://roic.ai/company/POLY,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,134000000,169900000,183000000,195300000,236100000,286300000,315012000,401038000,311181000,337508000,416965000,559995000,750394000,800154000,856286000,765619000,613837000,683602000,713368000,762226000,818607000,865010000,856907000,881176000,856903000,1674535000,1696990000,1727607000
2,COGS,65300000,82500000,84500000,87700000,104900000,121000000,125241000,173912000,163336000,168565000,200995000,271537000,424140000,491339000,507181000,469591000,312767000,321846000,329017000,359045000,391979000,403391000,422233000,439806000,417788000,980396000,1144755000,951056000
3,Gross Profit,68700000,87400000,98500000,107600000,131200000,165300000,189771000,227126000,147845000,168943000,215970000,288458000,326254000,308815000,349105000,296028000,301070000,361756000,384351000,403181000,426628000,461619000,434674000,441370000,439115000,694139000,552235000,776551000
4,Gross Profit Ratio,0.5127,0.5144,0.5383,0.5509,0.5557,0.5774,0.6024,0.5663,0.4751,0.5006,0.5180,0.5151,0.4348,0.3859,0.4077,0.3867,0.4905,0.5292,0.5388,0.5290,0.5212,0.5337,0.5073,0.5009,0.5124,0.4145,0.3254,0.4495
5,Research and Development Exp.,- -,- -,13700000,14500000,17500000,19500000,21868000,26999000,30303000,33877000,35460000,45216000,62798000,71895000,76982000,72061000,57784000,63183000,69664000,80373000,84781000,91627000,90408000,88318000,84193000,201886000,218277000,209290000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",34000000,42500000,34800000,39900000,47700000,57500000,70326000,91079000,76273000,80605000,95756000,116621000,153094000,182108000,189156000,175601000,143784000,163389000,173334000,182445000,201176000,229569000,221299000,223830000,229390000,567879000,595463000,488378000
9,Other Expenses,2000000,1800000,2400000,2900000,3600000,4700000,4272000,- -,- -,- -,- -,- -,- -,-2637000,- -,- -,- -,-5100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,36000000,44300000,50900000,57300000,68800000,81700000,96466000,118078000,106576000,114482000,131216000,161837000,215892000,251366000,266138000,247662000,201568000,221472000,242998000,262818000,285957000,321196000,311707000,312148000,313583000,769765000,813740000,697668000
11,COGS and Expenses,101300000,126800000,135400000,145000000,173700000,202700000,221707000,291990000,269912000,283047000,332211000,433374000,640032000,742705000,773319000,717253000,514335000,543318000,572015000,621863000,677936000,724587000,733940000,751954000,731371000,1750161000,1958495000,1648724000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92640000,82606000
14,Depreciation and Amortization,2000000,1800000,2400000,2900000,3600000,4700000,4272000,7034000,9464000,11482000,12353000,12228000,24244000,29151000,28486000,25822000,18144000,16275000,13760000,16219000,15566000,18711000,20142000,20977000,21178000,201369000,230262000,164867000
15,EBITDA,-35700000,37100000,44200000,47900000,61200000,85000000,99150000,109186000,52664000,68242000,98852000,142588000,136798000,90689000,113723000,-58894000,99809000,156931000,156362000,154644000,156705000,163962000,102318000,122642000,121405000,15677000,-573681000,182593000
16,EBITDA ratio,-0.2664,0.2184,0.2415,0.2453,0.2592,0.2969,0.3147,0.2723,0.1692,0.2022,0.2371,0.2546,0.1823,0.1133,0.1328,-0.0769,0.1626,0.2296,0.2192,0.2029,0.1914,0.1895,0.1194,0.1392,0.1417,0.0094,-0.3381,0.1057
17,Operating Income,32700000,43100000,47600000,50300000,62400000,83600000,93305000,102014000,41269000,54461000,84754000,126621000,110362000,57449000,79383000,-81172000,97635000,140712000,141353000,138097000,140124000,149085000,108041000,125076000,123501000,-109295000,-804055000,12618000
18,Operating Income ratio,0.2440,0.2537,0.2601,0.2576,0.2643,0.2920,0.2962,0.2544,0.1326,0.1614,0.2033,0.2261,0.1471,0.0718,0.0927,-0.1060,0.1591,0.2058,0.1981,0.1812,0.1712,0.1724,0.1261,0.1419,0.1441,-0.0653,-0.4738,0.0073
19,Total Other Income Expenses (Gains),-70400000,-7800000,-5800000,-5300000,-4800000,-2300000,1573000,138000,1931000,2299000,1745000,3739000,2192000,4089000,5854000,-3544000,3105000,-56000,1249000,328000,1015000,-3834000,-25865000,-23411000,-23274000,-76397000,-92528000,-77498000
20,Income Before Tax,-37700000,35300000,41800000,45000000,57600000,81300000,94878000,102152000,43200000,56760000,86499000,130360000,112554000,61538000,85237000,-84716000,100740000,140656000,142602000,138425000,141139000,145251000,82176000,101665000,100227000,-185692000,-896583000,-64880000
21,Income Before Tax Ratio,-0.2813,0.2078,0.2284,0.2304,0.2440,0.2840,0.3012,0.2547,0.1388,0.1682,0.2074,0.2328,0.1500,0.0769,0.0995,-0.1107,0.1641,0.2058,0.1999,0.1816,0.1724,0.1679,0.0959,0.1154,0.1170,-0.1109,-0.5283,-0.0376
22,Income Tax expense (Gain),3000000,14500000,16300000,15300000,18400000,26000000,30361000,28602000,6952000,15284000,24220000,32840000,31404000,11395000,16842000,-19817000,24287000,31413000,33566000,32023000,28722000,32950000,13784000,19066000,101096000,-50131000,-69401000,-7549000
23,Net Income,-40700000,20800000,25500000,29700000,39200000,54300000,64517000,73550000,36248000,41476000,62279000,97520000,81150000,50143000,68395000,-64899000,57378000,109243000,109036000,106402000,112417000,112301000,68392000,82599000,-869000,-135561000,-827182000,-57331000
24,Net Income ratio,-0.3037,0.1224,0.1393,0.1521,0.1660,0.1897,0.2048,0.1834,0.1165,0.1229,0.1494,0.1741,0.1081,0.0627,0.0799,-0.0848,0.0935,0.1598,0.1528,0.1396,0.1373,0.1298,0.0798,0.0937,-0.0010,-0.0810,-0.4874,-0.0332
25,EPS,-1.09,0.40,0.47,0.56,0.79,1.09,1.30,1.49,0.77,0.92,1.39,2.02,1.72,1.06,1.42,-1.34,1.19,2.31,2.48,2.55,2.65,2.69,2.00,2.56,-0.03,-3.61,-20.48,-1.40
26,EPS Diluted,-1.09,0.40,0.47,0.56,0.72,0.99,1.22,1.38,0.74,0.89,1.31,1.92,1.66,1.04,1.39,-1.34,1.17,2.23,2.41,2.49,2.59,2.63,1.96,2.51,-0.03,-3.61,-20.48,-1.40
27,Weighted Average Shares Outstanding,37339450,52000000,54255319,53376000,49443000,49722000,49515000,49213000,47304000,45187000,44830000,48249000,47120000,47361000,48232000,48589000,48504000,47713000,44023000,41748000,42452000,41723000,34127000,32279000,32345000,37569000,39658000,41044000
28,Weighted Average Shares Outstanding Diluted,37339450,52000000,54255319,54000000,54669000,54846000,53019000,53263000,49238000,46584000,47492000,50821000,48788000,48020000,49090000,48589000,49331000,49344000,45265000,42738000,43364000,42643000,34938000,32963000,32345000,37569000,39658000,41044000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914025/000091402520000064/0000914025-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/914025/000091402521000019/0000914025-21-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,54704000,180616000,78398000,68703000,94131000,163091000,158193000,349961000,284375000,209335000,228776000,232704000,276850000,235266000,301970000,390661000,202509000,213879000,202560000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,5021000,- -,164416000,8029000,9234000,- -,59987000,19231000,145581000,125177000,116581000,102717000,97859000,160051000,178179000,269313000,13332000,11841000,14559000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,59725000,180616000,242814000,76732000,103365000,163091000,218180000,369192000,429956000,334512000,345357000,335421000,374709000,395317000,480149000,659974000,215841000,225720000,217119000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,50503000,64999000,87558000,118008000,113758000,131493000,83657000,88328000,103289000,111771000,128209000,138301000,136581000,128219000,141177000,152888000,337671000,246835000,267464000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,33758000,40762000,60201000,105882000,126605000,127088000,119296000,70518000,56473000,53713000,67435000,57132000,56676000,53162000,55456000,68276000,177146000,164527000,194405000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,9031000,24250000,16121000,27727000,31133000,28531000,42422000,41554000,28002000,24178000,25489000,25433000,34688000,20297000,22195000,18588000,50488000,47946000,559122000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,153017000,310627000,406694000,328349000,374861000,450203000,463555000,569592000,617720000,524174000,566490000,556287000,602654000,596995000,698977000,899726000,781146000,685028000,1238110000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,36957000,42124000,59745000,93874000,97259000,98530000,95719000,65700000,70622000,76159000,99111000,134402000,139413000,149735000,150307000,142129000,204826000,165858000,140875000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75077000,72825000,69171000,14005000,14005000,14005000,- -,- -,- -,- -,- -,- -,- -,1278380000,796216000,796216000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13068000,12826000,12334000,109208000,100120000,91511000,26575000,3449000,856000,- -,- -,- -,- -,- -,- -,- -,825675000,466915000,341614000
