,https://roic.ai/company/QURE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,4063907,5697018,10304375,25098000,13107000,11284000,7281000,37514000,524002000
2,COGS,- -,- -,- -,1104698,- -,638489,- -,- -,- -,- -,- -,24976000
3,Gross Profit,- -,- -,- -,2959209,5697018,9665887,- -,- -,- -,- -,- -,499026000
4,Gross Profit Ratio,- -,- -,- -,0.7282,1.0000,0.9380,- -,- -,- -,- -,- -,0.9523
5,Research and Development Exp.,- -,20089430,13530563,18202657,41261735,51145781,72510000,72172000,74809000,94737000,122400000,143548000
6,General and Administrative Exp.,- -,- -,6035919,- -,- -,- -,- -,24635000,25305000,33544000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,6035919,- -,- -,- -,- -,24635000,25305000,33544000,- -,56290000
9,Other Expenses,- -,- -,- -,15874506,5577849,20616404,- -,-12357000,-598000,140000,40540000,-11430000
10,Operating Expenses,- -,- -,19566482,34077163,46839584,71762185,- -,84450000,99516000,128421000,162940000,188408000
11,COGS and Expenses,- -,22216318,18767689,35181861,46839584,72400673,97044000,84450000,99516000,128421000,162940000,213384000
12,Interest Income ,- -,90726,29095,80091,203074,119170,70000,117000,2729000,3547000,938000,162000
13,Interest Expense (Gain),- -,509364,109768,1237261,4207403,4398356,2172000,2232000,2160000,3810000,3825000,7474000
14,Depreciation and Amortization,- -,764694,724734,738767,1871443,4856449,6089000,7543000,12415000,6669000,10648000,7299000
15,EBITDA,- -,-21416629,-18013860,-35058963,-38962255,-69365666,-63968000,-69684000,-68498000,-113722000,-126970000,347579000
16,EBITDA ratio,- -,-Infinity,-Infinity,-8.6269,-6.8391,-6.7317,-2.5487,-5.3165,-6.0704,-15.6190,-3.3846,0.6633
17,Operating Income,- -,-22216318,-18767689,-31117954,-41142565,-74822338,-71946000,-71343000,-88232000,-121140000,-125426000,310618000
18,Operating Income ratio,- -,-Infinity,-Infinity,-7.6572,-7.2218,-7.2612,-2.8666,-5.4431,-7.8192,-16.6378,-3.3434,0.5928
19,Total Other Income Expenses (Gains),- -,-206079,-694316,-5917037,-3898536,-3798133,-283000,-8116000,5159000,-3061000,-16017000,22188000
20,Income Before Tax,- -,-22422396,-19462004,-37034991,-45041101,-78620471,-72229000,-79459000,-83073000,-124201000,-141443000,332806000
