,https://roic.ai/company/ZOM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4133123
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1079052
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3054071
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7389
5,Research and Development Exp.,- -,- -,- -,- -,- -,1518589,2751326,10317153,10345291,8043891,1672988
6,General and Administrative Exp.,- -,- -,- -,77495,42410,4239953,- -,5830436,8179536,6011985,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,194187,- -,225890,471887,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,77495,42410,4434140,- -,6056326,8651423,6011985,22749080
9,Other Expenses,- -,- -,- -,- -,- -,45821,- -,205767,787613,- -,6000
10,Operating Expenses,- -,- -,- -,- -,- -,5998550,- -,16579246,19784327,14055876,24428068
11,COGS and Expenses,- -,- -,- -,77495,42410,5998550,8084050,16579246,19784327,14055876,25507120
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,32859,357447
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,18338,732,6054
14,Depreciation and Amortization,- -,- -,- -,- -,- -,45821,92410,205767,787613,305914,1139589
15,EBITDA,- -,- -,- -,-77495,-42410,-5938433,-7972662,-16373479,-18996714,17070892,-19570581
16,EBITDA ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-4.7351
17,Operating Income,- -,- -,- -,-77495,-42410,-5998550,-8084050,-16579246,-19784327,-16764978,-21367997
18,Operating Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.1699
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-14296,18978,-68441,273,33676762,651773
20,Income Before Tax,- -,- -,- -,-77495,-42410,-6012846,-8065072,-16647687,-19784054,16911784,-20716224
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-5.0122
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2333054
23,Net Income,- -,- -,- -,-77495,-42410,-6012846,-8065072,-16647687,-19784054,16911784,-18383170
24,Net Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-4.4478
25,EPS,- -,- -,- -,-0.09,-0.02,-0.08,-0.09,-0.18,-0.19,-0.05,-0.05
26,EPS Diluted,- -,- -,- -,-0.09,-0.02,-0.08,-0.09,-0.18,-0.19,-0.05,-0.05
27,Weighted Average Shares Outstanding,- -,- -,- -,842466,2500000,80158312,87400255,93440341,106297975,364444664,364444664
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,842466,2500000,80158312,87400255,93440341,106297975,364444664,364444664
29,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1684144/000117184318001549/0001171843-18-001549-index.htm,https://www.sec.gov/Archives/edgar/data/1684144/000117184319001229/0001171843-19-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1684144/000117184320001304/0001171843-20-001304-index.htm,https://www.sec.gov/Archives/edgar/data/1684144/000117184321001378/0001171843-21-001378-index.htm,https://www.sec.gov/Archives/edgar/data/1684144/000165495422002343/0001654954-22-002343-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,79730,207401,- -,3226680,3448147,1940265,510586,61992,194952208
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,79730,207401,3243710,3226680,3448147,1940265,510586,61992,194952208
34,Net Receivables,- -,- -,- -,4139,- -,18921,28272,53659,67618,- -,765499
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2847985
36,Other Current Assets,- -,- -,- -,0,189070,332611,786273,1867034,1228585,- -,1841814
37,Total Current Assets,- -,- -,79730,211540,3432780,3578212,4262692,3860958,1806789,61992,200407506
38,PP&E,- -,- -,- -,- -,100561,289034,371157,- -,- -,583,2525356
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43287765
40,Intangible Assets,- -,- -,- -,- -,311017,317937,15141,13058,543395,377,33519560
41,Intangible Assets,- -,- -,- -,- -,311017,317937,15141,13058,543395,377,76807325
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,17582,- -,15976,690375,566832,2159503,1832800,0,659106
45,Total Non-Current Assets,- -,- -,17582,- -,427554,1297346,953130,2172561,2376195,960,79991787
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,97313,211540,3860334,4875558,5215822,6033519,4182984,62951,280399293
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1249,3225348
49,Short-Term Debt,- -,- -,- -,- -,4713,6726,- -,- -,- -,780148,414695
