,https://roic.ai/company/PDD,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,504864000,1744076000,13119990000,30141886000,59491865000,93949939000
2,COGS,577870000,722830000,2905249000,6338778000,19278641000,31718093000
3,Gross Profit,-73006000,1021246000,10214741000,23803108000,40213224000,62231846000
4,Gross Profit Ratio,-0.1446,0.5856,0.7786,0.7897,0.6759,0.6624
5,Research and Development Exp.,29421000,129181000,1116057000,3870358000,6891653000,8992590000
6,General and Administrative Exp.,14793000,133207000,6456612000,1296712000,1507297000,1540774000
7,Selling and Marketing Exp.,168990000,1344582000,13441813000,27174249000,41194599000,44801720000
8,"Selling, General and Administrative Exp.",183783000,1477789000,19898425000,28470961000,42701896000,46342494000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,213204000,1606970000,21014482000,32341319000,49593549000,55335084000
11,COGS and Expenses,791074000,2329800000,23919731000,38680097000,68872190000,87053177000
12,Interest Income ,4460000,80783000,584940000,1541825000,2455366000,3061662000
13,Interest Expense (Gain),- -,- -,- -,145858000,757336000,1231002000
14,Depreciation and Amortization,756000,2265000,497003000,637831000,148945000,- -
15,EBITDA,-291221000,-522850000,-9720122000,-6183914000,-6273461000,10933257000
16,EBITDA ratio,-0.5768,-0.2998,-0.7409,-0.2052,-0.1055,0.1164
17,Operating Income,-286210000,-595724000,-10799741000,-8538211000,-9380325000,6896762000
18,Operating Income ratio,-0.5669,-0.3416,-0.8232,-0.2833,-0.1577,0.0734
19,Total Other Income Expenses (Gains),-5767000,70609000,582616000,1541932000,2116929000,2558665000
20,Income Before Tax,-291977000,-525115000,-10217125000,-6996279000,-7263396000,9455427000
21,Income Before Tax Ratio,-0.5783,-0.3011,-0.7787,-0.2321,-0.1221,0.1006
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,1933585000
23,Net Income,-291977000,-525115000,-10217125000,-6967603000,-7179742000,7768670000
24,Net Income ratio,-0.5783,-0.3011,-0.7787,-0.2312,-0.1207,0.0827
25,EPS,-0.37,-0.68,-13.88,-6.04,-6.04,6.20
26,EPS Diluted,-0.37,-0.68,-13.88,-6.04,-6.04,5.44
27,Weighted Average Shares Outstanding,860581500,783779250,742079887,1156819500,1192085750,1253162750
28,Weighted Average Shares Outstanding Diluted,860581500,783779250,742079887,1156819500,1192085750,1428441000
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,1319843000,3058152000,14160322000,5768186000,22421189000,6426715000
32,Short-Term Investments,290000000,50000000,7630689000,35288827000,64551094000,86516618000
33,Cash and Short-Term Investments,1609843000,3108152000,21791011000,41057013000,86972283000,92943333000
34,Net Receivables,112450000,593434000,1465686000,3665222000,5650602000,4923892000
35,Inventory,- -,- -,- -,- -,1718410000,- -
36,Other Current Assets,31210000,9436242000,17134286000,28279228000,55182583000,63041943000
37,Total Current Assets,1753503000,13137828000,40390983000,73001463000,149523878000,160909168000
38,PP&E,2248000,9279000,29075000,558461000,832680000,3141860000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,1994292000,1276751000,- -
41,Intangible Assets,- -,- -,2579338000,1994292000,1276751000,701220000
42,Investments,15000000,5000000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,31504000
44,Other Non-Current Assets,- -,162363000,182667000,503120000,7275305000,16425966000
45,Total Non-Current Assets,17248000,176642000,2791080000,3055873000,9384736000,20300550000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,1770751000,13314470000,43182063000,76057336000,158908614000,181209718000
48,Accounts Payable,1128715000,9838519000,17275934000,29926488000,54971547000,62509714000
49,Short-Term Debt,- -,- -,- -,1014482000,2119352000,427164000
50,Tax Payable,2763000,104197000,436495000,1045796000,2882177000,- -
51,Deferred Revenue,2154000,56453000,191482000,605970000,2423190000,1166764000
52,Other Current Liabilities,283427000,2214535000,6892053000,14220866000,24367988000,29626072000
