,https://roic.ai/company/SWBI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13367,- -,76546503,99971214,119514635,125788050,160048624,236552032,295909681,334955000,406176000,392300000,411997000,587514000,626620000,551862000,722908000,903188000,606850000,638277000,678390000,1059195000
2,COGS,5347,- -,56865700,70164224,80787004,84900032,110441625,160214197,203535105,237167000,274777000,276394000,284008000,369111000,367515000,356936000,429096000,527916000,411098000,412046000,443685000,610212000
3,Gross Profit,8020,- -,19680803,29806990,38727631,40888018,49606999,76337835,92374576,97788000,131399000,115906000,127989000,218403000,259105000,194926000,293812000,375272000,195752000,226231000,234705000,448983000
4,Gross Profit Ratio,0.6000,- -,0.2571,0.2982,0.3240,0.3251,0.3099,0.3227,0.3122,0.2919,0.3235,0.2955,0.3107,0.3717,0.4135,0.3532,0.4064,0.4155,0.3226,0.3544,0.3460,0.4239
5,Research and Development Exp.,- -,- -,629189,905542,557884,199042,348788,1247788,1946512,2906000,4299000,5275000,4543000,4751000,5648000,6943000,8869000,9810000,10804000,12241000,11703000,7480000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,40983000,53771000,- -,47213000,20778000,35439000,26289000,67817000,87834000,74938000,50644000,69490000,79268000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,28378000,31057000,- -,31317000,30020000,33515000,36033000,42257000,49338000,55805000,57263000,74515000,42603000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,69361000,84828000,- -,78530000,50798000,68954000,62322000,110074000,137172000,130743000,107907000,144005000,121871000
9,Other Expenses,2550090,- -,17099538,25098316,31940904,29507985,34713892,50661385,66288546,- -,- -,100556000,- -,30020000,33515000,36033000,16226000,28351000,27157000,57631000,29154000,- -
10,Operating Expenses,2550090,- -,17728727,26003858,32498788,29707027,35062680,51909173,68235058,72267000,89127000,105831000,83073000,85569000,108117000,105298000,135169000,175333000,168704000,177779000,184862000,129351000
11,COGS and Expenses,2555437,- -,74594427,96168082,113285792,114607059,145504305,212123370,271770163,309434000,363904000,382225000,367081000,454680000,475632000,462234000,564265000,703249000,579802000,600221000,727209000,739563000
