,https://roic.ai/company/PGTK,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,124976,4840,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1995000,2074950,130138574,61413520
2,COGS,207087,68442,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1892832,1935150,78566155,39828410
3,Gross Profit,-82111,-63602,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102168,139800,51572419,21585110
4,Gross Profit Ratio,-0.6570,-13.1409,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0512,0.0674,0.3963,0.3515
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,47886,12251,- -,- -,- -,516390,789713,- -,98041,62943
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,110082,1761888,1753994,984592,3651077,1421110,1680163,14622440,37714823,19363803
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,9149,- -,- -,10000,97329,130175,590876,1257901,902015
8,"Selling, General and Administrative Exp.",374749,193819,- -,- -,- -,- -,- -,- -,110082,1771037,1753994,984592,3661077,1518439,1810338,15213316,38972724,20265818
9,Other Expenses,- -,13608,- -,- -,- -,- -,- -,- -,- -,- -,1291396,868675,868675,873388,885238,2157288,2788853,3014289
10,Operating Expenses,374749,207427,- -,- -,- -,- -,- -,- -,157968,1783288,3045390,1853267,4529752,2908217,3485289,17370604,41859618,23343050
11,COGS and Expenses,581836,275869,- -,- -,- -,- -,- -,- -,157968,1783288,3045390,1853267,4529752,2908217,5378121,19305754,120425773,63171460
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,1419,523231,1393691,1372349,1240302,1191324,349489,670,- -,- -
14,Depreciation and Amortization,22205,7221,- -,4560,- -,- -,- -,- -,- -,- -,1291396,868675,868675,873388,885238,885238,1587045,1786197
15,EBITDA,-460157,-376841,- -,- -,- -,- -,- -,- -,-157968,-1922425,-1753994,-984592,-3661077,-2034829,-2971113,-17052796,11968465,2967275
16,EBITDA ratio,-3.6820,-77.8597,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.4893,-8.2184,0.0920,0.0483
17,Operating Income,-456860,-271029,- -,- -,- -,- -,- -,- -,-157968,-1783288,-3045390,-1853267,-4529752,-2908217,-3383121,-17230804,9712801,-1757940
18,Operating Income ratio,-3.6556,-55.9977,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.6958,-8.3042,0.0746,-0.0286
19,Total Other Income Expenses (Gains),-25502,-113033,- -,- -,- -,- -,- -,- -,-1419,-666380,-30662121,-1200128,-2916480,-444331,-822719,-707900,668619,2939018
20,Income Before Tax,-482362,-384062,- -,- -,- -,- -,- -,- -,-159387,-2449668,-33707511,-3053395,-7446232,-3352548,-4205840,-17938704,10381420,1181078
21,Income Before Tax Ratio,-3.8596,-79.3517,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.1082,-8.6454,0.0798,0.0192
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-482362,-384062,- -,-89286,- -,- -,- -,- -,-159387,-2449668,-33707511,-3053395,-7446232,-3352548,-4205840,-17938704,10381420,1181078
24,Net Income ratio,-3.8596,-79.3517,- -,-Infinity,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.1082,-8.6454,0.0798,0.0192
25,EPS,-2512.30,-617.46,- -,-20.00,- -,- -,- -,- -,-0.03,-0.45,-2.42,-0.19,-0.38,-0.14,-0.13,-0.41,0.23,0.03
26,EPS Diluted,-2512.30,-617.46,- -,-20.00,- -,- -,- -,- -,-0.03,-0.45,-2.42,-0.19,-0.38,-0.14,-0.13,-0.41,0.22,0.03
27,Weighted Average Shares Outstanding,192,622,- -,10622,- -,- -,- -,- -,5000000,5372732,13920819,16321681,19833220,24385595,33186231,43502044,46022709,46543758
28,Weighted Average Shares Outstanding Diluted,192,622,- -,10622,- -,- -,- -,- -,5000000,5372732,13920819,16321681,19833220,24385595,33186231,43502044,47188273,46618758
29,SEC Link,- -,- -,undefined,- -,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1553404/000121390013003347/0001213900-13-003347-index.html,https://www.sec.gov/Archives/edgar/data/1553404/000121390015005179/0001213900-15-005179-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390015005239/0001213900-15-005239-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390016016623/0001213900-16-016623-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390017009541/0001213900-17-009541-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390018009266/0001213900-18-009266-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390019011905/0001213900-19-011905-index.html,https://www.sec.gov/Archives/edgar/data/1553404/000121390020017451/0001213900-20-017451-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390021034687/0001213900-21-034687-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,3348,93228,205571,1270,40108,382167,229882,2863148,21386934,23436417
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1736938,718100,1126728
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,3348,93228,205571,1270,40108,382167,229882,4600086,22105034,24563145
34,Net Receivables,8352,- -,- -,- -,- -,- -,- -,- -,12899,206663,2005,41940,55743,50767,30013,13326032,41238150,15732193
35,Inventory,38433,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2778,- -,- -,- -,- -,- -,- -,- -,- -,687,687,687,- -,11004,72032,870639,839705,932948
37,Total Current Assets,49563,- -,- -,- -,- -,- -,- -,- -,16247,300578,208263,43897,95851,443938,331927,18796757,64182889,41228286
38,PP&E,530754,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2348777
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3524162,4293789
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23644629,13235230,12366555,11497880,10622068,9746255,12575303,11180524
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23644629,13235230,12366555,11497880,10622068,9746255,16099465,15474313
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
