,https://roic.ai/company/HHR,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,4734166000,6117773000,7788741000,8282107000,15968033000
2,COGS,- -,117746000,188499000,186337000,194644000,430276000
3,Gross Profit,- -,4616420000,5929274000,7602404000,8087463000,15537757000
4,Gross Profit Ratio,- -,0.9751,0.9692,0.9761,0.9765,0.9731
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1901959000,2214263000,2900024000,3273358000,5130140000
7,Selling and Marketing Exp.,- -,693246000,939717000,1046678000,1105247000,2113439000
8,"Selling, General and Administrative Exp.",- -,2595205000,3153980000,3946702000,4378605000,7243579000
9,Other Expenses,- -,636586000,676512000,850541000,868609000,1341644000
10,Operating Expenses,- -,3231791000,3830492000,4797243000,5247214000,8585223000
11,COGS and Expenses,- -,3349537000,4018991000,4983580000,5441858000,9015499000
12,Interest Income ,- -,70924000,90270000,76202000,59179000,243108000
13,Interest Expense (Gain),- -,706036000,644326000,598859000,409545000,659579000
14,Depreciation and Amortization,- -,560961000,586131000,683317000,750558000,1066284000
15,EBITDA,- -,2489316000,2689366000,3374616000,3594835000,8491374000
16,EBITDA ratio,- -,0.5258,0.4396,0.4333,0.4340,0.5318
17,Operating Income,- -,1384629000,2098782000,2805161000,2840249000,6952534000
18,Operating Income ratio,- -,0.2925,0.3431,0.3602,0.3429,0.4354
19,Total Other Income Expenses (Gains),- -,-99697000,-556335000,-579713000,-268652000,-84929000
20,Income Before Tax,- -,1284932000,1542447000,2225448000,2571597000,6867605000
21,Income Before Tax Ratio,- -,0.2714,0.2521,0.2857,0.3105,0.4301
22,Income Tax expense (Gain),- -,820828000,509602000,644422000,685772000,1374834000
23,Net Income,- -,401491000,949307000,1448018000,1748960000,5390677000
24,Net Income ratio,- -,0.0848,0.1552,0.1859,0.2112,0.3376
25,EPS,- -,8.03,18.99,28.96,34.80,106.46
26,EPS Diluted,- -,8.03,18.99,28.42,33.90,106.46
27,Weighted Average Shares Outstanding,- -,50000000,50000000,50000622,50257471,50257471
28,Weighted Average Shares Outstanding Diluted,- -,50000000,50000000,50950669,51591740,50257471
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1721181/000119312520073148/0001193125-20-073148-index.html,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,324712000,1416008000,2861110000,2089215000,3367610000,6523228000
32,Short-Term Investments,19901000,- -,- -,- -,- -,300000000
33,Cash and Short-Term Investments,344613000,1416008000,2861110000,2089215000,3367610000,6823228000
34,Net Receivables,329132000,31808000,40718000,57908000,77298000,154602000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,827690000,82608000,64386000,119249000,365591000,352358000
37,Total Current Assets,1501435000,1530424000,2966214000,2266372000,3810499000,7330188000
38,PP&E,56320000,76715000,133810000,708993000,681845000,602986000
39,Goodwill,6983378000,6963369000,6989255000,6954183000,9875224000,10630361000
40,Intangible Assets,3953966000,3544343000,3154605000,2733417000,3439961000,3325135000
41,Intangible Assets,10937344000,10507712000,10143860000,9687600000,13315185000,13955496000
42,Investments,- -,- -,- -,204188000,155157000,414621000
43,Tax Assets,29581000,54439000,92094000,149835000,176328000,451890000
44,Other Non-Current Assets,- -,- -,3304000,22134000,33715000,27091000
45,Total Non-Current Assets,11023245000,10638866000,10373068000,10772750000,14362230000,15452084000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,12524680000,12169290000,13339282000,13039122000,18172729000,22782272000
48,Accounts Payable,86521000,60524000,83311000,109487000,243426000,1816113000
49,Short-Term Debt,182856000,674313000,1233924000,1124370000,562852000,799642000
50,Tax Payable,196428000,284515000,428403000,794296000,898937000,357555000
51,Deferred Revenue,1103233000,1465837000,2072640000,2367416000,2785402000,4560634000
52,Other Current Liabilities,383776000,582809000,658088000,1090984000,2048806000,1255588000
53,Total Current Liabilities,1756386000,2783483000,4047963000,4692257000,5640486000,8431977000
54,Long-Term Debt,4726243000,6162980000,5203692000,4295303000,7955571000,7435057000
55,Deferred Revenue,- -,- -,- -,- -,- -,84205000
56,Deferred Tax Liabilities,1247077000,1262349000,1070240000,512804000,658970000,504367000
57,Other Non-Current Liabilities,- -,- -,13967000,150565000,408960000,363322000
58,Total Non-Current Liabilities,5973320000,7425329000,6287899000,4958672000,9023501000,8386951000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,290618000,241997000,197045000
61,Total Liabilities,7729706000,10208812000,10335862000,9650929000,14663987000,16818928000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,8547000,8547000,8547000,8547000,8597000,8655000
64,Retained Earnings,-87329000,-3061035000,1302981000,1587697000,1536137000,4756114000
65,Other Comprehensive Income/Loss,-147844000,-92406000,-66957000,-105191000,-92140000,-94678000
66,Other Total Stockholders Equity,5008647000,5083498000,1729400000,1863877000,1987044000,1166365000
67,Total Stockholders Equity,4782021000,1938604000,2973971000,3354930000,3439638000,5836456000
68,Total Liabilities And Stockholders Equity,12511727000,12147416000,13309833000,13005859000,18103625000,22655384000
69,Minority Interest,12953000,21874000,29449000,33263000,69104000,126888000
70,Total Liabilities & Equity,12524680000,12169290000,13339282000,13039122000,18172729000,22782272000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1721181/000119312520073148/0001193125-20-073148-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,401491000,949307000,1448018000,1748960000,5390677000
74,Depreciation and Amortization,- -,560961000,586131000,683317000,750558000,1066284000
75,Deferred Income Tax,- -,820828000,509602000,644422000,685772000,1374834000
76,Stock Based Compensation,- -,74851000,78648000,12842000,21714000,- -
77,Change in Working Capital,- -,734487000,649317000,441273000,503399000,2358956000
78,Accounts Receivable,- -,122208000,-8029000,-90218000,-19546000,-138147000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,379433000,600469000,307388000,343903000,1828147000
82,Other Non-Cash Items,- -,-1000336000,-676317000,-618818000,-495830000,-1531371000
83,Cash Provided by Operating Activities,- -,1592282000,2096688000,2611054000,3214573000,8659380000
84,CAPEX,- -,-171656000,-254644000,-479466000,-256505000,-265837000
85,Acquisitions Net,- -,764577000,-10847000,-234730000,-3004299000,-1217042000
86,Purchases of Investments,- -,- -,- -,- -,- -,-300000000
87,Sales/Maturities of Investments,- -,19655000,- -,- -,- -,- -
88,Other Investing Activites,- -,-38966000,-43759000,-20739000,-44526000,92765000
89,Cash Used for Investing Activites,- -,680256000,-174548000,-637117000,-3227607000,-1575289000
90,Debt Repayment,- -,-100000000,-690000000,-1386376000,-5457632000,-490838000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1096357000
93,Dividends Paid,- -,-3109631000,- -,-1133501000,-1885441000,-2073893000
94,Other Financing Activites,- -,1935784000,192371000,-133563000,8457123000,-298005000
95,Cash Used/Provided by Financing Activities,- -,-1273847000,-497629000,-2653440000,1114050000,-3959093000
96,Effect of Forex Changes on Cash,- -,86016000,9790000,-92392000,177379000,30620000
97,Net Change In Cash,- -,1091296000,1445102000,-771895000,1278395000,3155618000
