,https://roic.ai/company/LFMD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,743828,673778,808363,714158,1218862,5238604,5054706,8324129,12468578,37293910,92875806
2,COGS,241264,125619,181304,172850,247772,1946055,1483686,1969061,3270596,8907442,17995394
3,Gross Profit,502564,548159,627059,541308,971090,3292549,3571020,6355068,9197982,28386468,74880412
4,Gross Profit Ratio,0.6756,0.8136,0.7757,0.7580,0.7967,0.6285,0.7065,0.7635,0.7377,0.7612,0.8062
5,Research and Development Exp.,- -,- -,- -,- -,23925,- -,- -,- -,222877,446749,778772
6,General and Administrative Exp.,- -,1088184,1173467,1072187,978721,2756874,2981396,3331077,2398751,42206675,39569738
7,Selling and Marketing Exp.,- -,- -,- -,- -,230661,1710357,1657158,5080131,8170929,41669475,82541956
8,"Selling, General and Administrative Exp.",- -,1088184,1173467,1072187,1209382,4467231,4638554,8411208,10569680,83876150,122111694
9,Other Expenses,1078931,- -,- -,- -,- -,- -,- -,- -,1295033,1883022,6291027
10,Operating Expenses,1078931,1088184,1173467,1072187,1233307,4467231,4638554,8411208,12087590,86205921,129181493
11,COGS and Expenses,1320195,1213803,1354771,1245037,1481079,6413286,6122240,10380269,15358186,95113363,147176887
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),21262,3371,3385,4683,37476,48611,100523,354388,-761150,1667536,-3019716
14,Depreciation and Amortization,56689,56974,56974,56975,43748,- -,- -,195775,335613,397765,868757
15,EBITDA,-442178,-402504,-225103,-416027,6032,-1058933,-1105438,-815364,-3685240,-56459142,-63040963
16,EBITDA ratio,-0.5945,-0.5974,-0.2785,-0.5825,0.0049,-0.2021,-0.2187,-0.0980,-0.2956,-1.5139,-0.6788
17,Operating Income,-576367,-540025,-546408,-530879,-262217,-1174682,-1067534,-2056140,-2889608,-57819453,-54301081
