,https://roic.ai/company/ZKIN,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,34985571,36809094,44951740,54884381,63883520,86846791,99407217
2,COGS,24813206,25333318,31843337,36593792,48239478,82903989,92936029
3,Gross Profit,10172365,11475776,13108403,18290589,15644042,3942802,6471188
4,Gross Profit Ratio,0.2908,0.3118,0.2916,0.3333,0.2449,0.0454,0.0651
5,Research and Development Exp.,928826,1302022,1331111,1652633,1452061,1123555,1234161
6,General and Administrative Exp.,1046652,1599743,1782318,4071116,2897995,2482972,5772710
7,Selling and Marketing Exp.,591344,957990,1915127,2949204,2647429,2215651,3117906
8,"Selling, General and Administrative Exp.",1637996,2557733,3697445,7020320,5545424,4698623,8890616
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2566822,3859755,5028556,8672953,6997485,5822178,10124777
11,COGS and Expenses,27380028,29193073,36871893,45266745,55236963,88726167,103060806
12,Interest Income ,132747,51058,24459,10702,24437,7192,13733
13,Interest Expense (Gain),1912866,1417745,1245385,1239170,1151045,1000554,1196648
14,Depreciation and Amortization,507707,456041,438401,407741,388924,449833,1049801
15,EBITDA,8381371,8228763,8553067,10063235,9895063,-803429,-2105211
16,EBITDA ratio,0.2396,0.2236,0.1903,0.1834,0.1549,-0.0093,-0.0212
17,Operating Income,7605543,7616021,8079847,9617636,8646557,-1879376,-3653589
18,Operating Income ratio,0.2174,0.2069,0.1797,0.1752,0.1353,-0.0216,-0.0368
19,Total Other Income Expenses (Gains),-1644745,-1207890,-1151154,-1116369,-204635,-385842,-700828
20,Income Before Tax,5960798,6408131,6928693,8501267,8441922,-2265218,-4354417
21,Income Before Tax Ratio,0.1704,0.1741,0.1541,0.1549,0.1321,-0.0261,-0.0438
22,Income Tax expense (Gain),952117,1105440,995005,1398210,248228,-1428202,-552146
23,Net Income,5008681,5249537,5874276,7018114,8106866,-825614,-3799514
24,Net Income ratio,0.1432,0.1426,0.1307,0.1279,0.1269,-0.0095,-0.0382
25,EPS,0.37,0.39,0.54,0.52,0.49,-0.05,-0.23
26,EPS Diluted,0.37,0.39,0.54,0.51,0.49,-0.05,-0.23
27,Weighted Average Shares Outstanding,13500000,13500000,10970000,13610046,16551708,16558037,16558037
28,Weighted Average Shares Outstanding Diluted,13500000,13500000,10973674,13629517,16551708,16558037,16558037
