,https://roic.ai/company/GLPI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,231884000,210643000,242129000,635945000,575053000,828255000,971307000,1055727000,1153473000,1153165000,1216351000
2,COGS,139997000,127817000,109362000,144883000,122186000,151911000,165153000,165884000,74700000,56698000,90429000
3,Gross Profit,91887000,82826000,132767000,491062000,452867000,676344000,806154000,889843000,1078773000,1096467000,1125922000
4,Gross Profit Ratio,0.3963,0.3932,0.5483,0.7722,0.7875,0.8166,0.8300,0.8429,0.9352,0.9508,0.9257
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,31764000,31388000,47465000,80836000,85669000,86167000,87156000,99486000,107915000,97613000,61245000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",31764000,31388000,47465000,80836000,85669000,86167000,87156000,99486000,107915000,97613000,61245000
9,Other Expenses,14568000,14090000,28923000,106843000,109783000,109554000,113480000,137093000,240435000,230973000,244660000
10,Operating Expenses,46332000,45478000,76388000,187679000,195452000,195721000,200636000,236579000,348350000,328586000,305905000
11,COGS and Expenses,186329000,173295000,185750000,332562000,317638000,347632000,365789000,402463000,423050000,385284000,396334000
12,Interest Income ,4000,2000,1000,2444000,2332000,2123000,1935000,1827000,756000,569000,197000
13,Interest Expense (Gain),- -,- -,19254000,117030000,124183000,185896000,217068000,247684000,301520000,282142000,283037000
14,Depreciation and Amortization,14568000,14090000,28923000,106843000,109783000,115717000,123835000,148365000,258971000,242995000,252049000
15,EBITDA,60127000,51440000,85303000,412670000,369530000,598463000,731288000,740529000,956136000,1034725000,1097475000
16,EBITDA ratio,0.2593,0.2442,0.3523,0.6489,0.6426,0.7226,0.7529,0.7014,0.8289,0.8973,0.9023
17,Operating Income,52513000,43668000,60582000,303383000,257415000,480623000,605518000,593810000,717423000,809274000,841768000
18,Operating Income ratio,0.2265,0.2073,0.2502,0.4771,0.4476,0.5803,0.6234,0.5625,0.6220,0.7018,0.6920
19,Total Other Income Expenses (Gains),-6954000,-6318000,-23456000,-114586000,-121851000,-183773000,-215133000,-249330000,-321778000,-299686000,-279340000
20,Income Before Tax,45559000,37350000,37126000,188797000,135564000,296850000,390385000,344480000,395645000,509588000,562428000
21,Income Before Tax Ratio,0.1965,0.1773,0.1533,0.2969,0.2357,0.3584,0.4019,0.3263,0.3430,0.4419,0.4624
22,Income Tax expense (Gain),18875000,14431000,17296000,3413000,7442000,7545000,9787000,4964000,4764000,3877000,28342000
23,Net Income,26684000,22919000,19830000,185384000,128122000,289305000,380598000,339516000,390881000,505711000,534047000
